project_name,station,yyyy-mm-dd hh:mm:ss,유효시간,Longitude [degrees_east],Latitude [degrees_north],수심(m),수심(text),전체수심(m),염분[psu],sal_qc,수온[℃],wtrtmp_qc,용존산소[ml/L],disoxy_qc,규산염[μM],reasil_qc,아질산성질소[μM],nitnit_qc,인산염인[μM],po4p_qc,질산성질소[μM],natnit_qc,투명도[m],tr_qc
정선해양관측,102-00,2020-02-21 15:20,Minute,129.5883,36.0767,0,,52,34.3069,1,13.4859,1,6.679,1,,,,,,,,,6,2
정선해양관측,102-00,2020-02-21 15:20,Minute,129.5883,36.0767,10,,52,34.3067,1,13.5144,1,6.6726,1,,,,,,,,,6,2
정선해양관측,102-00,2020-02-21 15:20,Minute,129.5883,36.0767,20,,52,34.3016,1,13.4435,1,6.6701,1,,,,,,,,,6,2
정선해양관측,102-00,2020-02-21 15:20,Minute,129.5883,36.0767,30,,52,34.2526,1,12.724,1,6.4164,1,,,,,,,,,6,2
정선해양관측,102-00,2020-04-19 5:36,Minute,129.5883,36.0767,0,,52,34.4013,1,14.1424,1,7.3311,1,,,,,,,,,,
정선해양관측,102-00,2020-04-19 5:36,Minute,129.5883,36.0767,10,,52,34.3998,1,14.169,1,7.3639,1,,,,,,,,,,
정선해양관측,102-00,2020-04-19 5:36,Minute,129.5883,36.0767,20,,52,34.4138,1,14.1611,1,7.4337,1,,,,,,,,,,
정선해양관측,102-00,2020-06-20 16:17,Minute,129.5883,36.0767,0,,52,33.4646,1,19.3442,1,6.9297,1,,,,,,,,,6,2
정선해양관측,102-00,2020-06-20 16:17,Minute,129.5883,36.0767,10,,52,33.7072,1,18.4312,1,7.0275,1,,,,,,,,,6,2
정선해양관측,102-00,2020-06-20 16:17,Minute,129.5883,36.0767,20,,52,34.0928,1,16.8787,1,7.4945,1,,,,,,,,,6,2
정선해양관측,102-00,2020-06-20 16:17,Minute,129.5883,36.0767,30,,52,34.2014,1,14.4491,1,5.532,1,,,,,,,,,6,2
정선해양관측,102-00,2020-08-29 15:02,Minute,129.5883,36.0767,0,,52,33.6255,1,19.6224,1,8.775,1,,,,,,,,,7,2
정선해양관측,102-00,2020-08-29 15:02,Minute,129.5883,36.0767,10,,52,34.1371,1,16.0421,1,9.1168,1,,,,,,,,,7,2
정선해양관측,102-00,2020-08-29 15:02,Minute,129.5883,36.0767,20,,52,34.3457,1,14.1186,1,9.1811,1,,,,,,,,,7,2
정선해양관측,102-00,2020-08-29 15:02,Minute,129.5883,36.0767,30,,52,34.3371,1,13.0637,1,9.9945,1,,,,,,,,,7,2
정선해양관측,102-00,2020-10-28 15:58,Minute,129.5883,36.0767,0,,52,32.6559,1,19.164,1,5.1436,1,,,,,,,,,9,2
정선해양관측,102-00,2020-10-28 15:58,Minute,129.5883,36.0767,10,,52,32.6541,1,18.738,1,5.2183,1,,,,,,,,,9,2
정선해양관측,102-00,2020-10-28 15:58,Minute,129.5883,36.0767,20,,52,32.6587,1,18.6606,1,5.2699,1,,,,,,,,,9,2
정선해양관측,102-00,2020-10-28 15:58,Minute,129.5883,36.0767,30,,52,32.9101,1,17.6502,1,4.8297,1,,,,,,,,,9,2
정선해양관측,102-00,2020-12-10 15:06,Minute,129.5883,36.0767,0,,52,34.1008,1,15.7333,1,5.1956,1,,,,,,,,,6.9,2
정선해양관측,102-00,2020-12-10 15:06,Minute,129.5883,36.0767,10,,52,34.141,1,15.346,1,5.2219,1,,,,,,,,,6.9,2
정선해양관측,102-00,2020-12-10 15:06,Minute,129.5883,36.0767,20,,52,34.0884,1,15.0041,1,5.2157,1,,,,,,,,,6.9,2
