"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","총질소[μg/L]","tn_qc","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","클로로필-a[μg/L]","chla_qc","부유물질 농도[μg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","규산염[μg/L]","reasil_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","유분[mg/L]","fra_qc","총인[μg/L]","totp_qc"
"해양환경측정망","가로림연안1_연안","1997-02-01 00:00:00","126.3269444","36.94638889","0","0","표층","","","32.34","1","2.9","1","","","55.3","2","10.0571","1","8.14","2","","","7.28","2","14.88","1","52.08","1","1","2","63.56","2","1.24","2","4.2","2","","","",""
"해양환경측정망","가로림연안1_연안","1997-02-01 00:00:00","126.3269444","36.94638889","0","13","저층","","","32.12","1","4.2","1","","","","","10.0571","1","8.02","2","","","7.14","2","16.12","1","92.96","1","","","105.98","2","1.65","2","5.88","2","","","",""
"해양환경측정망","가로림연안1_연안","1997-05-01 00:00:00","126.3269444","36.94638889","0","0","표층","","","31.39","1","9.8","1","","","51.6","2","8.51","1","8.01","2","","","12","2","3","1","163","1","2.2","2","195","2","0.92","2","20","2","","","",""
"해양환경측정망","가로림연안1_연안","1997-05-01 00:00:00","126.3269444","36.94638889","0","23","저층","","","31.08","1","9.8","1","","","","","9.66","1","8.01","2","","","11","2","3","1","157","1","","","187","2","1.41","2","19","2","","","",""
"해양환경측정망","가로림연안1_연안","1997-08-01 00:00:00","126.3269444","36.94638889","0","0","표층","","","31.63","1","23.3","1","","","43","2","7.0858","1","8.19","2","","","8","2","1","1","34","1","5","2","451","2","0.47","2","409","2","","","",""
"해양환경측정망","가로림연안1_연안","1997-08-01 00:00:00","126.3269444","36.94638889","0","14","저층","","","31.58","1","23.3","1","","","","","7.19","1","7.85","2","","","22","2","1","1","39","1","","","256","2","1.86","2","195","2","","","",""
"해양환경측정망","가로림연안1_연안","1997-11-01 00:00:00","126.3269444","36.94638889","0","0","표층","","","32.47","1","14.6","1","","","34.3","2","7.69","1","7.84","2","","","5","2","3","1","40","1","","","46","2","0.3","2","1","2","","","",""
"해양환경측정망","가로림연안1_연안","1997-11-01 00:00:00","126.3269444","36.94638889","0","12","저층","","","32.47","1","14.5","1","","","","","5.73","1","7.84","2","","","4","2","9","1","29","1","","","75","2","1.37","2","42","2","","","",""
"해양환경측정망","가로림연안2_연안","1997-02-01 00:00:00","126.3133333","36.99","0","0","표층","","","32.26","1","3.5","1","","","91.5","2","9.88571","1","8.1","2","","","8.82","2","15.81","1","51.94","1","0.5","2","68.32","2","1.7","2","7.56","2","","","",""
"해양환경측정망","가로림연안2_연안","1997-02-01 00:00:00","126.3133333","36.99","0","14","저층","","","32.08","1","4.9","1","","","","","9.7","1","8.02","2","","","8.4","2","24.8","1","50.96","1","","","66.5","2","1.16","2","7.14","2","","","",""
"해양환경측정망","가로림연안2_연안","1997-05-01 00:00:00","126.3133333","36.99","0","0","표층","","","32.32","1","9.5","1","","","53.8","2","9.09","1","7.97","2","","","6","2","3","1","152","1","1.5","2","169","2","0.32","2","11","2","","","",""
"해양환경측정망","가로림연안2_연안","1997-05-01 00:00:00","126.3133333","36.99","0","20","저층","","","32.75","1","9.8","1","","","","","8.87","1","7.98","2","","","8","2","6","1","153","1","","","173","2","1.01","2","12","2","","","",""
"해양환경측정망","가로림연안2_연안","1997-08-01 00:00:00","126.3133333","36.99","0","0","표층","","","31.51","1","22.6","1","","","38.8","2","7.0148","1","8.17","2","","","11","2","3","1","45","1","5.3","2","290","2","0.53","2","234","2","","","",""
"해양환경측정망","가로림연안2_연안","1997-08-01 00:00:00","126.3133333","36.99","0","17","저층","","","31.62","1","22.7","1","","","","","8.28","1","8.05","2","","","12","2","6","1","28","1","","","228","2","0.29","2","188","2","","","",""
"해양환경측정망","가로림연안2_연안","1997-11-01 00:00:00","126.3133333","36.99","0","0","표층","","","32.95","1","15.5","1","","","27","2","7.51","1","7.85","2","","","2","2","6","1","57","1","","","60","2","0.92","2","1","2","","","",""
