"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","부유물질 농도[μg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","유분[mg/L]","fra_qc"
"해양환경측정망","가로림연안1_연안","1998-02-01 00:00:00","126.3269444","36.94638889","0","0","표층","32.44","1","5.01","1","57.3","2","8.51","1","7.91","2","1","2","16","1","110","1","0.6","2","118","2","0.92","2","7","2","",""
"해양환경측정망","가로림연안1_연안","1998-02-01 00:00:00","126.3269444","36.94638889","0","13","저층","32.45","1","4.87","1","","","9.97","1","7.9","2","2","2","19","1","139","1","","","150","2","0.98","2","9","2","",""
"해양환경측정망","가로림연안1_연안","1998-05-01 00:00:00","126.3269444","36.94638889","0","0","표층","32.12","1","10.82","1","11.67","2","9.48571","1","8.02","2","4.76","2","13.95","1","158.9","1","1.5","2","183","2","0.73","2","19.194","2","",""
"해양환경측정망","가로림연안1_연안","1998-05-01 00:00:00","126.3269444","36.94638889","0","23","저층","32.13","1","10.36","1","","","9.31429","1","8.05","2","3.794","2","10.85","1","137.466","1","","","148","2","0.5","2","6.552","2","",""
"해양환경측정망","가로림연안1_연안","1998-08-01 00:00:00","126.3269444","36.94638889","0","0","표층","30.81","1","24.68","1","21.33","2","6.69","1","8.07","2","15","2","13","1","50","1","1","2","118","2","1.39","2","53","2","",""
"해양환경측정망","가로림연안1_연안","1998-08-01 00:00:00","126.3269444","36.94638889","0","14","저층","30.78","1","24.64","1","","","6.3","1","8.07","2","11","2","22","1","56","1","","","78","2","1.98","2","11","2","",""
"해양환경측정망","가로림연안1_연안","1998-11-01 00:00:00","126.3269444","36.94638889","0","0","표층","31.6","1","16.68","1","29.8","2","7.79","1","8.12","2","4.9","2","37","1","99.2","1","0.9","2","238","2","0.22","2","134.4","2","",""
"해양환경측정망","가로림연안1_연안","1998-11-01 00:00:00","126.3269444","36.94638889","0","12","저층","31.65","1","16.3","1","","","7.67","1","8.34","2","7.5","2","26","1","36.2","1","","","151","2","0.03","2","107.3","2","",""
"해양환경측정망","가로림연안2_연안","1998-02-01 00:00:00","126.3133333","36.99","0","0","표층","32.42","1","5.01","1","74.3","2","8","1","7.94","2","3","2","18","1","132","1","0.6","2","152","2","0.9","2","17","2","",""
"해양환경측정망","가로림연안2_연안","1998-02-01 00:00:00","126.3133333","36.99","0","14","저층","32.43","1","5","1","","","8.93","1","7.95","2","2","2","16","1","149","1","","","161","2","1.19","2","10","2","",""
"해양환경측정망","가로림연안2_연안","1998-05-01 00:00:00","126.3133333","36.99","0","0","표층","32.17","1","9.89","1","24.67","2","9.85714","1","7.94","2","4.06","2","18.91","1","155.68","1","1.5","2","177","2","1.89","2","16.506","2","",""
"해양환경측정망","가로림연안2_연안","1998-05-01 00:00:00","126.3133333","36.99","0","20","저층","32.17","1","9.77","1","","","10.5286","1","7.98","2","3.5","2","9.92","1","141.4","1","","","152","2","0.62","2","6.762","2","",""
"해양환경측정망","가로림연안2_연안","1998-08-01 00:00:00","126.3133333","36.99","0","0","표층","31.08","1","24.36","1","15.67","2","6.59","1","8.1","2","13","2","10","1","40","1","1.9","2","77","2","1.13","2","24","2","",""
"해양환경측정망","가로림연안2_연안","1998-08-01 00:00:00","126.3133333","36.99","0","17","저층","31.06","1","24.32","1","","","6.79","1","8.09","2","48","2","12","1","12","1","","","71","2","1.45","2","11","2","",""
"해양환경측정망","가로림연안2_연안","1998-11-01 00:00:00","126.3133333","36.99","0","0","표층","31.21","1","17.38","1","22.6","2","7.93","1","8.14","2","4.6","2","15.1","1","101","1","14","2","218","2","0.36","2","112","2","",""
"해양환경측정망","가로림연안2_연안","1998-11-01 00:00:00","126.3133333","36.99","0","13","저층","31.54","1","17.36","1","","","7.81","1","8.25","2","5.7","2","16.5","1","97.1","1","","","204","2","0.16","2","100.9","2","",""
"해양환경측정망","가로림연안3_연안","1998-02-01 00:00:00","126.2","36.94166667","0","0","표층","32.43","1","5.22","1","72.3","2","9.16","1","7.97","2","2","2","21","1","123","1","0.6","2","131","2","0.81","2","6","2","",""
"해양환경측정망","가로림연안3_연안","1998-02-01 00:00:00","126.2","36.94166667","0","35","저층","32.43","1","5.17","1","","","9.71","1","7.9","2","1","2","17","1","98","1","","","110","2","1.27","2","11","2","",""
"해양환경측정망","가로림연안3_연안","1998-05-01 00:00:00","126.2","36.94166667","0","0","표층","32.19","1","9.4","1","13","2","10.5286","1","7.86","2","3.78","2","19.22","1","146.02","1","1.9","2","166","2","0.6","2","15.946","2","",""
"해양환경측정망","가로림연안3_연안","1998-05-01 00:00:00","126.2","36.94166667","0","34","저층","32.2","1","9.37","1","","","10.3571","1","7.99","2","2.926","2","15.19","1","130.774","1","","","142","2","0.55","2","7.532","2","",""
"해양환경측정망","가로림연안3_연안","1998-08-01 00:00:00","126.2","36.94166667","0","0","표층","31.13","1","24.16","1","5.67","2","6.44","1","8.06","2","16","2","8","1","26","1","5.2","2","63","2","0.57","2","21","2","",""
"해양환경측정망","가로림연안3_연안","1998-08-01 00:00:00","126.2","36.94166667","0","30","저층","31.27","1","24.15","1","","","6.57","1","8.09","2","14","2","9","1","28","1","","","49","2","1.29","2","7","2","",""
"해양환경측정망","가로림연안3_연안","1998-11-01 00:00:00","126.2","36.94166667","0","0","표층","31.1","1","17.84","1","20.8","2","7.47","1","8.17","2","4.6","2","19.4","1","99.7","1","1.5","2","235","2","1.17","2","129.5","2","",""
"해양환경측정망","가로림연안3_연안","1998-11-01 00:00:00","126.2","36.94166667","0","33","저층","31.55","1","17.84","1","","","7.53","1","8.33","2","4.5","2","29.6","1","97.7","1","","","196","2","0.02","2","93","2","",""
"해양환경측정망","가막만1_환경관리","1998-02-01 00:00:00","127.73417","34.7225","0","0","표층","32.3","1","6.5","1","7.4","2","11.14","1","8.11","2","7","2","30","1","48","1","1.5","2","78","2","1.38","2","23","2","",""
"해양환경측정망","가막만1_환경관리","1998-02-01 00:00:00","127.73417","34.7225","0","10","저층","32.91","1","6.3","1","","","12.31","1","8.11","2","6","2","33","1","55","1","","","353","2","2.03","2","292","2","",""
"해양환경측정망","가막만1_환경관리","1998-05-01 00:00:00","127.73417","34.7225","0","0","표층","30.9021","1","17.6","1","22.2","2","8.95714","1","8.08","2","13.9724","2","17.4622","1","21.771","1","1.5","2","65","2","2.20844","2","29.1112","2","",""
"해양환경측정망","가막만1_환경관리","1998-05-01 00:00:00","127.73417","34.7225","0","11","저층","31.0062","1","17.48","1","","","8.75714","1","8.08","2","17.7331","2","20.587","1","20.9482","1","","","71","2","1.23225","2","31.8871","2","",""
"해양환경측정망","가막만1_환경관리","1998-08-01 00:00:00","127.73417","34.7225","0","0","표층","27.98","1","26.83","1","11.9","2","8.63","1","7.91","2","6","2","6","1","126","1","1.5","2","137","2","2.47","2","5","2","",""
"해양환경측정망","가막만1_환경관리","1998-08-01 00:00:00","127.73417","34.7225","0","12","저층","28.2","1","26.47","1","","","7.57","1","7.82","2","3","2","10","1","49","1","","","65","2","2.85","2","13","2","",""
"해양환경측정망","가막만1_환경관리","1998-11-01 00:00:00","127.73417","34.7225","0","0","표층","30.17","1","18.2","1","13","2","8.77143","1","8.2","2","3.04639","2","23.9566","1","5.96392","1","2.1","2","17","2","1.9844","2","8.38064","2","",""
"해양환경측정망","가막만1_환경관리","1998-11-01 00:00:00","127.73417","34.7225","0","16","저층","30.18","1","18.4","1","","","8.51429","1","8.18","2","3.39378","2","26.9123","1","3.6312","1","","","23","2","2.4965","2","16.4062","2","",""
"해양환경측정망","가막만2_환경관리","1998-02-01 00:00:00","127.68833","34.68917","0","0","표층","32.74","1","8.2","1","11.1","2","9.94","1","8.11","2","6","2","23","1","90","1","2.8","2","116","2","1.28","2","20","2","",""
"해양환경측정망","가막만2_환경관리","1998-02-01 00:00:00","127.68833","34.68917","0","6","저층","33.39","1","8.3","1","","","10.87","1","8.1","2","9","2","12","1","56","1","","","106","2","1.26","2","41","2","",""
"해양환경측정망","가막만2_환경관리","1998-05-01 00:00:00","127.68833","34.68917","0","0","표층","30.4844","1","18.9","1","12.2","2","9.38571","1","8.14","2","18.5891","2","4.77913","1","9.95664","1","2.7","2","41","2","0.496099","2","12.0288","2","",""
"해양환경측정망","가막만2_환경관리","1998-05-01 00:00:00","127.68833","34.68917","0","5","저층","31.137","1","18.3","1","","","10.8286","1","8.12","2","11.924","2","8.45537","1","1.63896","1","","","37","2","0.35207","2","23.4882","2","",""
"해양환경측정망","가막만2_환경관리","1998-08-01 00:00:00","127.68833","34.68917","0","0","표층","29.72","1","27.52","1","9.5","2","9.5","1","8.02","2","1","2","0","1","28","1","3","2","162","2","3.05","2","133","2","",""
"해양환경측정망","가막만2_환경관리","1998-08-01 00:00:00","127.68833","34.68917","0","6","저층","29.76","1","26.38","1","","","8.63","1","7.99","2","1","2","0","1","21","1","","","26","2","3.56","2","4","2","",""
"해양환경측정망","가막만2_환경관리","1998-11-01 00:00:00","127.68833","34.68917","0","0","표층","30.08","1","18.59","1","6.4","2","8.94286","1","8.2","2","1.79042","2","26.9123","1","3.36378","1","3.8","2","21","2","1.82436","2","15.767","2","",""
"해양환경측정망","가막만2_환경관리","1998-11-01 00:00:00","127.68833","34.68917","0","7","저층","30.1","1","18.4","1","","","9.2","1","8.21","2","5.10403","2","27.5346","1","0.508319","1","","","23","2","2.38448","2","17.1164","2","",""
"해양환경측정망","가막만3_환경관리","1998-02-01 00:00:00","127.69028","34.62139","0","0","표층","33.52","1","9","1","10","2","10.47","1","8.13","2","7","2","24","1","93","1","1.5","2","117","2","2.7","2","17","2","",""
"해양환경측정망","가막만3_환경관리","1998-02-01 00:00:00","127.69028","34.62139","0","9","저층","33.56","1","8.9","1","","","10.93","1","8.09","2","6","2","22","1","96","1","","","117","2","0.7","2","15","2","",""
"해양환경측정망","가막만3_환경관리","1998-05-01 00:00:00","127.69028","34.62139","0","0","표층","31.3509","1","18.4","1","4.4","2","9.7","1","8.12","2","11.8017","2","3.12481","1","3.42602","1","2.5","2","29","2","0.416083","2","13.8082","2","",""
"해양환경측정망","가막만3_환경관리","1998-05-01 00:00:00","127.69028","34.62139","0","7","저층","31.3244","1","17","1","","","10.2143","1","8.08","2","14.4922","2","6.80106","1","1.6658","1","","","32","2","0.304061","2","15.6588","2","",""
"해양환경측정망","가막만3_환경관리","1998-08-01 00:00:00","127.69028","34.62139","0","0","표층","30.49","1","27.35","1","18.6","2","7.6","1","7.96","2","2","2","1","1","9","1","3.7","2","17","2","3.21","2","6","2","",""
"해양환경측정망","가막만3_환경관리","1998-08-01 00:00:00","127.69028","34.62139","0","9","저층","30.72","1","27.29","1","","","7.29","1","7.82","2","5","2","11","1","33","1","","","55","2","3.22","2","17","2","",""
"해양환경측정망","가막만3_환경관리","1998-11-01 00:00:00","127.69028","34.62139","0","0","표층","30.94","1","19.2","1","7.4","2","8.37143","1","8.21","2","8.15042","2","22.0899","1","28.349","1","2.4","2","43","2","2.94459","2","6.74713","2","",""
"해양환경측정망","가막만3_환경관리","1998-11-01 00:00:00","127.69028","34.62139","0","9","저층","31.1","1","18.81","1","","","8.45714","1","8.2","2","12.6666","2","23.6455","1","36.2793","1","","","61","2","1.87237","2","11.5767","2","",""
