"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","총질소[μg/L]","tn_qc","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","클로로필-a[μg/L]","chla_qc","부유물질 농도[μg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","유분[mg/L]","fra_qc","총인[μg/L]","totp_qc"
"해양환경측정망","가로림연안1_연안","2002-02-01 00:00:00","126.3269444","36.94638889","0","0","표층","398.057","2","31.81","1","4.62","1","0.76","1","44.8","2","12.7136","1","8.31","2","4.50226","2","50.0435","1","157.977","1","0.4","2","221.222","2","0.97","2","58.7426","2","","","97.552","2"
"해양환경측정망","가로림연안1_연안","2002-02-01 00:00:00","126.3269444","36.94638889","0","13","저층","276.836","2","31.82","1","4.62","1","","","","","11.5566","1","8.32","2","6.01661","2","54.5302","1","179.426","1","","","186.2","2","0.98","2","0.7574","2","","","129.099","2"
"해양환경측정망","가로림연안1_연안","2002-05-01 00:00:00","126.3269444","36.94638889","0","0","표층","276","2","31.37","1","10.21","1","1.46","1","15.4","2","9.33","1","7.92","2","4","2","27.5","1","199","1","1.5","2","241","2","0.71","2","38","2","","","53.6","2"
"해양환경측정망","가로림연안1_연안","2002-05-01 00:00:00","126.3269444","36.94638889","0","23","저층","286","2","31.38","1","10.02","1","","","","","9.09","1","7.91","2","5","2","27.8","1","210","1","","","239","2","0.52","2","24","2","","","61","2"
"해양환경측정망","가로림연안1_연안","2002-08-01 00:00:00","126.3269444","36.94638889","0","0","표층","224","2","30.06","1","22.36","1","2.41","1","33.8","2","5.32","1","7.89","2","10","2","14.8","1","87","1","0.5","2","118","2","1.59","2","21","2","","","100.5","2"
"해양환경측정망","가로림연안1_연안","2002-08-01 00:00:00","126.3269444","36.94638889","0","14","저층","2795","2","30.58","1","21.98","1","","","","","5.76","1","7.9","2","10","2","11.6","1","49","1","","","74","2","1.25","2","15","2","","","73.2","2"
"해양환경측정망","가로림연안1_연안","2002-11-01 00:00:00","126.3269444","36.94638889","0","0","표층","75","2","31.52","1","13.44","1","0.80908","1","20.6","2","7.72","1","8.04","2","3","2","17.2694","1","60.9702","1","1.9","2","68.676","2","1.63","2","4.70588","2","","","40.3685","2"
"해양환경측정망","가로림연안1_연안","2002-11-01 00:00:00","126.3269444","36.94638889","0","12","저층","88","2","31.54","1","12.12","1","","","","","8.03","1","8.02","2","5.51429","2","21.9406","1","64.5707","1","","","81.1438","2","1.78","2","11.0588","2","","","48.4087","2"
"해양환경측정망","가로림연안2_연안","2002-02-01 00:00:00","126.3133333","36.99","0","0","표층","261.373","2","31.81","1","4.68","1","0.73","1","22.2","2","9.2424","1","8.25","2","4.988","2","56.2708","1","153.677","1","0.9","2","176.662","2","0.95","2","17.997","2","","","110.076","2"
"해양환경측정망","가로림연안2_연안","2002-02-01 00:00:00","126.3133333","36.99","0","14","저층","263.314","2","31.81","1","4.64","1","","","","","9.28525","1","8.29","2","4.45535","2","49.941","1","159.626","1","","","167.893","2","0.81","2","3.8122","2","","","141.11","2"
"해양환경측정망","가로림연안2_연안","2002-05-01 00:00:00","126.3133333","36.99","0","0","표층","298","2","31.38","1","9.83","1","1.94","1","18.6","2","9.47","1","7.93","2","4","2","29.9","1","210","1","1","2","245","2","0.65","2","31","2","","","55.9","2"
"해양환경측정망","가로림연안2_연안","2002-05-01 00:00:00","126.3133333","36.99","0","20","저층","290","2","31.41","1","9.67","1","","","","","9.46","1","7.91","2","4","2","25.5","1","215","1","","","235","2","0.6","2","16","2","","","76.6","2"
"해양환경측정망","가로림연안2_연안","2002-08-01 00:00:00","126.3133333","36.99","0","0","표층","240","2","30.73","1","21.63","1","1.72","1","11.6","2","6.09","1","7.91","2","15","2","15.1","1","57","1","2.3","2","109","2","1.89","2","37","2","","","45.2","2"
"해양환경측정망","가로림연안2_연안","2002-08-01 00:00:00","126.3133333","36.99","0","17","저층","201","2","30.83","1","21.64","1","","","","","6.33","1","7.91","2","11","2","11.4","1","35","1","","","74","2","1.08","2","28","2","","","41.3","2"
"해양환경측정망","가로림연안2_연안","2002-11-01 00:00:00","126.3133333","36.99","0","0","표층","92","2","31.47","1","14.15","1","0.86208","1","21","2","7.47","1","8.07","2","3.51429","2","15.4292","1","81.4244","1","2.3","2","89.4092","2","0.63","2","4.47059","2","","","46.0637","2"
"해양환경측정망","가로림연안2_연안","2002-11-01 00:00:00","126.3133333","36.99","0","13","저층","96","2","31.48","1","14.16","1","","","","","7.65","1","8.08","2","2.02857","2","14.0137","1","82.5688","1","","","85.7738","2","0.65","2","1.17647","2","","","50.5863","2"
"해양환경측정망","가로림연안3_연안","2002-02-01 00:00:00","126.2","36.94166667","0","0","표층","348.005","2","31.63","1","4.53","1","3.2","1","45.4","2","9.2424","1","8.31","2","4.39989","2","60.2466","1","159.977","1","0.5","2","167.248","2","1.62","2","2.8714","2","","","175.425","2"
"해양환경측정망","가로림연안3_연안","2002-02-01 00:00:00","126.2","36.94166667","0","35","저층","837.78","2","31.81","1","4.53","1","","","","","8.99955","1","8.31","2","5.08551","2","40.4316","1","135.006","1","","","148.379","2","1.22","2","8.2866","2","","","124.115","2"
"해양환경측정망","가로림연안3_연안","2002-05-01 00:00:00","126.2","36.94166667","0","0","표층","235","2","31.49","1","9.16","1","1.51","1","16.8","2","9.43","1","7.93","2","4","2","26.8","1","207","1","1.5","2","220","2","0.44","2","9","2","","","62.9","2"
"해양환경측정망","가로림연안3_연안","2002-05-01 00:00:00","126.2","36.94166667","0","34","저층","295","2","31.48","1","8.99","1","","","","","9.57","1","7.91","2","4","2","27.8","1","208","1","","","222","2","0.3","2","10","2","","","72.5","2"
