"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","총질소[μg/L]","tn_qc","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","클로로필-a[μg/L]","chla_qc","부유물질 농도[μg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","규산염[μg/L]","reasil_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","총인[μg/L]","totp_qc"
"해양환경측정망","가로림연안1_연안","2013-02-16 00:00:00","126.3269444","36.94638889","0","0","표층","377.6","2","30.99","1","2.65","1","4.46","1","46.5","2","11.14","1","8.1","2","511","1","1.5","2","25.5","1","194.1","1","1","2","271.8","2","1.18","2","76.1","2","26.2","2"
"해양환경측정망","가로림연안1_연안","2013-02-16 00:00:00","126.3269444","36.94638889","0","18","저층","388.9","2","31.05","1","2.62","1","5.62","1","25.9","2","11.05","1","8.15","2","519.7","1","1.4","2","28.3","1","198.3","1","","","208.4","2","1.56","2","8.7","2","28.7","2"
"해양환경측정망","가로림연안1_연안","2013-05-20 00:00:00","126.3269444","36.94638889","0","0","표층","335.1","2","31.01","1","9.91","1","4","1","12.4","2","10.44","1","8.03","2","101.7","1","2.9","2","11.7","1","134.2","1","2","2","138","2","1.07","2","0.9","2","21.9","2"
"해양환경측정망","가로림연안1_연안","2013-05-20 00:00:00","126.3269444","36.94638889","0","23","저층","337.5","2","31.06","1","9.65","1","4.03","1","11.5","2","10.34","1","8.07","2","89.8","1","3.1","2","12.2","1","135.5","1","","","139","2","1.46","2","0.4","2","21.3","2"
"해양환경측정망","가로림연안1_연안","2013-08-04 00:00:00","126.3269444","36.94638889","0","0","표층","170.4","2","31.07","1","22.62","1","4.47","1","8.6","2","8.54","1","8.17","2","42.5","1","1.3","2","0.2","1","8.7","1","3.5","2","12.5","2","0.99","2","2.5","2","16.4","2"
"해양환경측정망","가로림연안1_연안","2013-08-04 00:00:00","126.3269444","36.94638889","0","16","저층","310.3","2","31.07","1","22.6","1","5.74","1","18.2","2","8.16","1","8.2","2","33.3","1","1.4","2","0","1","11.5","1","","","15.7","2","1.07","2","2.8","2","22.4","2"
"해양환경측정망","가로림연안1_연안","2013-11-05 00:00:00","126.3269444","36.94638889","0","0","표층","211.2","2","31.46","1","16.04","1","2","1","10.6","2","7.69","1","8.05","2","262.5","1","11.2","2","19.1","1","99.7","1","1.5","2","115","2","1.37","2","4","2","20.1","2"
"해양환경측정망","가로림연안1_연안","2013-11-05 00:00:00","126.3269444","36.94638889","0","24","저층","214","2","31.45","1","15.99","1","3.42","1","20.2","2","7.58","1","8.07","2","261.9","1","12.9","2","22.4","1","99.7","1","","","116","2","1.01","2","3.3","2","23.6","2"
"해양환경측정망","가로림연안2_연안","2013-02-16 00:00:00","126.3133333","36.99","0","0","표층","403.2","2","31.15","1","3.15","1","5.46","1","26.6","2","11.03","1","8.07","2","539.1","1","1.5","2","32.3","1","208.1","1","0.5","2","300","2","1.1","2","90.4","2","53.5","2"
"해양환경측정망","가로림연안2_연안","2013-02-16 00:00:00","126.3133333","36.99","0","19","저층","434.8","2","31.14","1","3.16","1","5.44","1","27.1","2","10.99","1","8.12","2","532.6","1","1.2","2","30.6","1","206.1","1","","","295.1","2","1.26","2","87.8","2","57.9","2"
"해양환경측정망","가로림연안2_연안","2013-05-20 00:00:00","126.3133333","36.99","0","0","표층","330.5","2","31.02","1","9.81","1","2.41","1","8.6","2","10.47","1","8.02","2","120.7","1","3.3","2","14","1","181.4","1","3.5","2","191","2","1.02","2","6.3","2","19.8","2"
"해양환경측정망","가로림연안2_연안","2013-05-20 00:00:00","126.3133333","36.99","0","26","저층","337.3","2","31.04","1","9.63","1","4.61","1","11.2","2","10.43","1","8.03","2","86.4","1","2.6","2","13.7","1","168.6","1","","","177.2","2","1.38","2","6.1","2","21.9","2"
"해양환경측정망","가로림연안2_연안","2013-08-04 00:00:00","126.3133333","36.99","0","0","표층","153.4","2","31.09","1","22.78","1","4.64","1","6.4","2","8.68","1","8.18","2","30.2","1","0.8","2","0.2","1","8.1","1","4.5","2","11.5","2","0.95","2","2.6","2","15.9","2"
"해양환경측정망","가로림연안2_연안","2013-08-04 00:00:00","126.3133333","36.99","0","20","저층","195.8","2","31.09","1","22.69","1","5.54","1","15.7","2","8","1","8.22","2","24.9","1","1","2","0.2","1","5.9","1","","","9.3","2","1.14","2","2.3","2","19.6","2"
"해양환경측정망","가로림연안2_연안","2013-11-05 00:00:00","126.3133333","36.99","0","0","표층","227.4","2","31.38","1","16.16","1","2.61","1","6.2","2","7.6","1","8.04","2","270.8","1","12.2","2","20.9","1","110.1","1","1.5","2","124.6","2","1.04","2","2.3","2","21.7","2"
"해양환경측정망","가로림연안2_연안","2013-11-05 00:00:00","126.3133333","36.99","0","30","저층","225.6","2","31.38","1","16.17","1","3.04","1","15.4","2","7.52","1","8.06","2","264.2","1","12.4","2","20.8","1","107.1","1","","","123.9","2","1","2","4.4","2","22.1","2"
"해양환경측정망","가로림연안3_연안","2013-02-16 00:00:00","126.2","36.94166667","0","0","표층","412.8","2","31.06","1","2.87","1","4.92","1","22.3","2","11.01","1","8.05","2","541.9","1","1.1","2","31.2","1","216.5","1","0.6","2","232.4","2","1.16","2","14.8","2","49.7","2"
"해양환경측정망","가로림연안3_연안","2013-02-16 00:00:00","126.2","36.94166667","0","20","저층","499.4","2","31.06","1","2.75","1","4.22","1","45.1","2","10.98","1","8.1","2","540.1","1","0.9","2","31.1","1","221.9","1","","","248.9","2","1.16","2","26","2","66.9","2"
"해양환경측정망","가로림연안3_연안","2013-05-20 00:00:00","126.2","36.94166667","0","0","표층","341.4","2","31.05","1","9.27","1","3.27","1","6.6","2","10.45","1","7.98","2","97.5","1","2.4","2","14.2","1","174.8","1","3","2","189.1","2","1.2","2","11.9","2","20.8","2"
"해양환경측정망","가로림연안3_연안","2013-05-20 00:00:00","126.2","36.94166667","0","26","저층","338.3","2","31.05","1","9.22","1","3.77","1","10.4","2","9.94","1","8.04","2","92.8","1","2.3","2","14.1","1","177.3","1","","","192.8","2","1.15","2","13.3","2","21.7","2"
"해양환경측정망","가로림연안3_연안","2013-08-04 00:00:00","126.2","36.94166667","0","0","표층","129.7","2","31.13","1","22.78","1","3.77","1","5.8","2","7.8","1","8.18","2","30.2","1","1.4","2","0.1","1","8.8","1","7.5","2","12.1","2","0.85","2","1.9","2","13.2","2"
"해양환경측정망","가로림연안3_연안","2013-08-04 00:00:00","126.2","36.94166667","0","34","저층","169.8","2","31.13","1","22.67","1","4.95","1","6.9","2","7.5","1","8.21","2","31.4","1","1.2","2","0.7","1","8.5","1","","","11.9","2","1.09","2","2.1","2","15.3","2"
"해양환경측정망","가로림연안3_연안","2013-11-05 00:00:00","126.2","36.94166667","0","0","표층","216.8","2","31.38","1","16.3","1","2.21","1","7","2","7.61","1","8.05","2","256.2","1","10.9","2","19.7","1","106.2","1","2.5","2","118.5","2","1.03","2","1.4","2","33","2"
"해양환경측정망","가로림연안3_연안","2013-11-05 00:00:00","126.2","36.94166667","0","27","저층","222","2","31.38","1","16.29","1","2.75","1","12.6","2","7.53","1","8.07","2","265.8","1","11","2","20.2","1","110.4","1","","","123.2","2","1.14","2","1.7","2","32.9","2"
"해양환경측정망","가막만1_환경관리","2013-02-23 00:00:00","127.73417","34.7225","0","0","표층","194.2","2","32.98","1","7.42","1","13.65","1","10","2","10.74","1","8.41","2","36.6","1","1.8","2","4.5","1","11","1","2.2","2","28.5","2","1.41","2","15.7","2","25.5","2"
