"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","dep_flag","총질소[μg/L]","tn_qc","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","클로로필-a[μg/L]","chla_qc","부유물질 농도[mg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","규산염[μg/L]","reasil_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","총인[μg/L]","totp_qc"
"해양환경측정망","가로림연안1_연안","2018-02-08 15:26:00","126.3269444","36.94638889","0","0","0","265","2","31.97","1","0.25","1","0.85","1","49.8","2","10.33","1","8.26","2","332","4","2.6","2","29.1","4","160.6","4","1.6","2","167.4","2","1.59","2","4.2","2","30","2"
"해양환경측정망","가로림연안1_연안","2018-02-08 15:26:00","126.3269444","36.94638889","0","14","0","287.6","2","31.97","1","0.21","1","0.96","1","24.2","2","10.48","1","8.26","2","328.4","4","2.6","2","32.9","4","164.3","4","","","171.9","2","2.05","2","5","2","33.7","2"
"해양환경측정망","가로림연안1_연안","2018-05-15 00:00:00","126.3269444","36.94638889","0","0","0","242.1","2","31.69","1","10.42","1","4.17","1","64.3","2","7.7","1","8.07","2","43.3","1","1.2","2","1.2","1","92.3","1","1.1","2","105.1","2","2.4","2","11.6","2","25.4","2"
"해양환경측정망","가로림연안1_연안","2018-05-15 00:00:00","126.3269444","36.94638889","0","23","0","243.9","2","31.73","1","10.07","1","4.7","1","62.3","2","7.47","1","8.07","2","40.9","1","1.3","2","1.3","1","96.9","1","","","110.1","2","2.14","2","12","2","27","2"
"해양환경측정망","가로림연안1_연안","2018-08-13 11:05:00","126.3269444","36.94638889","0","0","0","185.7","2","31.61","1","25.37","1","1.99","1","36.8","2","7.88","1","7.98","2","265.8","4","2.6","2","15","4","11.6","1","0.9","2","37.8","2","1.39","2","23.6","2","31.2","2"
"해양환경측정망","가로림연안1_연안","2018-08-13 11:05:00","126.3269444","36.94638889","0","15","0","193","2","31.59","1","23.77","1","2.07","1","32.1","2","7.77","1","8.02","2","217.8","4","2.7","2","12.5","4","7.6","1","","","29.5","2","1.87","2","19.2","2","31.1","2"
"해양환경측정망","가로림연안1_연안","2018-11-12 14:10:00","126.3269444","36.94638889","0","0","0","286.8","2","31.44","1","15.3","1","0.72","1","14.8","2","7.85","1","8.13","2","327.7","4","9.5","2","23.4","4","126.9","4","1.4","2","147.4","2","1.27","2","11","2","34.8","2"
"해양환경측정망","가로림연안1_연안","2018-11-12 14:10:00","126.3269444","36.94638889","0","20","0","250","2","31.44","1","15.26","1","0.68","1","15.7","2","7.82","1","8.14","2","1.3","1","0.9","2","24.1","4","121.2","1","","","131.4","2","1.55","2","9.3","2","29.4","2"
"해양환경측정망","가로림연안2_연안","2018-02-08 14:30:00","126.3133333","36.99","0","0","0","323.9","2","31.88","1","2.34","1","0.84","1","22.3","2","10.65","1","8.24","2","367.3","4","4.3","2","40.4","4","299.8","4","1.5","2","309.2","2","1.19","2","5.1","2","41.5","2"
"해양환경측정망","가로림연안2_연안","2018-02-08 14:30:00","126.3133333","36.99","0","24","0","310","2","31.88","1","2.1","1","1","1","53.3","2","10.27","1","8.24","2","367","4","4.3","2","51.2","4","226.3","4","","","236.5","2","1.54","2","6","2","57.7","2"
"해양환경측정망","가로림연안2_연안","2018-05-15 00:00:00","126.3133333","36.99","0","0","0","248","2","31.75","1","9.72","1","3.87","1","52.7","2","7.36","1","8.06","2","33.1","1","1.1","2","1.1","1","99.1","1","1.7","2","104.6","2","1.93","2","4.4","2","24.2","2"
