project_name,station,yyyy-mm-dd hh:mm:ss,유효시간,Longitude [degrees_east],Latitude [degrees_north],수심(m),수심(text),전체수심(m),총질소[μg/L],totdisn_qc,염분[psu],sal_qc,수온[℃],wtrtmp_qc,클로로필-a[μg/L],chla_qc,부유물질 농도[mg/L],sussed_qc,용존산소[mg/L],disoxy_qc,수소이온농도[무단위],hydioncon_qc,규산염[μg/L],reasil_qc,아질산성질소[μg/L],nitnit_qc,인산염인[μg/L],po4p_qc,질산성질소[μg/L],natnit_qc,투명도[m],tr_qc,용존무기질소[μg/L],disinon_qc,화학적산소요구량[mg/L],cheoxydem_qc,암모니아성 질소[μg/L],amn_qc,총인[μg/L],totp_qc
해양환경측정망,가로림연안1_연안,2020-02-21 11:30,Minute,126.3269444,36.94638889,0,표층,19,285.208,2,31.7594,1,5.5484,1,1.74,1,22.6,2,10.6337,1,8.12,2,367.332,1,1.47,2,22.103,1,137.298,1,1.5,2,143.08,2,1.80096,2,4.312,2,39.153,2
해양환경측정망,가로림연안1_연안,2020-02-21 11:30,Minute,126.3269444,36.94638889,19,저층,19,257.236,2,31.7588,1,5.5169,1,1.48,1,13.7,2,10.6744,1,8.14,2,359.604,1,1.316,2,21.669,1,142.814,1,,,147.616,2,1.81704,2,3.486,2,34.906,2
해양환경측정망,가로림연안1_연안,2020-05-14 11:48,Minute,126.3269444,36.94638889,0,표층,18,269.766,2,31.7727,1,12.4678,1,0.503333,1,28.2,2,9.15351,1,8.01,2,138.376,1,4.816,2,15.345,1,137.592,1,1.5,2,145.488,2,1.55861,2,3.08,2,34.317,2
해양환경측정망,가로림연안1_연안,2020-05-14 11:48,Minute,126.3269444,36.94638889,18,저층,18,301.098,2,31.7707,1,11.5276,1,3.24667,1,66.5,2,9.08461,1,8.01,2,96.768,1,3.542,2,13.795,1,117.278,1,,,123.634,2,2.06891,2,2.814,2,39.215,2
해양환경측정망,가로림연안1_연안,2020-08-12 14:49,Minute,126.3269444,36.94638889,0,표층,11,331.8,2,29.8649,1,21.7445,1,1.13,1,18.5,2,6.98451,1,7.92,2,345.24,1,20.916,2,21.886,1,120.358,1,1.5,2,190.204,2,1.86368,2,48.93,2,39.99,2
해양환경측정망,가로림연안1_연안,2020-08-12 14:49,Minute,126.3269444,36.94638889,11,저층,11,314.902,2,30.1122,1,21.503,1,0.98,1,32.4,2,6.95984,1,7.94,2,311.052,1,19.88,2,21.049,1,104.622,1,,,169.246,2,1.8304,2,44.744,2,33.821,2
해양환경측정망,가로림연안1_연안,2020-11-15 14:33,Minute,126.3269444,36.94638889,0,표층,12,225.876,2,31.1163,1,15.7632,1,1.23333,1,15.5,2,8.26577,1,8.12,2,238.952,1,6.552,2,17.019,1,82.852,1,1.8,2,92.484,2,1.76292,2,3.08,2,28.83,2
해양환경측정망,가로림연안1_연안,2020-11-15 14:33,Minute,126.3269444,36.94638889,12,저층,12,217.574,2,31.1143,1,15.7545,1,1.4,1,11.5,2,8.25066,1,8.12,2,229.712,1,6.44,2,16.027,1,80.234,1,,,88.13,2,2.01161,2,1.456,2,23.808,2
해양환경측정망,가로림연안2_연안,2020-02-21 11:04,Minute,126.3133333,36.99,0,표층,19,323.946,2,31.8122,1,5.7934,1,1.292,1,40.3,2,10.4854,1,8.09,2,391.3,1,1.484,2,25.668,1,163.17,1,1,2,169.33,2,1.75272,2,4.676,2,49.476,2
해양환경측정망,가로림연안2_연안,2020-02-21 11:04,Minute,126.3133333,36.99,19,저층,19,330.624,2,31.8077,1,5.7666,1,1.308,1,41.5,2,10.2684,1,8.11,2,386.596,1,1.456,2,25.234,1,174.44,1,,,180.04,2,1.73664,2,4.144,2,38.843,2
해양환경측정망,가로림연안2_연안,2020-05-14 10:55,Minute,126.3133333,36.99,0,표층,20,268.31,2,31.8114,1,12.0011,1,0.555,1,22.7,2,9.33276,1,8.01,2,131.32,1,4.522,2,15.5,1,140.14,1,2,2,152.278,2,1.62053,2,7.616,2,29.047,2
해양환경측정망,가로림연안2_연안,2020-05-14 10:55,Minute,126.3133333,36.99,20,저층,20,266.294,2,31.7798,1,11.1318,1,2.66,1,93.3,2,9.20779,1,8.01,2,116.284,1,4.242,2,16.554,1,147.462,1,,,162.876,2,1.98571,2,11.172,2,36.084,2
해양환경측정망,가로림연안2_연안,2020-08-08 13:41,Minute,126.3133333,36.99,0,표층,20,267.456,2,30.0041,1,21.5498,1,1.03333,1,12,2,6.96864,1,7.93,2,238.084,1,20.622,2,17.546,1,95.2,1,1.5,2,144.312,2,1.29237,2,28.49,2,43.865,2
해양환경측정망,가로림연안2_연안,2020-08-08 13:41,Minute,126.3133333,36.99,20,저층,20,239.498,2,30.9044,1,20.6926,1,0.886667,1,23.2,2,7.14114,1,7.95,2,170.1,1,19.488,2,13.981,1,60.13,1,,,99.708,2,1.73056,2,20.09,2,35.898,2
