"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","클로로필-a[μg/L]","chla_qc","부유물질 농도[μg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","유분[mg/L]","fra_qc"
"해양환경측정망","가로림연안1_연안","2000-02-01 00:00:00","126.3269444","36.94638889","0","0","표층","31.41","1","3.7","1","0.0024388","1","30.4","2","9.07098","1","7.98","2","2.57544","2","32.7415","1","192.765","1","0.6","2","195.829","2","1.71","2","0.4886","2","",""
"해양환경측정망","가로림연안1_연안","2000-02-01 00:00:00","126.3269444","36.94638889","0","13","저층","31.41","1","3.76","1","","","","","7.31392","1","7.96","2","2.9267","2","39.4682","1","170.205","1","","","175.57","2","0.92","2","2.4388","2","",""
"해양환경측정망","가로림연안1_연안","2000-05-01 00:00:00","126.3269444","36.94638889","0","0","표층","31.63","1","10.53","1","2.85","1","23.8","2","8.67099","1","7.96","2","2.00673","2","17.7543","1","117.199","1","0.9","2","119.356","2","0.89","2","0.150178","2","",""
"해양환경측정망","가로림연안1_연안","2000-05-01 00:00:00","126.3269444","36.94638889","0","23","저층","31.63","1","10.48","1","","","","","8.55672","1","7.95","2","2.85408","2","15.2524","1","104.277","1","","","109.094","2","0.46","2","1.96252","2","",""
"해양환경측정망","가로림연안1_연안","2000-08-01 00:00:00","126.3269444","36.94638889","0","0","표층","31.56","1","23.28","1","0.13","1","27.8","2","4.95689","1","8.09","2","3.06212","2","12.8774","1","37.7437","1","2.5","2","53.0126","2","1.13","2","12.2067","2","",""
"해양환경측정망","가로림연안1_연안","2000-08-01 00:00:00","126.3269444","36.94638889","0","14","저층","31.57","1","22","1","","","","","6.22826","1","8.08","2","5.98112","2","10.9577","1","36.5481","1","","","63.7677","2","1.21","2","21.2384","2","",""
"해양환경측정망","가로림연안1_연안","2000-11-01 00:00:00","126.3269444","36.94638889","0","0","표층","31.04","1","14.72","1","0.18","1","9","2","6.34254","1","7.77","2","15.176","2","17.2209","1","120.246","1","2","2","148.219","2","0.6","2","12.7974","2","",""
"해양환경측정망","가로림연안1_연안","2000-11-01 00:00:00","126.3269444","36.94638889","0","12","저층","31.1","1","14.57","1","","","","","6.31397","1","7.76","2","15.806","2","17.2674","1","109.41","1","","","135.271","2","0.91","2","10.0552","2","",""
"해양환경측정망","가로림연안2_연안","2000-02-01 00:00:00","126.3133333","36.99","0","0","표층","31.39","1","3.73","1","0.0045766","1","35.8","2","8.17102","1","8","2","2.37048","2","34.2002","1","188.374","1","0.6","2","192.195","2","1.24","2","1.4504","2","",""
"해양환경측정망","가로림연안2_연안","2000-02-01 00:00:00","126.3133333","36.99","0","14","저층","31.39","1","3.71","1","","","","","7.51391","1","7.97","2","2.6404","2","38.0962","1","171.387","1","","","178.604","2","0.8","2","4.5766","2","",""
"해양환경측정망","가로림연안2_연안","2000-05-01 00:00:00","126.3133333","36.99","0","0","표층","31.59","1","8.99","1","2.85","1","22.2","2","8.54243","1","7.96","2","2.52867","2","15.5174","1","141.274","1","1","2","144.094","2","0.91","2","0.291018","2","",""
"해양환경측정망","가로림연안2_연안","2000-05-01 00:00:00","126.3133333","36.99","0","20","저층","31.59","1","8.93","1","","","","","8.65671","1","7.95","2","1.06642","2","16.6851","1","146.661","1","","","147.772","2","0.86","2","0.044576","2","",""
"해양환경측정망","가로림연안2_연안","2000-08-01 00:00:00","126.3133333","36.99","0","0","표층","31.52","1","21.93","1","0.34","1","14","2","6.07113","1","8.09","2","3.13947","2","6.96168","1","39.7405","1","3.5","2","48.6262","2","1.11","2","5.74616","2","",""
"해양환경측정망","가로림연안2_연안","2000-08-01 00:00:00","126.3133333","36.99","0","17","저층","31.57","1","21.46","1","","","","","6.29969","1","8.07","2","5.2774","2","8.63614","1","73.9329","1","","","134.636","2","1.13","2","55.4253","2","",""
"해양환경측정망","가로림연안2_연안","2000-11-01 00:00:00","126.3133333","36.99","0","0","표층","31.06","1","16.04","1","0.26","1","4.6","2","5.97113","1","7.72","2","12.348","2","17.2541","1","116.914","1","2.5","2","135.97","2","0.6","2","6.70824","2","",""
"해양환경측정망","가로림연안2_연안","2000-11-01 00:00:00","126.3133333","36.99","0","13","저층","31.05","1","16.03","1","","","","","6.25683","1","7.73","2","14.588","2","18.7935","1","97.734","1","","","120.492","2","0.49","2","8.16984","2","",""
"해양환경측정망","가로림연안3_연안","2000-02-01 00:00:00","126.2","36.94166667","0","0","표층","31.42","1","3.88","1","0.0044366","1","32.4","2","8.34244","1","8.01","2","2.29474","2","40.6326","1","201.436","1","0.7","2","207.454","2","1.13","2","3.7226","2","",""
"해양환경측정망","가로림연안3_연안","2000-02-01 00:00:00","126.2","36.94166667","0","35","저층","31.42","1","3.88","1","","","","","8.21387","1","7.98","2","2.26226","2","45.0304","1","158.973","1","","","165.672","2","0.89","2","4.4366","2","",""
"해양환경측정망","가로림연안3_연안","2000-05-01 00:00:00","126.2","36.94166667","0","0","표층","31.56","1","7.85","1","1.25","1","12.2","2","7.38534","1","7.97","2","2.15106","2","21.4752","1","162.81","1","2.1","2","165.017","2","0.48","2","0.056574","2","",""
"해양환경측정망","가로림연안3_연안","2000-05-01 00:00:00","126.2","36.94166667","0","34","저층","31.56","1","7.85","1","","","","","8.68528","1","7.95","2","1.34492","2","26.8059","1","165.654","1","","","168.955","2","0.38","2","1.95531","2","",""
"해양환경측정망","가로림연안3_연안","2000-08-01 00:00:00","126.2","36.94166667","0","0","표층","31.62","1","21.42","1","0.1","1","42.2","2","6.3854","1","8.09","2","7.26135","2","8.18128","1","33.4047","1","6","2","54.9085","2","0.88","2","14.2425","2","",""
"해양환경측정망","가로림연안3_연안","2000-08-01 00:00:00","126.2","36.94166667","0","30","저층","31.63","1","21.03","1","","","","","6.62824","1","8.07","2","6.86921","2","6.55523","1","28.3431","1","","","47.7851","2","1.19","2","12.5727","2","",""
