"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","총질소[μg/L]","tn_qc","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","클로로필-a[μg/L]","chla_qc","부유물질 농도[μg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","유분[mg/L]","fra_qc","총인[μg/L]","totp_qc"
"해양환경측정망","가로림연안1_연안","2001-02-01 00:00:00","126.3269444","36.94638889","0","0","표층","20","2","31.35","1","2.59","1","0.25","1","28.8","2","10.9709","1","7.68","2","6","2","7","1","52","1","0.8","2","121","2","1.44","2","62","2","","","21","2"
"해양환경측정망","가로림연안1_연안","2001-02-01 00:00:00","126.3269444","36.94638889","0","13","저층","45","2","31.35","1","2.61","1","","","","","10.9423","1","7.66","2","7","2","8","1","48","1","","","106","2","1.97","2","52","2","","","11","2"
"해양환경측정망","가로림연안1_연안","2001-05-01 00:00:00","126.3269444","36.94638889","0","0","표층","","","31.55","1","11.38","1","0.08","1","22","2","6.2854","1","7.86","2","7.798","2","15.8443","1","245.098","1","0.8","2","355.564","2","1.03","2","102.668","2","","","",""
"해양환경측정망","가로림연안1_연안","2001-05-01 00:00:00","126.3269444","36.94638889","0","23","저층","","","31.53","1","11.24","1","","","","","6.08541","1","7.87","2","8.9138","2","14.1905","1","205.646","1","","","253.287","2","1.23","2","38.7268","2","","","",""
"해양환경측정망","가로림연안1_연안","2001-08-01 00:00:00","126.3269444","36.94638889","0","0","표층","228.601","2","30.4","1","24.1","1","0.14","1","55.6","2","6.29969","1","7.79","2","10.745","2","11.527","1","81.7306","1","1","2","126.126","2","0.44","2","33.6504","2","","","50.7598","2"
"해양환경측정망","가로림연안1_연안","2001-08-01 00:00:00","126.3269444","36.94638889","0","14","저층","204.277","2","30.69","1","23.38","1","","","","","6.21397","1","7.79","2","6.349","2","17.2844","1","64.6296","1","","","118.797","2","0.9","2","47.8184","2","","","52.3432","2"
"해양환경측정망","가로림연안1_연안","2001-11-01 00:00:00","126.3269444","36.94638889","0","0","표층","277.758","2","31.67","1","16.27","1","0.73","1","11.2","2","6.9568","1","8","2","6.04433","2","17.9432","1","79.358","1","2.3","2","96.998","2","0.91","2","11.5956","2","","","48.9668","2"
"해양환경측정망","가로림연안1_연안","2001-11-01 00:00:00","126.3269444","36.94638889","0","12","저층","231.727","2","31.69","1","15.9","1","","","","","7.6139","1","8.01","2","8.12808","2","18.3528","1","112.064","1","","","225.311","2","1.37","2","105.118","2","","","44.1985","2"
"해양환경측정망","가로림연안2_연안","2001-02-01 00:00:00","126.3133333","36.99","0","0","표층","7","2","31.26","1","2.97","1","0.51","1","30.4","2","10.8566","1","7.6","2","8","2","13","1","38","1","0.5","2","98","2","1.2","2","52","2","","","28","2"
"해양환경측정망","가로림연안2_연안","2001-02-01 00:00:00","126.3133333","36.99","0","14","저층","40","2","31.31","1","3.02","1","","","","","10.8566","1","7.6","2","5","2","14","1","32","1","","","94","2","3.12","2","57","2","","","29","2"
