"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","총질소[μg/L]","tn_qc","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","클로로필-a[μg/L]","chla_qc","부유물질 농도[μg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","규산염[μg/L]","reasil_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","유분[mg/L]","fra_qc","총인[μg/L]","totp_qc"
"해양환경측정망","가로림연안1_연안","2005-02-01 00:00:00","126.3269444","36.94638889","0","0","표층","386.219","2","31.27","1","3.07","1","1.77732","1","9.2","2","11.58","1","7.92","2","358.534","1","1","2","23","1","260","1","1.4","2","271","2","1.38747","2","10","2","","","35.2","2"
"해양환경측정망","가로림연안1_연안","2005-02-01 00:00:00","126.3269444","36.94638889","0","13","저층","351.521","2","31.28","1","3.01","1","0.561","1","22","2","10.49","1","7.91","2","350.026","1","1","2","26","1","334","1","","","342","2","1.34666","2","7","2","","","38.5","2"
"해양환경측정망","가로림연안1_연안","2005-05-01 00:00:00","126.3269444","36.94638889","0","0","표층","412.5","2","31.69","1","14.09","1","4.4756","1","20","2","9","1","8.03","2","46.8206","1","2","2","8","1","92","1","0.9","2","109","2","0.8712","2","15","2","","","31.9","2"
"해양환경측정망","가로림연안1_연안","2005-05-01 00:00:00","126.3269444","36.94638889","0","23","저층","451","2","31.64","1","13.21","1","3.6062","1","25.4","2","8.93","1","8.03","2","35.9649","1","3","2","11","1","178","1","","","191","2","1.2276","2","10","2","","","42.9","2"
"해양환경측정망","가로림연안1_연안","2005-08-01 00:00:00","126.3269444","36.94638889","0","0","표층","1218.8","2","30.31","1","23.54","1","2.13748","1","19","2","6.62","1","8.14","2","268.043","1","8","2","21","1","160","1","1.1","2","195","2","1.10611","2","27","2","","","45.1","2"
"해양환경측정망","가로림연안1_연안","2005-08-01 00:00:00","126.3269444","36.94638889","0","14","저층","1037.3","2","30.95","1","22.25","1","2.79388","1","24","2","6.39","1","8.13","2","128.056","1","6","2","11","1","66","1","","","84","2","1.26413","2","12","2","","","47.3","2"
"해양환경측정망","가로림연안1_연안","2005-11-01 00:00:00","126.3269444","36.94638889","0","0","표층","438.9","2","31.7","1","16.52","1","0.9172","1","7.8","2","7.84","1","8.09","2","262.593","1","11","2","28","1","203","1","2.7","2","225","2","0.53757","2","11","2","","","40.7","2"
"해양환경측정망","가로림연안1_연안","2005-11-01 00:00:00","126.3269444","36.94638889","0","12","저층","412.5","2","31.71","1","15.62","1","0.55316","1","8","2","7.66","1","8.08","2","162.479","1","13","2","36","1","194","1","","","224","2","0.61721","2","17","2","","","46.2","2"
"해양환경측정망","가로림연안2_연안","2005-02-01 00:00:00","126.3133333","36.99","0","0","표층","442.396","2","31.27","1","3.02","1","1.39804","1","20.6","2","10.87","1","7.94","2","346.468","1","1","2","22","1","296","1","1.1","2","309","2","0.979392","2","12","2","","","67.1","2"
"해양환경측정망","가로림연안2_연안","2005-02-01 00:00:00","126.3133333","36.99","0","14","저층","420.916","2","31.28","1","2.99","1","1.14508","1","23.4","2","10.47","1","7.92","2","335.924","1","1","2","43","1","293","1","","","300","2","1.26505","2","6","2","","","48.4","2"
