"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","총질소[μg/L]","tn_qc","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","클로로필-a[μg/L]","chla_qc","부유물질 농도[μg/L]","sussed_qc","용존산소[mg/L]","disoxy_qc","수소이온농도[무단위]","hydioncon_qc","규산염[μg/L]","reasil_qc","아질산성질소[μg/L]","nitnit_qc","인산염인[μg/L]","po4p_qc","질산성질소[μg/L]","natnit_qc","투명도[m]","tr_qc","용존무기질소[μg/L]","disinon_qc","화학적산소요구량[mg/L]","cheoxydem_qc","암모니아성 질소[μg/L]","amn_qc","총인[μg/L]","totp_qc"
"해양환경측정망","가로림연안1_연안","2006-02-01 00:00:00","126.3269444","36.94638889","0","0","표층","468.6","2","31.53","1","2.89","1","1.8962","1","17.8","2","11.73","1","8.19","2","319.295","1","4","2","14","1","234","1","1.4","2","245","2","0.63936","2","7","2","42.9","2"
"해양환경측정망","가로림연안1_연안","2006-02-01 00:00:00","126.3269444","36.94638889","0","13","저층","441.1","2","31.52","1","2.79","1","1.67184","1","24.8","2","11.51","1","8.18","2","282.971","1","4","2","19","1","292","1","","","298","2","0.71928","2","2","2","39.6","2"
"해양환경측정망","가로림연안1_연안","2006-05-01 00:00:00","126.3269444","36.94638889","0","0","표층","372.501","2","31.29","1","9.78","1","1.0678","1","8.4","2","11.31","1","8.1","2","143.033","1","4","2","26","1","294","1","1.7","2","306","2","0.58261","2","8","2","30.8","2"
"해양환경측정망","가로림연안1_연안","2006-05-01 00:00:00","126.3269444","36.94638889","0","23","저층","483.789","2","31.41","1","8.76","1","1.57008","1","14.8","2","11.1","1","8.09","2","126.886","1","6","2","23","1","294","1","","","304","2","0.84378","2","4","2","44","2"
"해양환경측정망","가로림연안1_연안","2006-08-01 00:00:00","126.3269444","36.94638889","0","0","표층","419.1","2","31.3","1","23.98","1","2.83464","1","14","2","8.1","1","7.92","2","91.7851","1","4","2","8","1","28","1","1.2","2","42","2","0.952992","2","10","2","42.9","2"
"해양환경측정망","가로림연안1_연안","2006-08-01 00:00:00","126.3269444","36.94638889","0","14","저층","360.8","2","31.38","1","23.23","1","2.75016","1","36.2","2","7.36","1","7.94","2","78.2814","1","6","2","9","1","24","1","","","42","2","0.952992","2","12","2","49.5","2"
"해양환경측정망","가로림연안1_연안","2006-11-01 00:00:00","126.3269444","36.94638889","0","0","표층","311.3","2","32.37","1","14.2","1","1.6008","1","22","2","8.02","1","8.1","2","255.522","1","9","2","20","1","39","1","1.5","2","56","2","1.05576","2","8","2","31.9","2"
"해양환경측정망","가로림연안1_연안","2006-11-01 00:00:00","126.3269444","36.94638889","0","12","저층","320.1","2","32.42","1","13.81","1","1.44444","1","22.2","2","7.88","1","8.12","2","355.159","1","11","2","20","1","128","1","","","147","2","0.498","2","8","2","35.2","2"
"해양환경측정망","가로림연안2_연안","2006-02-01 00:00:00","126.3133333","36.99","0","0","표층","489.5","2","31.42","1","3.13","1","0.55296","1","6.6","2","11.4","1","8.12","2","379.762","1","4","2","27","1","372","1","1.2","2","381","2","0.53946","2","5","2","42.9","2"
"해양환경측정망","가로림연안2_연안","2006-02-01 00:00:00","126.3133333","36.99","0","14","저층","514.8","2","31.47","1","2.99","1","0.20972","1","27.8","2","11.18","1","8.11","2","394.642","1","2","2","31","1","395","1","","","403","2","0.57942","2","6","2","66","2"
"해양환경측정망","가로림연안2_연안","2006-05-01 00:00:00","126.3133333","36.99","0","0","표층","379.105","2","31.45","1","8.55","1","0.92812","1","12.4","2","11.37","1","8.09","2","140.049","1","6","2","24","1","284","1","2.3","2","297","2","0.62279","2","7","2","33","2"
"해양환경측정망","가로림연안2_연안","2006-05-01 00:00:00","126.3133333","36.99","0","20","저층","497.658","2","31.45","1","8.19","1","1.04452","1","8","2","11.05","1","8.08","2","173.921","1","6","2","25","1","341","1","","","354","2","0.82369","2","7","2","41.8","2"
"해양환경측정망","가로림연안2_연안","2006-08-01 00:00:00","126.3133333","36.99","0","0","표층","346.5","2","31.51","1","21.87","1","3.41664","1","19.2","2","8.27","1","7.84","2","5.39417","1","4","2","4","1","35","1","1.2","2","43","2","0.972846","2","4","2","30.8","2"
"해양환경측정망","가로림연안2_연안","2006-08-01 00:00:00","126.3133333","36.99","0","17","저층","393.8","2","31.51","1","21.8","1","4.28664","1","38.6","2","6.65","1","7.84","2","1","1","7","2","7","1","30","1","","","43","2","1.21109","2","6","2","48.4","2"
"해양환경측정망","가로림연안2_연안","2006-11-01 00:00:00","126.3133333","36.99","0","0","표층","364.1","2","32.35","1","15.42","1","1.40012","1","16.8","2","7.8","1","8.12","2","194.488","1","6","2","19","1","117","1","2","2","128","2","0.5976","2","5","2","30.8","2"
"해양환경측정망","가로림연안2_연안","2006-11-01 00:00:00","126.3133333","36.99","0","13","저층","316.8","2","32.34","1","15.42","1","1.567","1","17.6","2","7.53","1","8.13","2","295.826","1","6","2","19","1","128","1","","","143","2","0.57768","2","9","2","30.8","2"
"해양환경측정망","가로림연안3_연안","2006-02-01 00:00:00","126.2","36.94166667","0","0","표층","587.4","2","31.56","1","2.86","1","0.50084","1","37.8","2","11.23","1","8.11","2","445.933","1","2","2","23","1","346","1","0.7","2","351","2","0.91908","2","3","2","48.4","2"
"해양환경측정망","가로림연안3_연안","2006-02-01 00:00:00","126.2","36.94166667","0","35","저층","554.4","2","31.56","1","2.83","1","0.20128","1","41.8","2","11.05","1","8.09","2","453.382","1","4","2","26","1","372","1","","","377","2","0.57942","2","1","2","66","2"
"해양환경측정망","가로림연안3_연안","2006-05-01 00:00:00","126.2","36.94166667","0","0","표층","433.594","2","31.44","1","8","1","0.91288","1","10","2","11.2","1","8.07","2","168.305","1","4","2","27","1","293","1","2.2","2","306","2","0.42189","2","9","2","35.2","2"
"해양환경측정망","가로림연안3_연안","2006-05-01 00:00:00","126.2","36.94166667","0","34","저층","441.189","2","31.46","1","7.87","1","1.09088","1","15.6","2","10.91","1","8.07","2","174.096","1","4","2","31","1","322","1","","","361","2","0.78351","2","35","2","39.6","2"
"해양환경측정망","가로림연안3_연안","2006-08-01 00:00:00","126.2","36.94166667","0","0","표층","396","2","31.37","1","20.89","1","0.61788","1","16.2","2","7.29","1","8.42","2","1","1","8","2","4","1","53","1","3.1","2","71","2","0.853722","2","10","2","19.8","2"
"해양환경측정망","가로림연안3_연안","2006-08-01 00:00:00","126.2","36.94166667","0","30","저층","398.2","2","31.36","1","20.81","1","3.053","1","22.6","2","6.13","1","8.37","2","1","1","10","2","2","1","48","1","","","71","2","0.9927","2","13","2","40.7","2"
"해양환경측정망","가로림연안3_연안","2006-11-01 00:00:00","126.2","36.94166667","0","0","표층","341","2","32.33","1","16.25","1","1.08448","1","9.2","2","7.93","1","8.13","2","233.609","1","3","2","19","1","121","1","2.2","2","128","2","0.6972","2","4","2","29.7","2"
"해양환경측정망","가로림연안3_연안","2006-11-01 00:00:00","126.2","36.94166667","0","33","저층","356.4","2","32.32","1","16.24","1","1.29216","1","14.4","2","7.52","1","8.14","2","337.437","1","4","2","18","1","128","1","","","140","2","0.57768","2","8","2","50.6","2"
"해양환경측정망","가막만1_환경관리","2006-02-01 00:00:00","127.73417","34.7225","0","0","표층","726","2","33.29","1","5.8","1","0.08","1","9.4","2","12.18","1","8.16","2","184","1","4","2","10","1","76","1","2.8","2","95","2","1.066","2","16","2","51","2"
"해양환경측정망","가막만1_환경관리","2006-02-01 00:00:00","127.73417","34.7225","0","10","저층","637","2","33.44","1","5.8","1","0.65","1","8.4","2","11.86","1","8.16","2","120","1","1","2","11","1","73","1","","","89","2","0.954","2","16","2","34","2"
"해양환경측정망","가막만1_환경관리","2006-05-01 00:00:00","127.73417","34.7225","0","0","표층","435","2","34.13","1","15.2","1","9.58","1","16.4","2","11.57","1","8.26","2","720","1","9","2","5","1","31","1","0.8","2","58","2","2.06","2","17","2","70","2"
"해양환경측정망","가막만1_환경관리","2006-05-01 00:00:00","127.73417","34.7225","0","11","저층","453","2","34.1","1","15","1","9.9","1","16","2","11.54","1","8.25","2","1276","1","9","2","5","1","37","1","","","64","2","2.06","2","18","2","42","2"
"해양환경측정망","가막만1_환경관리","2006-08-01 00:00:00","127.73417","34.7225","0","0","표층","282","2","29.22","1","27.72","1","3.63","1","3.4","2","7.76","1","8.19","2","639","1","2","2","3","1","35","1","3","2","52","2","1.43","2","14","2","37","2"
"해양환경측정망","가막만1_환경관리","2006-08-01 00:00:00","127.73417","34.7225","0","12","저층","192","2","30.41","1","22.38","1","1.46","1","4.6","2","6.2","1","7.72","2","1728","1","24","2","9","1","197","1","","","304","2","1.08","2","83","2","42","2"
"해양환경측정망","가막만1_환경관리","2006-11-01 00:00:00","127.73417","34.7225","0","0","표층","612","2","32.51","1","16.87","1","3.71","1","7","2","10.96","1","8.06","2","418","1","16","2","26","1","165","1","5","2","205","2","0.81","2","24","2","35","2"
"해양환경측정망","가막만1_환경관리","2006-11-01 00:00:00","127.73417","34.7225","0","16","저층","578","2","32.53","1","16.54","1","4.23","1","7.6","2","10.76","1","8.03","2","485","1","28","2","26","1","164","1","","","218","2","0.78","2","25","2","58","2"
"해양환경측정망","가막만2_환경관리","2006-02-01 00:00:00","127.68833","34.68917","0","0","표층","563","2","33.62","1","6.6","1","0.03","1","12.2","2","11.49","1","8.26","2","180","1","1","2","13","1","49","1","2","2","65","2","0.874","2","15","2","57","2"
"해양환경측정망","가막만2_환경관리","2006-02-01 00:00:00","127.68833","34.68917","0","6","저층","1059","2","33.67","1","6.7","1","0.14","1","20.2","2","11.7","1","8.25","2","328","1","1","2","15","1","15","1","","","30","2","1.178","2","14","2","50","2"
"해양환경측정망","가막만2_환경관리","2006-05-01 00:00:00","127.68833","34.68917","0","0","표층","265","2","34.19","1","14.6","1","8.71","1","27.4","2","11.58","1","8.23","2","1432","1","1","2","3","1","85","1","1","2","105","2","1.87","2","18","2","38","2"
"해양환경측정망","가막만2_환경관리","2006-05-01 00:00:00","127.68833","34.68917","0","5","저층","312","2","34.16","1","14.5","1","8.27","1","26.2","2","11.69","1","8.23","2","960","1","1","2","7","1","36","1","","","54","2","2.01","2","16","2","40","2"
