station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],유분[mg/L],총인[μg/L]
가로림연안1_연안,2010-02-01,126.3269444,36.94638889,0,0.0,표층,303.0,31.93,3.92,0.13436,32.4,11.26,7.94,475.0,2.0,19.0,132.0,0.6,138.0,0.47286,4.0,,43.0
가로림연안1_연안,2010-02-01,126.3269444,36.94638889,0,13.0,저층,252.0,32.02,3.96,1.00784,58.0,10.51,8.0,533.0,1.0,21.0,164.0,,170.0,2.0646,5.0,,55.0562
가로림연안1_연안,2010-05-01,126.3269444,36.94638889,0,0.0,표층,273.0,31.88,10.563,2.05984,9.6,10.4374,8.2,235.0,5.0,19.0,149.0,1.0,163.0,0.633483,9.0,,20.0
가로림연안1_연안,2010-05-01,126.3269444,36.94638889,0,23.0,저층,586.0,31.77,10.39,2.7572,9.6,10.2762,8.15,241.0,5.0,18.0,141.0,,154.0,0.978417,8.0,,32.0
가로림연안1_연안,2010-08-01,126.3269444,36.94638889,0,0.0,표층,625.0,31.35,23.98,1.88962,12.6,7.35,7.91,143.0,4.0,9.0,25.0,2.0,43.0,0.821467,14.0,,25.3623
가로림연안1_연안,2010-08-01,126.3269444,36.94638889,0,14.0,저층,114.0,31.4,23.69,1.63656,10.8,7.42,7.91,189.0,8.0,14.0,49.0,,90.0,1.26048,33.0,,58.8235
가로림연안1_연안,2010-11-01,126.3269444,36.94638889,0,0.0,표층,117.0,30.79,11.06,0.08364,57.8,8.75,8.04,209.0,13.0,20.0,77.0,2.4,106.0,1.68333,16.0,,22.7273
가로림연안1_연안,2010-11-01,126.3269444,36.94638889,0,12.0,저층,133.068,30.8,10.73,0.78164,60.6,8.64,8.03,215.0,13.0,22.0,76.0,,107.0,1.5958,18.0,,24.6637
가로림연안2_연안,2010-02-01,126.3133333,36.99,0,0.0,표층,223.0,31.94,4.09,1.05,35.2,10.56,7.94,564.0,3.0,23.0,189.0,0.6,196.0,0.31302,4.0,,45.0
가로림연안2_연안,2010-02-01,126.3133333,36.99,0,14.0,저층,320.0,32.03,4.09,1.00764,44.4,10.47,7.97,569.0,1.0,27.0,182.0,,187.0,1.32534,4.0,,61.7978
