station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가로림연안1_연안,2011-02-21,126.3269444,36.94638889,0,0.0,표층,363.0,31.49,2.6,5.713,29.1667,11.5834,7.86106,310.576,0.854,19.034,112.112,0.3,148.106,1.37989,35.14,44.64
가로림연안1_연안,2011-02-21,126.3269444,36.94638889,0,13.0,저층,361.022,31.49,2.48,8.787,37.4,11.4919,7.90887,267.96,0.98,13.826,77.518,,111.454,1.2649,32.956,53.01
가로림연안1_연안,2011-05-16,126.3269444,36.94638889,0,0.0,표층,403.808,31.13,10.99,2.6362,30.7792,9.56,7.78,175.235,4.15924,16.9683,159.327,1.5,190.689,1.47783,27.2027,32.3059
가로림연안1_연안,2011-05-16,126.3269444,36.94638889,0,23.0,저층,443.854,31.22,10.24,2.233,25.1429,9.53,7.77,158.639,3.84037,16.9994,157.323,,179.777,2.66223,18.6131,44.5096
가로림연안1_연안,2011-08-04,126.3269444,36.94638889,0,0.0,표층,314.286,29.6886,21.9828,7.7168,28.125,7.5,8.06,554.82,9.275,14.446,86.037,0.9,160.72,1.07206,65.408,31.496
가로림연안1_연안,2011-08-04,126.3269444,36.94638889,0,14.0,저층,377.118,29.9994,21.3324,7.279,67.3,7.94,8.09,364.938,8.008,9.0985,64.309,,120.071,0.939287,47.754,53.01
가로림연안1_연안,2011-11-08,126.3269444,36.94638889,0,0.0,표층,264.243,31.9491,17.3077,1.769,7.2,7.87786,8.18,217.154,18.494,18.228,91.588,3.4,144.69,0.805302,34.608,20.026
가로림연안1_연안,2011-11-08,126.3269444,36.94638889,0,12.0,저층,266.868,31.9779,17.2987,1.798,8.2,7.71022,8.16,217.14,17.584,17.825,89.649,,149.037,0.709305,41.804,20.5065
가로림연안2_연안,2011-02-21,126.3133333,36.99,0,0.0,표층,444.392,31.49,2.33,2.204,36.9231,11.5917,7.81324,301.252,0.728,24.521,139.3,0.3,176.834,0.832692,36.806,66.96
가로림연안2_연안,2011-02-21,126.3133333,36.99,0,14.0,저층,420.631,31.49,2.33,1.769,48.2,11.6656,7.81324,378.28,0.63,25.389,139.622,,187.46,1.86364,47.208,64.17
가로림연안2_연안,2011-05-16,126.3133333,36.99,0,0.0,표층,445.409,31.39,9.04,4.7504,20.8889,9.73,7.8,117.467,3.85423,17.1551,149.693,2.2,174.34,1.974,20.7921,36.2086
가로림연안2_연안,2011-05-16,126.3133333,36.99,0,20.0,저층,430.757,31.39,9.03,4.8112,23.875,9.73,7.8,122.797,3.63241,16.9371,154.04,,174.781,1.44582,17.1089,40.7928
가로림연안2_연안,2011-08-04,126.3133333,36.99,0,0.0,표층,277.06,30.2498,20.7157,8.5232,22.3,5.94,8.1,389.046,8.918,6.4325,48.272,1.0,97.559,1.16807,40.369,23.932
가로림연안2_연안,2011-08-04,126.3133333,36.99,0,17.0,저층,291.529,30.2497,20.7044,6.2902,24.4,8.01,8.13,415.324,7.406,4.8205,45.766,,82.523,0.555033,29.351,28.303
가로림연안2_연안,2011-11-08,126.3133333,36.99,0,0.0,표층,259.938,31.9927,17.2981,2.204,10.5714,7.99213,8.14,197.624,15.05,18.6775,91.315,2.5,148.617,0.949296,42.252,19.4525
가로림연안2_연안,2011-11-08,126.3133333,36.99,0,13.0,저층,257.257,31.9918,17.2943,1.769,9.4,7.65348,8.19,196.098,15.078,17.143,91.889,,146.909,0.693306,39.942,18.073
가로림연안3_연안,2011-02-22,126.2,36.94166667,0,0.0,표층,475.318,31.47,1.83,1.3368,45.4,11.364,7.61241,240.996,0.602,7.781,148.596,0.3,193.858,1.34024,44.66,71.145
가로림연안3_연안,2011-02-22,126.2,36.94166667,0,35.0,저층,460.195,31.47,1.82,1.537,49.6667,11.342,7.61241,446.712,0.672,25.699,148.862,,191.66,0.856483,42.126,73.935
가로림연안3_연안,2011-05-16,126.2,36.94166667,0,0.0,표층,409.13,31.44,8.32,1.102,15.2857,9.34,7.81,111.834,3.66013,17.373,146.241,2.3,169.246,1.23775,19.3448,24.6243
가로림연안3_연안,2011-05-16,126.2,36.94166667,0,34.0,저층,445.577,31.43,8.29,3.1002,12.875,9.34,7.8,115.479,3.43831,18.0268,148.673,,165.895,1.10971,13.7837,31.3457
가로림연안3_연안,2011-08-04,126.2,36.94166667,0,0.0,표층,293.104,30.1667,20.1719,5.365,15.8,8.32,8.09,258.37,8.19,5.0685,65.765,2.3,109.753,0.624038,35.798,14.446
가로림연안3_연안,2011-08-04,126.2,36.94166667,0,30.0,저층,323.323,30.1949,20.128,3.4828,13.3,8.1,8.08,301.21,7.833,5.146,61.467,,104.272,0.811202,34.972,19.685
가로림연안3_연안,2011-11-08,126.2,36.94166667,0,0.0,표층,251.384,32.2922,16.9562,1.334,9.8,7.50759,8.21,220.542,5.229,16.4455,97.769,2.8,140.91,0.645308,37.912,19.034
가로림연안3_연안,2011-11-08,126.2,36.94166667,0,33.0,저층,256.396,32.2918,16.9356,1.566,7.0,7.4773,8.19,222.39,5.194,16.5075,98.616,,145.516,0.693306,41.706,17.6545
가막만1_환경관리,2011-02-22,127.73417,34.7225,0,0.0,표층,186.215,33.6325,6.3094,5.336,15.6,11.1156,8.2003,122.472,0.91,9.579,3.276,1.3,28.812,1.12031,24.626,31.651
가막만1_환경관리,2011-02-22,127.73417,34.7225,0,10.0,저층,175.093,33.6363,6.2848,6.264,19.9,11.3692,8.20225,129.024,0.784,7.657,3.878,,29.96,1.44634,25.298,30.225
가막만1_환경관리,2011-05-17,127.73417,34.7225,0,0.0,표층,339.165,33.1619,17.3884,2.436,5.9,6.65762,8.01,603.247,3.81007,16.8165,72.3921,1.9,133.71,0.917424,57.5083,23.1995
가막만1_환경관리,2011-05-17,127.73417,34.7225,0,11.0,저층,304.988,33.0636,16.3386,2.204,7.0,6.14552,7.966,549.005,4.30524,16.3219,86.2178,,121.581,1.13347,31.0578,24.1287
가막만1_환경관리,2011-08-12,127.73417,34.7225,0,0.0,표층,305.095,28.1212,26.1894,11.629,8.4,5.54082,8.151,783.888,8.82,8.3545,100.317,2.8,156.114,2.35324,46.977,34.844
가막만1_환경관리,2011-08-12,127.73417,34.7225,0,12.0,저층,307.048,28.6373,25.4279,8.9002,10.3,4.12282,8.069,870.814,11.613,13.9035,128.73,,188.16,1.93701,47.817,30.814
가막만1_환경관리,2011-11-07,127.73417,34.7225,0,0.0,표층,309.225,32.0559,18.3989,1.1048,13.7,4.50322,8.01,455.406,12.733,24.4745,52.311,3.5,134.204,0.76797,69.16,29.3448
가막만1_환경관리,2011-11-07,127.73417,34.7225,0,16.0,저층,316.73,32.0564,18.3971,0.899,14.9,5.58958,7.99,472.542,12.691,26.722,50.995,,137.69,0.703972,74.004,32.4656
가막만2_환경관리,2011-02-22,127.68833,34.68917,0,0.0,표층,132.627,34.0512,7.1892,2.233,40.4,10.877,8.15238,143.192,0.504,9.269,26.082,1.1,44.674,0.902156,18.088,20.708
가막만2_환경관리,2011-02-22,127.68833,34.68917,0,6.0,저층,156.432,34.0482,6.9575,4.93,16.6,10.8588,8.14456,125.664,0.798,9.114,3.444,,22.918,1.58538,18.676,31.527
가막만2_환경관리,2011-05-19,127.68833,34.68917,0,0.0,표층,232.586,33.5388,18.95,3.335,4.8,5.97613,8.029,460.789,0.316359,7.85182,2.96553,3.0,18.7939,0.701456,15.512,16.4162
가막만2_환경관리,2011-05-19,127.68833,34.68917,0,5.0,저층,244.38,33.6332,17.5129,4.205,7.5,6.12811,7.944,572.259,1.03161,8.65555,13.3572,,48.9951,0.749464,34.6063,21.1552
가막만2_환경관리,2011-08-11,127.68833,34.68917,0,0.0,표층,185.563,28.7362,27.7636,3.625,4.9,6.57973,8.361,213.472,0.553,0.6355,2.114,4.0,20.062,4.36222,17.395,22.568
가막만2_환경관리,2011-08-11,127.68833,34.68917,0,6.0,저층,187.775,29.744,25.998,8.2968,10.5,4.96388,7.99,717.024,0.693,11.2375,2.366,,23.723,2.40123,20.664,29.822
가막만2_환경관리,2011-11-10,127.68833,34.68917,0,0.0,표층,170.732,31.9491,18.7838,3.799,7.0,6.81051,8.02,154.378,1.736,5.0685,3.29,5.0,7.756,0.943963,2.73,16.5688
가막만2_환경관리,2011-11-10,127.68833,34.68917,0,7.0,저층,258.853,32.3513,18.6513,5.9768,8.1,7.15271,7.97,535.836,5.964,16.7865,22.778,,63.154,0.863966,34.412,30.7432
가막만3_환경관리,2011-02-22,127.69028,34.62139,0,0.0,표층,169.774,34.0909,7.9155,3.596,27.3,10.5452,8.15434,195.944,1.554,10.447,16.366,0.6,36.204,1.00164,18.284,36.983
가막만3_환경관리,2011-02-22,127.69028,34.62139,0,9.0,저층,181.511,34.0622,7.4395,3.8018,25.0,10.524,8.15727,195.244,1.61,9.517,16.632,,38.304,0.98733,20.062,37.665
가막만3_환경관리,2011-05-18,127.69028,34.62139,0,0.0,표층,288.502,33.5934,17.5428,2.2068,10.4,6.45987,8.013,298.036,1.96693,9.33562,34.2016,2.2,51.5229,0.717472,15.3543,25.0889
