station,date_time,longitude,latitude,bot.depth[m],depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가로림연안1_연안,2019-02-12 00:00:00,126.3269444,36.94638889,0,0.0,317.1,31.68,3.69,1.97,27.6,10.39,8.01,,1.8,,,1.0,182.1,1.29,8.2,40.7
가로림연안1_연안,2019-02-12 00:00:00,126.3269444,36.94638889,0,17.0,338.6,31.68,3.73,2.55,40.9,10.43,8.0,,1.4,,,,179.5,1.9,4.5,48.8
가로림연안1_연안,2019-05-06 00:00:00,126.3269444,36.94638889,0,0.0,168.3,31.73,10.25,1.38,30.7,9.65,8.09,139.2,2.9,,120.1,1.5,123.1,1.72,0.2,23.9
가로림연안1_연안,2019-05-06 00:00:00,126.3269444,36.94638889,0,19.0,279.7,31.73,10.25,1.71,32.3,9.6,8.1,139.2,2.9,,120.5,,126.7,1.61,3.2,28.3
가로림연안1_연안,2019-08-06 11:58:00,126.3269444,36.94638889,0,0.0,214.4,31.63,24.07,3.47,18.2,7.72,8.09,,4.9,,28.7,1.3,48.2,1.51,14.7,29.7
가로림연안1_연안,2019-08-06 11:58:00,126.3269444,36.94638889,0,14.0,225.7,31.65,24.23,4.04,24.2,7.92,8.1,,4.0,,28.7,,56.5,3.17,24.8,29.3
가로림연안1_연안,2019-11-09 13:48:00,126.3269444,36.94638889,0,0.0,200.5,31.86,17.3,2.14,10.5,8.09,8.05,,7.0,,57.8,2.5,66.5,1.38,1.8,30.9
가로림연안1_연안,2019-11-09 13:48:00,126.3269444,36.94638889,0,20.0,207.2,31.84,16.87,2.08,10.5,8.03,8.04,,7.1,,53.4,,63.0,1.24,2.5,31.0
가로림연안2_연안,2019-02-12 00:00:00,126.3133333,36.99,0,0.0,275.8,31.66,4.12,1.5,39.5,10.26,7.87,,1.7,,,0.5,194.2,1.25,3.5,33.9
가로림연안2_연안,2019-02-12 00:00:00,126.3133333,36.99,0,27.0,353.4,31.66,4.08,1.8,50.8,10.21,7.91,,1.8,,,,200.8,1.93,6.0,48.2
가로림연안2_연안,2019-05-06 00:00:00,126.3133333,36.99,0,0.0,205.2,31.71,9.49,1.7,30.9,9.84,8.06,130.6,3.5,,,1.2,136.6,1.79,0.2,19.8
가로림연안2_연안,2019-05-06 00:00:00,126.3133333,36.99,0,23.0,311.6,31.71,9.47,1.85,29.0,9.88,8.09,128.5,3.1,,,,215.0,1.64,77.9,27.3
가로림연안2_연안,2019-08-06 12:22:00,126.3133333,36.99,0,0.0,162.9,31.7,22.27,5.48,6.7,8.43,8.14,71.7,1.3,,4.9,2.1,11.0,1.63,4.9,20.0
가로림연안2_연안,2019-08-06 12:22:00,126.3133333,36.99,0,21.0,179.6,31.71,22.56,5.32,7.8,8.36,8.15,113.2,1.9,,8.2,,10.7,1.57,0.5,18.0
가로림연안2_연안,2019-11-09 13:25:00,126.3133333,36.99,0,0.0,201.0,31.96,17.79,1.74,10.1,7.86,8.02,,6.0,,60.3,3.0,67.6,1.24,1.3,30.1
가로림연안2_연안,2019-11-09 13:25:00,126.3133333,36.99,0,24.0,200.4,31.98,17.39,1.7,7.8,7.92,8.01,,6.5,,58.0,,65.9,1.46,1.5,30.3
가로림연안3_연안,2019-02-12 00:00:00,126.2,36.94166667,0,0.0,356.1,31.67,4.31,1.39,42.7,10.24,7.97,,1.2,,,0.7,206.3,1.46,14.6,52.0
가로림연안3_연안,2019-02-12 00:00:00,126.2,36.94166667,0,26.0,309.2,31.67,4.3,1.48,51.5,10.21,7.98,,1.0,,,,208.4,1.91,13.1,39.2
가로림연안3_연안,2019-05-06 00:00:00,126.2,36.94166667,0,0.0,210.3,31.71,8.77,0.48,15.5,9.84,8.03,142.6,3.9,,,1.7,184.4,1.12,38.7,19.9
가로림연안3_연안,2019-05-06 00:00:00,126.2,36.94166667,0,34.0,220.9,31.71,8.75,1.39,20.1,9.91,8.07,141.5,3.9,,,,156.8,1.15,12.8,30.4
가로림연안3_연안,2019-08-07 14:20:00,126.2,36.94166667,0,0.0,204.3,31.61,21.42,4.2,4.0,8.31,8.08,107.9,4.0,,17.4,3.9,38.8,1.84,17.4,19.1
가로림연안3_연안,2019-08-07 14:20:00,126.2,36.94166667,0,20.0,177.0,31.61,21.72,4.32,2.8,8.33,8.12,111.9,4.2,,18.9,,25.5,3.69,2.5,17.5
가로림연안3_연안,2019-11-09 15:02:00,126.2,36.94166667,0,0.0,195.2,32.01,18.04,1.4,6.8,7.7,8.02,,2.6,,63.5,3.0,66.4,1.25,0.3,29.1
가로림연안3_연안,2019-11-09 15:02:00,126.2,36.94166667,0,27.0,189.3,32.01,18.01,1.4,6.8,7.78,8.01,,3.7,,58.0,,62.8,1.0,1.1,29.0
가로림연안4_연안,2019-02-12 00:00:00,126.3336111,36.9225,0,0.0,315.0,31.71,3.39,1.99,17.4,10.7,7.94,,2.4,,,1.5,184.1,1.38,17.7,35.8
가로림연안4_연안,2019-02-12 00:00:00,126.3336111,36.9225,0,22.0,318.0,31.7,3.24,3.23,22.6,10.49,7.97,,1.7,,,,164.0,2.38,5.2,37.9
가로림연안4_연안,2019-05-06 00:00:00,126.3336111,36.9225,0,0.0,194.2,31.74,11.01,0.87,24.4,9.53,8.06,148.7,3.1,,112.3,1.5,116.2,1.72,0.7,26.6
가로림연안4_연안,2019-05-06 00:00:00,126.3336111,36.9225,0,20.0,339.9,31.74,11.03,1.13,26.3,9.51,8.1,145.4,2.9,,108.8,,242.3,1.68,130.7,27.3
가로림연안4_연안,2019-08-06 11:50:00,126.3336111,36.9225,0,0.0,223.2,31.51,24.79,3.73,21.8,7.76,8.07,,4.6,,28.1,0.8,44.8,1.6,12.2,31.1
가로림연안4_연안,2019-08-06 11:50:00,126.3336111,36.9225,0,14.0,246.7,31.66,25.43,3.66,23.2,7.66,8.08,,4.2,,28.2,,72.1,1.76,39.6,30.9
가로림연안4_연안,2019-11-09 14:00:00,126.3336111,36.9225,0,0.0,206.6,31.89,16.9,2.26,8.9,8.16,8.06,,7.9,,57.3,4.6,68.6,1.19,3.4,31.9
가로림연안4_연안,2019-11-09 14:00:00,126.3336111,36.9225,0,20.0,203.4,31.92,16.53,2.26,8.9,8.2,8.06,,8.3,,53.3,,65.3,1.27,3.7,32.2
가로림연안5_연안,2019-02-12 00:00:00,126.3225,36.97083333,0,0.0,365.9,31.68,4.13,1.53,37.1,10.31,8.0,,1.6,,,0.7,191.2,1.41,4.6,46.7
가로림연안5_연안,2019-02-12 00:00:00,126.3225,36.97083333,0,16.0,340.2,31.68,4.13,1.7,37.6,10.33,8.01,,1.1,,,,186.6,2.36,3.2,44.7
가로림연안5_연안,2019-05-06 00:00:00,126.3225,36.97083333,0,0.0,221.7,31.72,9.74,1.21,16.7,9.79,8.08,137.8,3.6,,,1.3,137.9,1.61,0.3,32.1
가로림연안5_연안,2019-05-06 00:00:00,126.3225,36.97083333,0,17.0,257.3,31.73,9.74,1.14,18.2,9.81,8.09,141.2,3.3,,,,138.0,1.63,1.1,35.6
가로림연안5_연안,2019-08-06 12:12:00,126.3225,36.97083333,0,0.0,197.6,31.56,23.59,4.4,14.3,8.06,8.12,,2.5,,12.4,1.3,22.0,1.76,7.1,25.1
가로림연안5_연안,2019-08-06 12:12:00,126.3225,36.97083333,0,12.0,206.1,31.6,23.99,4.6,13.5,8.18,8.13,,2.5,,14.9,,42.4,1.17,25.0,22.1
가로림연안5_연안,2019-11-09 13:37:00,126.3225,36.97083333,0,0.0,211.2,31.9,17.64,1.82,5.4,8.01,8.05,,6.9,,61.2,3.3,72.0,1.2,3.9,31.4
가로림연안5_연안,2019-11-09 13:37:00,126.3225,36.97083333,0,19.0,207.5,31.91,17.47,1.74,5.4,7.97,8.05,,7.0,,57.1,,65.8,1.35,1.6,30.8
가로림연안6_연안,2019-02-11 00:00:00,126.2608333,37.03305556,0,0.0,361.6,31.44,3.88,1.81,19.6,10.11,7.97,,2.4,,,1.3,208.2,1.69,0.1,41.5
가로림연안6_연안,2019-02-11 00:00:00,126.2608333,37.03305556,0,40.0,355.5,31.44,3.86,2.07,44.3,10.34,7.99,,2.1,,,,214.3,1.91,3.7,42.9
가로림연안6_연안,2019-05-05 00:00:00,126.2608333,37.03305556,0,0.0,264.1,31.64,8.97,1.13,17.2,9.84,8.06,125.0,3.5,,,2.0,136.0,1.58,0.4,27.8
가로림연안6_연안,2019-05-05 00:00:00,126.2608333,37.03305556,0,46.0,212.6,31.64,8.97,0.71,17.2,9.79,8.07,124.0,3.5,,,,138.6,1.64,0.8,24.7
가로림연안6_연안,2019-08-06 14:02:00,126.2608333,37.03305556,0,0.0,254.6,31.34,22.33,2.7,7.7,7.57,8.04,,7.4,,47.0,3.2,79.1,3.11,24.7,29.0
가로림연안6_연안,2019-08-06 14:02:00,126.2608333,37.03305556,0,40.0,237.7,31.34,22.58,2.74,8.8,7.59,8.05,,6.9,,47.0,,76.0,1.43,23.2,27.7
가로림연안6_연안,2019-11-09 13:00:00,126.2608333,37.03305556,0,0.0,220.6,31.81,17.95,1.6,6.6,7.86,8.03,,6.6,,69.5,4.0,76.3,1.24,0.3,32.5
가로림연안6_연안,2019-11-09 13:00:00,126.2608333,37.03305556,0,44.0,215.1,31.79,17.8,1.6,6.6,7.86,8.02,,7.4,,66.0,,75.0,1.63,1.7,32.1
가막만1_환경관리,2019-02-13 00:00:00,127.73417,34.7225,0,0.0,156.6,33.55,7.18,1.34,7.1,11.14,8.34,23.0,1.1,3.8,7.0,5.5,21.0,1.41,12.9,16.5
가막만1_환경관리,2019-02-13 00:00:00,127.73417,34.7225,0,20.0,173.1,33.58,7.23,1.37,18.6,10.99,8.33,28.5,1.1,2.2,4.4,,12.7,1.63,7.2,17.1
가막만1_환경관리,2019-05-03 00:00:00,127.73417,34.7225,0,0.0,186.5,33.11,15.63,2.28,6.1,9.31,8.18,,0.9,,7.8,2.7,9.0,1.51,0.4,29.5
가막만1_환경관리,2019-05-03 00:00:00,127.73417,34.7225,0,15.5,217.3,33.1,15.59,2.12,5.8,9.39,8.18,,0.7,,8.0,,13.4,1.99,4.7,33.1
가막만1_환경관리,2019-08-15 08:58:00,127.73417,34.7225,0,0.0,251.7,31.18,26.6,1.56,35.1,6.29,8.07,,4.3,,21.5,3.0,80.1,1.48,54.3,35.1
가막만1_환경관리,2019-08-15 08:58:00,127.73417,34.7225,0,16.5,279.5,31.25,26.66,1.45,39.1,6.12,8.07,,4.9,,23.1,,83.1,0.96,55.2,39.1
가막만1_환경관리,2019-11-14 08:12:00,127.73417,34.7225,0,0.0,296.6,31.73,17.7,2.94,13.2,8.16,8.22,,10.0,,56.5,2.5,104.8,0.99,38.2,30.3
가막만1_환경관리,2019-11-14 08:12:00,127.73417,34.7225,0,17.0,220.3,31.68,17.59,2.72,13.2,8.06,8.22,,9.9,,51.8,,104.8,0.96,43.1,25.3
가막만2_환경관리,2019-02-13 00:00:00,127.68833,34.68917,0,0.0,118.1,33.77,5.77,1.32,5.9,11.23,8.32,31.2,0.2,3.2,5.5,3.5,21.1,1.18,15.4,14.0
가막만2_환경관리,2019-02-13 00:00:00,127.68833,34.68917,0,7.0,124.4,33.78,5.79,1.52,5.4,11.23,8.34,45.7,0.4,2.2,3.5,,4.9,1.49,1.0,14.3
가막만2_환경관리,2019-05-06 00:00:00,127.68833,34.68917,0,0.0,147.4,33.57,16.56,0.69,12.9,9.37,8.25,40.2,0.1,1.9,1.3,2.0,1.7,1.72,0.3,23.2
가막만2_환경관리,2019-05-06 00:00:00,127.68833,34.68917,0,7.5,135.1,33.58,16.23,0.66,15.9,9.24,8.25,49.7,0.1,2.0,1.4,,2.3,2.03,0.8,23.0
가막만2_환경관리,2019-08-10 09:04:00,127.68833,34.68917,0,0.0,180.9,31.77,27.36,1.8,19.7,8.91,8.18,49.8,1.2,3.2,2.5,4.5,31.0,1.2,27.3,19.7
가막만2_환경관리,2019-08-10 09:04:00,127.68833,34.68917,0,6.0,137.2,31.92,26.4,1.55,18.7,8.61,8.16,77.0,1.1,3.0,2.5,,3.1,1.17,0.0,18.7
가막만2_환경관리,2019-11-12 15:58:00,127.68833,34.68917,0,0.0,180.0,30.9,16.7,5.92,9.6,6.4,8.19,,1.5,1.2,4.3,2.5,9.5,1.26,3.7,20.1
가막만2_환경관리,2019-11-12 15:58:00,127.68833,34.68917,0,3.8,178.2,31.07,16.41,5.76,9.6,7.58,8.22,102.3,0.6,1.5,2.6,,12.6,1.52,9.4,18.6
가막만3_환경관리,2019-02-13 00:00:00,127.69028,34.62139,0,0.0,113.2,33.96,7.92,2.48,11.5,9.05,8.26,,2.6,,35.1,3.0,42.4,1.1,4.7,17.1
가막만3_환경관리,2019-02-13 00:00:00,127.69028,34.62139,0,9.5,132.0,34.04,7.83,2.5,13.3,10.64,8.28,,2.5,,29.1,,46.3,1.15,14.6,13.2
가막만3_환경관리,2019-05-06 00:00:00,127.69028,34.62139,0,0.0,178.7,33.62,14.71,0.53,17.1,8.54,8.21,,7.2,,35.6,1.2,47.7,1.22,4.9,30.7
가막만3_환경관리,2019-05-06 00:00:00,127.69028,34.62139,0,9.5,152.6,33.62,14.63,0.72,36.9,8.55,8.2,,3.8,,22.8,,40.6,1.67,14.1,31.7
가막만3_환경관리,2019-08-10 09:34:00,127.69028,34.62139,0,0.0,126.1,31.91,26.2,1.33,19.7,8.72,8.15,105.6,0.8,3.4,0.9,5.0,4.8,0.7,3.2,19.7
가막만3_환경관리,2019-08-10 09:34:00,127.69028,34.62139,0,8.0,162.1,32.15,24.3,1.22,20.3,7.92,8.13,,2.0,,8.6,,24.0,0.64,13.4,20.3
가막만3_환경관리,2019-11-12 15:20:00,127.69028,34.62139,0,0.0,249.2,31.55,17.23,1.07,17.2,5.41,8.1,,14.1,,45.5,2.5,101.3,1.25,41.7,28.4
가막만3_환경관리,2019-11-12 15:20:00,127.69028,34.62139,0,6.6,240.2,31.58,17.13,0.86,17.2,6.14,8.12,,14.3,,43.9,,100.7,1.18,42.5,26.8
가막만4_환경관리,2019-02-13 00:00:00,127.66111,34.7325,0,0.0,117.7,33.69,5.66,1.22,5.7,11.07,8.24,38.1,0.6,2.5,4.6,5.0,10.0,1.55,4.8,14.3
가막만4_환경관리,2019-02-13 00:00:00,127.66111,34.7325,0,11.0,100.1,33.73,5.62,0.95,8.0,10.83,8.25,61.5,0.3,1.8,2.2,,3.4,1.15,0.9,10.9
가막만4_환경관리,2019-05-06 00:00:00,127.66111,34.7325,0,0.0,140.3,33.54,17.93,0.54,5.2,9.32,8.23,38.0,0.2,1.9,0.4,5.3,1.4,1.59,0.7,21.5
가막만4_환경관리,2019-05-06 00:00:00,127.66111,34.7325,0,10.0,179.2,33.59,16.69,0.53,8.1,9.34,8.22,58.4,0.2,2.6,0.5,,13.1,1.85,12.4,18.3
가막만4_환경관리,2019-08-10 14:01:00,127.66111,34.7325,0,0.0,183.4,31.51,29.4,2.88,27.7,9.28,8.18,103.0,0.5,,0.6,5.0,30.8,1.57,29.7,27.7
가막만4_환경관리,2019-08-10 14:01:00,127.66111,34.7325,0,9.0,390.7,31.86,25.05,3.66,19.6,3.38,7.85,,0.8,,1.4,,182.2,1.67,180.0,85.0
가막만4_환경관리,2019-11-12 08:32:00,127.66111,34.7325,0,0.0,191.5,30.75,16.7,5.9,5.5,6.98,8.2,76.6,2.4,1.2,15.0,3.0,24.5,1.42,7.1,20.2
가막만4_환경관리,2019-11-12 08:32:00,127.66111,34.7325,0,9.0,196.3,30.75,16.67,5.9,5.1,8.08,8.21,80.6,1.8,2.4,11.0,,29.8,1.33,17.0,18.6
가막만5_환경관리,2019-02-13 00:00:00,127.64417,34.6975,0,0.0,110.2,33.71,5.49,0.71,6.4,10.41,8.22,31.8,0.6,2.6,4.6,6.0,5.3,0.98,0.0,11.4
가막만5_환경관리,2019-02-13 00:00:00,127.64417,34.6975,0,9.2,137.7,33.72,5.49,0.92,5.1,10.54,8.26,33.2,0.3,1.0,2.6,,18.3,1.17,15.3,13.5
가막만5_환경관리,2019-05-06 00:00:00,127.64417,34.6975,0,0.0,154.7,33.58,17.31,0.3,5.1,9.27,8.24,29.3,0.4,0.5,1.8,5.8,2.3,1.43,0.1,18.4
가막만5_환경관리,2019-05-06 00:00:00,127.64417,34.6975,0,9.5,127.5,33.58,16.91,0.37,5.3,9.38,8.24,26.5,0.2,0.5,2.7,,3.1,2.31,0.2,17.6
가막만5_환경관리,2019-08-10 13:45:00,127.64417,34.6975,0,0.0,185.0,31.64,28.96,0.87,17.8,9.55,8.23,26.9,0.2,3.9,0.7,7.0,7.0,1.11,6.0,17.8
가막만5_환경관리,2019-08-10 13:45:00,127.64417,34.6975,0,8.0,184.9,31.77,26.7,2.66,27.3,9.2,8.2,26.3,0.5,,0.8,,1.6,2.03,0.3,27.3
