station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],overlap_count,유분[mg/L]
가로림연안1_연안,2014-02-23,126.3269444,36.94638889,11.0,351.4,31.47,4.16,1.54,6.1,11.11,8.04,356.8,1.4,23.1,105.8,,108.1,1.6,0.9,33.4,4.0,
가로림연안1_연안,2014-02-23,126.3269444,36.94638889,11.0,351.4,31.47,4.16,1.54,6.1,11.11,8.04,356.8,1.4,23.1,105.8,,108.1,1.6,0.9,33.4,4.0,
가로림연안1_연안,2015-02-15,126.3269444,36.94638889,19.2,376.098,32.0832,3.5387,1.012,15.4,10.5407,8.19,376.77,1.778,22.258,183.358,,187.278,1.49709,2.142,39.2779,4.0,
가막만1_환경관리,2007-02-01,127.73417,34.7225,10.0,796.0,33.62,7.4,1.93,8.0,7.9,8.22,319.0,6.0,16.0,219.0,,244.0,1.18,19.0,23.0,8.0,
거제도남안2_연안,2007-02-01,128.52,34.78083333,10.0,1093.0,33.56,10.51,0.76,3.2,11.1,,231.0,10.0,34.0,101.0,,156.0,1.58,45.0,50.0,4.0,
거제도남안2_연안,2007-11-01,128.52,34.78083333,13.0,446.4,32.59,17.79,0.7295,9.25,6.81,,683.1,23.1,57.5,131.055,,154.155,1.392,0.0,72.0,4.0,
가막만1_환경관리,2008-02-01,127.73417,34.7225,10.0,745.0,33.68,4.06,7.4,12.6,10.53,8.2,42.0,0.0,6.0,76.0,,97.0,1.15,21.0,21.0,8.0,
거제도남안2_연안,2008-08-01,128.52,34.78083333,11.8,215.0,33.85,19.24,,,6.89,8.01,421.0,10.0,17.0,74.0,,107.0,2.5,23.0,55.0,4.0,
거제도남안3_연안,2008-05-01,128.5402778,34.72277778,39.0,242.0,,14.57,0.64,6.8,10.09,8.1,239.0,9.0,24.0,32.0,,56.0,1.84,15.0,48.0,4.0,
가막만1_환경관리,2009-02-01,127.73417,34.7225,10.0,682.8,33.46,7.17,3.47,20.4,8.6,7.92,138.0,2.0,11.0,20.0,,33.0,0.54,11.0,29.0,8.0,
