station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],overlap_count,유분[mg/L]
가막만2_환경관리,2007-02-01,127.68833,34.68917,6.0,572.0,33.86,7.39,3.68,8.8,8.2,8.26,208.0,2.0,8.0,123.0,,140.0,1.09,15.0,26.0,1,
가막만2_환경관리,2007-05-01,127.68833,34.68917,5.0,642.0,34.0,16.29,4.54346,12.4,9.34,8.26,166.984,1.904,18.1691,58.296,,68.88,0.687862,8.68,53.0,1,
가막만2_환경관리,2007-08-01,127.68833,34.68917,6.0,502.0,31.81,25.14,2.66,20.4,6.51,8.08,114.0,1.0,12.0,19.0,,34.0,0.48,14.0,23.0,1,
가막만2_환경관리,2007-11-01,127.68833,34.68917,7.0,791.0,32.23,16.78,3.68,23.2,5.46,8.15,343.0,15.0,5.0,87.0,,116.0,0.62,13.0,76.0,1,
강구연안1_연안,2007-02-01,129.4205556,36.38055556,53.0,153.0,33.98,10.68,0.08054,12.6,9.71,7.98,197.0,8.0,6.0,57.0,,90.0,0.92,26.0,34.0,1,
강구연안1_연안,2007-05-01,129.4205556,36.38055556,53.0,204.722,33.98,4.76,0.12666,6.8,8.93,7.73,405.598,1.98617,27.1843,51.0,,70.6804,1.09868,17.6942,41.9433,1,
강구연안1_연안,2007-08-01,129.4205556,36.38055556,60.0,41.3828,33.96,5.93,0.43986,8.2,7.85,7.66,125.108,1.01308,4.8065,2.467,,40.7846,0.379544,37.3046,14.012,1,
강구연안1_연안,2007-11-01,129.4205556,36.38055556,60.0,128.665,34.01,7.01,0.43958,2.6,8.04,7.78,218.29,6.23844,9.53419,63.4609,,91.8782,0.379544,22.1789,16.6103,1,
강릉연안4_연안,2007-02-01,128.9316667,37.80638889,28.0,125.084,32.97,8.35,0.978,2.2,8.45,7.97,274.104,4.841,14.558,20.46,,40.976,1.01,15.675,26.086,1,
강릉연안4_연안,2007-05-01,128.9316667,37.80638889,25.0,199.082,33.72,13.07,0.396,2.0,9.28,8.13,66.811,2.7,6.556,39.812,,79.336,0.784,36.824,8.301,1,
강릉연안4_연안,2007-08-01,128.9316667,37.80638889,26.0,134.425,34.06,9.38,0.03938,2.6,8.28,7.51,103.101,4.741,6.07,1.0,,21.6008,1.79784,15.8598,23.0,1,
강릉연안4_연안,2007-11-01,128.9316667,37.80638889,23.0,157.914,33.87,15.22,0.337,3.6,7.58651,7.9,318.444,4.331,11.422,42.681,,56.926,1.39832,9.914,29.621,1,
거제도남안4_연안,2007-02-01,128.6427778,34.67388889,80.0,1538.0,33.72,12.93,0.78,2.0,10.28,,223.0,15.0,31.0,103.0,,156.0,0.37,38.0,35.0,1,
거제도남안4_연안,2007-05-01,128.6427778,34.67388889,86.0,495.6,34.26,13.3,1.3893,5.0,8.99,8.13,284.5,10.7,31.2,61.535,,91.335,1.024,19.1,53.6,1,
거제도남안4_연안,2007-08-01,128.6427778,34.67388889,85.0,260.0,34.03,16.55,0.94,4.2,7.53,8.0,59.0,5.0,25.0,296.0,,308.0,1.55,7.0,33.0,1,
