station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가로림연안1_연안,2008-02-01,126.3269444,36.94638889,13.0,329.0,32.27,2.77,6.24548,10.4,10.82,8.23,426.451,2.0,22.0,186.0,,48.9629,1.39752,5.0,44.0
가로림연안1_연안,2008-05-01,126.3269444,36.94638889,23.0,197.0,31.83,11.53,2.81548,33.6,8.26,8.02,128.963,2.0,10.0,91.0,,101.604,1.01108,8.60429,38.0
가로림연안1_연안,2008-08-01,126.3269444,36.94638889,14.0,174.0,31.55,22.11,,,8.5,8.15,25.0,1.0,15.0,8.0,,14.0,0.923118,5.0,47.0
가로림연안1_연안,2008-11-01,126.3269444,36.94638889,12.0,215.3,33.17,12.51,,,7.78,8.12,128.0,7.41,13.0,97.364,,107.774,1.11521,3.0,71.6524
가로림연안2_연안,2008-02-01,126.3133333,36.99,14.0,336.0,32.22,3.07,10.8556,27.0,10.49,8.2,463.326,2.0,21.0,216.0,,218.0,1.13921,10.0,53.0
가로림연안2_연안,2008-05-01,126.3133333,36.99,20.0,191.0,31.72,10.47,2.98276,30.4,8.82,8.06,65.8897,4.0,26.0,62.0,,71.7913,1.24976,5.79135,26.0
가로림연안2_연안,2008-08-01,126.3133333,36.99,17.0,128.0,31.57,21.35,,,8.73,8.16,1.0,1.0,15.0,8.0,,16.0,0.94297,7.0,45.0
가로림연안2_연안,2008-11-01,126.3133333,36.99,13.0,169.3,32.85,14.43,,,7.45,8.11,104.0,6.89,13.0,101.306,,109.724,0.615865,1.5279,54.0574
가로림연안3_연안,2008-02-01,126.2,36.94166667,35.0,333.0,32.22,3.02,1.81772,22.2,10.21,8.2,485.792,2.0,24.0,218.0,,226.0,0.781553,6.0,52.0
가로림연안3_연안,2008-05-01,126.2,36.94166667,34.0,218.0,31.77,9.36,2.26088,13.2,9.05,8.07,70.113,3.0,12.0,94.0,,103.288,0.732615,6.28775,35.0
가로림연안3_연안,2008-08-01,126.2,36.94166667,30.0,182.0,31.63,20.82,,,7.92,8.15,27.0,2.0,10.0,12.0,,15.0,0.883414,1.0,45.0
가로림연안3_연안,2008-11-01,126.2,36.94166667,33.0,166.8,32.09,15.09,,,7.87,8.11,129.0,4.2,12.0,110.502,,114.702,0.755683,0.0,51.4973
가막만1_환경관리,2008-02-01,127.73417,34.7225,10.0,745.0,33.68,4.06,7.4,12.6,10.53,8.2,42.0,0.0,6.0,76.0,,97.0,1.15,21.0,21.0
가막만1_환경관리,2008-05-01,127.73417,34.7225,11.0,926.0,33.7,17.43,3.53,41.2,7.36,8.12,34.0,2.0,0.0,42.0,,59.0,1.28,15.0,44.0
가막만1_환경관리,2008-08-01,127.73417,34.7225,12.0,766.0,33.1,23.99,,,4.48,7.86,670.0,5.334,10.0,23.0,,42.334,0.77,14.0,46.0
가막만1_환경관리,2008-11-01,127.73417,34.7225,16.0,769.0,32.86,17.07,,,2.75,8.08,815.0,15.0,21.0,102.0,,176.0,0.6,59.0,53.0
가막만2_환경관리,2008-02-01,127.68833,34.68917,6.0,920.0,33.67,3.22,2.73,6.2,10.51,8.18,44.0,0.0,4.0,27.0,,48.0,0.82,21.0,21.0
가막만2_환경관리,2008-05-01,127.68833,34.68917,5.0,474.0,33.97,16.93,2.39,26.0,6.79,8.13,34.0,1.0,1.0,69.0,,89.0,1.2,19.0,38.0
가막만2_환경관리,2008-08-01,127.68833,34.68917,6.0,621.0,33.96,24.62,,,4.65,7.82,648.0,5.6,8.0,29.0,,44.6,0.75,10.0,31.0
가막만2_환경관리,2008-11-01,127.68833,34.68917,7.0,730.0,32.91,17.02,,,3.39,8.18,377.0,0.0,9.0,20.0,,46.0,0.75,26.0,30.0
가막만3_환경관리,2008-02-01,127.69028,34.62139,9.0,742.0,33.98,5.09,7.06,10.8,10.1,8.2,87.0,0.0,14.0,31.0,,54.0,1.06,23.0,23.0
가막만3_환경관리,2008-05-01,127.69028,34.62139,7.0,627.0,34.11,15.64,3.27,29.6,8.14,8.15,85.0,1.0,0.0,43.0,,64.0,1.07,21.0,31.0
가막만3_환경관리,2008-08-01,127.69028,34.62139,9.0,819.0,33.1,22.03,,,5.76,7.93,643.0,11.858,4.0,62.0,,87.858,0.32,14.0,31.0
가막만3_환경관리,2008-11-01,127.69028,34.62139,9.0,772.0,33.18,17.67,,,3.02,8.08,483.0,23.0,20.0,129.0,,177.0,0.38,26.0,34.0
