station,date_time,longitude,latitude,depth(m),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가로림연안1_연안,2014-02-23,126.3269444,36.94638889,11.0,351.4,31.47,4.16,1.54,6.1,11.11,8.04,356.8,1.4,23.1,105.8,,108.1,1.6,0.9,33.4
가로림연안1_연안,2014-05-23,126.3269444,36.94638889,25.0,463.7,31.26,12.07,3.19,20.6,9.1,8.05,214.7,4.6,14.9,161.7,,176.8,1.37,10.6,35.2
가로림연안1_연안,2014-08-15,126.3269444,36.94638889,20.7,358.9,31.36,21.81,1.57,13.5,7.3,8.13,316.4,10.7,15.7,91.3,,138.2,1.04,36.3,27.2
가로림연안1_연안,2014-11-08,126.3269444,36.94638889,14.5,403.2,32.15,15.71,0.99,31.4,7.84,8.19,226.1,27.6,15.0,41.1,,78.1,0.89,9.4,38.2
가로림연안2_연안,2014-02-23,126.3133333,36.99,24.0,427.7,31.44,4.26,1.77,2.8,11.24,8.01,393.4,1.3,26.2,124.3,,126.9,1.4,1.3,55.0
가로림연안2_연안,2014-05-23,126.3133333,36.99,18.0,473.0,31.27,10.5,4.07,20.4,9.91,8.04,200.7,4.4,17.2,179.9,,190.8,1.1,6.5,34.3
가로림연안2_연안,2014-08-15,126.3133333,36.99,19.0,337.7,31.47,21.09,1.19,11.1,7.36,8.15,239.8,11.6,12.5,83.2,,117.8,1.25,23.0,21.2
가로림연안2_연안,2014-11-08,126.3133333,36.99,22.0,371.7,32.2,16.97,1.8,18.9,7.79,8.19,153.2,28.9,13.0,36.4,,68.5,1.07,3.3,29.0
가로림연안3_연안,2014-02-23,126.2,36.94166667,20.0,428.0,31.44,4.19,1.56,6.6,11.08,8.01,397.1,0.8,26.2,123.7,,126.7,1.25,2.2,50.7
가로림연안3_연안,2014-05-23,126.2,36.94166667,24.0,456.0,31.35,9.88,1.4,9.0,9.47,8.06,258.4,5.0,17.7,185.3,,196.9,0.78,6.6,26.2
가로림연안3_연안,2014-08-15,126.2,36.94166667,21.0,357.2,31.37,21.16,1.16,7.2,7.36,8.14,245.5,11.4,13.9,89.8,,129.3,0.91,28.1,21.1
가로림연안3_연안,2014-11-08,126.2,36.94166667,21.7,370.1,32.13,17.43,1.37,7.1,7.76,8.2,137.2,31.0,12.7,34.8,,67.8,0.89,1.9,22.8
가로림연안4_연안,2014-02-23,126.3336111,36.9225,8.5,387.2,31.46,4.18,1.54,31.0,11.2,8.04,357.3,1.4,23.6,106.5,,109.0,1.15,1.1,32.0
가로림연안4_연안,2014-05-23,126.3336111,36.9225,10.0,444.1,31.18,13.31,2.32,15.8,9.36,8.07,246.7,4.5,13.9,145.2,,165.0,0.87,15.2,23.6
가로림연안4_연안,2014-08-15,126.3336111,36.9225,10.5,409.6,31.28,21.98,0.93,14.9,7.03,8.11,373.9,10.3,19.3,98.6,,154.4,1.25,45.5,34.0
가로림연안4_연안,2014-11-08,126.3336111,36.9225,10.7,415.1,32.09,15.24,1.37,25.6,7.79,8.18,266.5,25.6,15.8,47.7,,84.1,1.02,10.8,37.9
가로림연안5_연안,2014-02-23,126.3225,36.97083333,11.5,422.8,31.45,4.33,1.54,4.1,10.91,8.03,387.5,0.7,25.1,118.0,,119.4,1.12,0.7,41.7
가로림연안5_연안,2014-05-23,126.3225,36.97083333,8.0,469.4,31.31,11.22,2.73,12.8,9.47,8.05,209.9,4.5,15.0,169.1,,184.6,0.83,10.9,25.3
가로림연안5_연안,2014-08-15,126.3225,36.97083333,13.0,394.2,31.39,21.48,1.83,32.1,7.22,8.14,275.9,10.9,14.7,88.5,,128.8,1.28,29.5,37.7
가로림연안5_연안,2014-11-08,126.3225,36.97083333,9.5,392.3,32.18,16.25,1.39,25.2,7.83,8.2,189.4,28.6,14.2,40.0,,74.9,1.1,6.3,32.4
가로림연안6_연안,2014-02-23,126.2608333,37.03305556,35.0,442.8,31.32,4.02,1.13,6.5,11.04,8.0,417.3,0.7,26.4,131.3,,134.8,1.12,2.7,46.3
가로림연안6_연안,2014-05-23,126.2608333,37.03305556,10.0,483.7,31.3,10.63,2.78,16.2,9.91,8.04,191.6,9.5,15.9,223.1,,240.4,0.85,7.8,25.7
가로림연안6_연안,2014-08-14,126.2608333,37.03305556,35.0,455.6,31.07,21.91,1.82,19.5,7.23,8.06,345.1,10.3,18.4,115.6,,172.5,1.23,46.6,34.4
가로림연안6_연안,2014-11-08,126.2608333,37.03305556,44.3,223.4,32.02,17.48,1.83,9.5,7.66,8.2,140.1,33.9,13.5,38.2,,74.1,0.7,2.1,24.5
가막만1_환경관리,2014-02-18,127.73417,34.7225,18.0,233.0,33.6,6.62,6.0,0.8,9.65,8.23,263.0,1.6,7.3,40.1,,53.9,0.67,12.3,21.4
가막만1_환경관리,2014-05-18,127.73417,34.7225,15.3,292.6,33.42,18.47,1.36,7.8,7.02,8.09,272.9,2.8,5.8,13.6,,57.0,0.75,40.6,26.6
가막만1_환경관리,2014-11-09,127.73417,34.7225,19.0,355.4,31.89,18.25,1.69,12.2,6.75,8.0,460.4,42.7,15.0,57.8,,120.2,1.27,19.7,32.4
가막만2_환경관리,2014-02-25,127.68833,34.68917,6.4,82.9,33.91,6.68,5.95,3.3,10.23,8.29,54.1,0.2,2.6,0.0,,0.9,0.99,0.7,10.5
가막만2_환경관리,2014-05-25,127.68833,34.68917,6.5,246.5,33.69,20.25,0.7,5.1,7.89,8.15,53.7,0.1,3.1,0.6,,5.3,1.0,4.6,17.3
가막만2_환경관리,2014-11-08,127.68833,34.68917,5.0,304.6,31.76,17.16,3.13,6.8,7.65,8.08,419.0,42.8,11.5,33.5,,92.9,1.49,16.6,28.1
가막만3_환경관리,2014-02-25,127.69028,34.62139,9.0,76.4,34.14,8.44,3.39,0.5,9.7,8.28,92.7,1.2,5.1,0.1,,6.6,0.28,5.3,6.0
가막만3_환경관리,2014-05-25,127.69028,34.62139,9.0,253.2,33.84,17.35,2.26,14.9,8.08,8.19,121.7,3.7,2.8,10.6,,27.5,0.57,13.2,18.1
가막만3_환경관리,2014-11-08,127.69028,34.62139,7.0,330.6,31.92,17.73,1.68,22.4,6.99,8.09,432.2,28.1,12.1,72.1,,105.9,0.89,5.7,29.4
가막만4_환경관리,2014-02-25,127.66111,34.7325,9.4,60.2,33.82,6.47,1.59,0.3,9.95,8.22,144.4,0.4,3.7,0.0,,6.7,0.5,6.2,4.5
가막만4_환경관리,2014-05-25,127.66111,34.7325,9.5,266.6,33.64,20.41,0.23,6.3,8.06,8.15,17.4,0.2,2.4,0.5,,4.9,0.95,4.2,19.1
가막만4_환경관리,2014-11-09,127.66111,34.7325,8.0,338.3,31.73,16.95,5.75,8.0,7.89,8.13,559.2,21.6,13.7,75.4,,129.2,1.68,32.2,26.4
가막만5_환경관리,2014-02-25,127.64417,34.6975,8.8,74.0,33.86,6.49,0.9,0.4,10.04,8.25,74.8,0.3,2.9,0.0,,2.0,0.65,1.6,6.3
가막만5_환경관리,2014-05-25,127.64417,34.6975,9.0,264.1,33.65,20.11,0.72,6.7,7.89,8.15,34.5,0.1,2.2,0.5,,5.0,1.05,4.3,18.3
가막만5_환경관리,2014-11-09,127.64417,34.6975,8.0,282.2,32.1,17.06,3.13,9.4,7.86,8.12,384.6,26.9,11.0,81.3,,122.2,1.49,14.0,19.5
감포연안1_연안,2014-02-17,129.5108333,35.79805556,28.0,204.7,34.46,13.04,0.27,0.8,7.16,8.25,278.0,5.2,10.7,59.5,,67.2,1.23,2.5,23.4
감포연안1_연안,2014-05-17,129.5108333,35.79805556,29.0,245.1,34.29,13.14,4.09,5.6,8.31,8.12,305.5,3.3,10.5,38.8,,42.5,1.0,0.3,11.9
감포연안1_연안,2014-08-20,129.5108333,35.79805556,29.0,168.8,33.08,21.5,0.03,0.8,7.05,8.17,300.0,4.9,4.9,38.2,,44.5,0.71,1.5,7.0
감포연안1_연안,2014-11-10,129.5108333,35.79805556,29.0,475.3,33.52,16.45,0.93,3.4,6.53,8.04,410.1,5.2,14.3,96.7,,110.4,0.56,8.5,29.9
감포연안2_연안,2014-02-17,129.5305556,35.81555556,45.0,214.9,34.53,12.58,0.33,2.6,6.76,8.24,294.3,5.4,14.0,62.1,,72.8,0.95,5.3,24.1
감포연안2_연안,2014-05-17,129.5305556,35.81555556,45.0,259.4,34.19,8.57,1.36,7.2,7.49,8.01,555.7,3.8,25.8,95.4,,112.2,0.92,13.0,26.3
감포연안2_연안,2014-08-20,129.5305556,35.81555556,45.0,392.3,34.23,11.22,0.17,2.9,5.76,7.98,661.9,7.6,30.4,213.9,,236.8,0.52,15.3,35.0
감포연안2_연안,2014-11-10,129.5305556,35.81555556,46.0,582.1,34.14,12.09,0.25,6.5,5.7,7.95,614.1,3.2,25.3,169.7,,176.3,0.56,3.4,42.7
감포연안3_연안,2014-02-20,129.4883333,35.7075,34.0,211.9,34.5,12.74,0.84,1.2,8.84,8.27,269.8,6.2,11.8,59.1,,70.4,0.44,5.1,24.4
감포연안3_연안,2014-05-20,129.4883333,35.7075,34.0,312.5,34.33,12.31,0.7,8.3,7.39,8.05,458.9,3.7,18.4,74.5,,83.7,0.76,5.5,19.2
감포연안3_연안,2014-08-19,129.4883333,35.7075,35.0,220.7,34.0,17.83,0.03,1.8,6.21,8.06,529.5,8.9,20.1,151.0,,173.2,0.92,13.3,21.9
감포연안3_연안,2014-11-10,129.4883333,35.7075,36.0,492.5,33.94,14.03,0.93,2.9,6.5,8.07,456.1,5.9,16.2,111.5,,120.8,0.48,3.5,31.5
감포연안4_연안,2014-02-20,129.5005556,35.74638889,38.0,209.6,34.48,12.41,0.44,1.3,8.2,8.26,268.8,6.3,14.0,59.0,,66.5,0.55,1.2,23.8
감포연안4_연안,2014-05-20,129.5005556,35.74638889,38.0,371.6,34.3,10.74,0.72,9.8,7.38,8.01,560.8,2.9,23.9,88.3,,102.0,1.1,10.8,25.1
감포연안4_연안,2014-08-19,129.5005556,35.74638889,38.0,363.5,33.97,12.74,0.03,4.8,6.05,8.0,621.3,7.7,25.9,186.3,,206.3,0.76,12.3,29.5
감포연안4_연안,2014-11-10,129.5005556,35.74638889,40.0,609.7,34.15,11.98,0.86,6.3,5.93,7.91,670.6,3.3,27.6,181.4,,188.1,0.64,3.5,46.4
감포연안H1_항만,2014-02-17,129.5055556,35.80694444,8.0,427.5,34.26,12.74,1.12,2.8,8.78,8.23,355.8,3.8,22.5,110.4,,117.2,1.4,3.1,38.7
