station,일시,Longitude,Latitude,수심(m),수심(text),총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],유분[mg/L],총인[μg/L],부유물질 농도[mg/L],year,month,quarter,year_quarter
가로림연안1_연안,2010-02-01,126.3269444,36.94638889,13.0,저층,252.0,32.02,3.96,1.00784,58.0,10.51,8.0,533.0,1.0,21.0,164.0,,170.0,2.0646,5.0,,55.0562,,2010,2,1,20101
가로림연안1_연안,2010-05-01,126.3269444,36.94638889,23.0,저층,586.0,31.77,10.39,2.7572,9.6,10.2762,8.15,241.0,5.0,18.0,141.0,,154.0,0.978417,8.0,,32.0,,2010,5,2,20102
가로림연안1_연안,2010-08-01,126.3269444,36.94638889,14.0,저층,114.0,31.4,23.69,1.63656,10.8,7.42,7.91,189.0,8.0,14.0,49.0,,90.0,1.26048,33.0,,58.8235,,2010,8,3,20103
가로림연안1_연안,2010-11-01,126.3269444,36.94638889,12.0,저층,133.068,30.8,10.73,0.78164,60.6,8.64,8.03,215.0,13.0,22.0,76.0,,107.0,1.5958,18.0,,24.6637,,2010,11,4,20104
가로림연안2_연안,2010-02-01,126.3133333,36.99,14.0,저층,320.0,32.03,4.09,1.00764,44.4,10.47,7.97,569.0,1.0,27.0,182.0,,187.0,1.32534,4.0,,61.7978,,2010,2,1,20101
가로림연안2_연안,2010-05-01,126.3133333,36.99,20.0,저층,312.0,31.8,8.54,1.47588,9.6,10.5582,8.09,240.0,6.0,23.0,164.0,,200.0,1.05802,30.0,,31.0,,2010,5,2,20102
가로림연안2_연안,2010-08-01,126.3133333,36.99,17.0,저층,66.0,31.63,21.67,1.32596,12.4,8.2,7.91,8.0,4.0,1.0,13.0,,49.0,1.38168,32.0,,59.9548,,2010,8,3,20103
가로림연안2_연안,2010-11-01,126.3133333,36.99,13.0,저층,160.956,30.54,13.57,0.31356,57.4,8.36,8.11,184.0,14.0,22.0,92.0,,120.0,0.6666,14.0,,30.2691,,2010,11,4,20104
가로림연안3_연안,2010-02-01,126.2,36.94166667,35.0,저층,258.0,32.0,3.84,0.21344,51.8,10.53,8.02,518.0,1.0,23.0,173.0,,177.0,1.28538,3.0,,60.6742,,2010,2,1,20101
가로림연안3_연안,2010-05-01,126.2,36.94166667,34.0,저층,313.0,31.83,8.02,1.66404,12.0,10.4778,8.11,262.0,8.0,20.0,165.0,,181.0,0.978417,8.0,,37.0,,2010,5,2,20102
가로림연안3_연안,2010-08-01,126.2,36.94166667,30.0,저층,30.0,31.65,20.9,1.21852,16.6,8.13,7.97,8.0,5.0,8.0,8.0,,21.0,0.45248,8.0,,62.2172,,2010,8,3,20103
가로림연안3_연안,2010-11-01,126.2,36.94166667,33.0,저층,134.661,30.8,13.75,0.38072,53.0,8.13,7.97,182.0,9.0,25.0,86.0,,102.0,1.0908,7.0,,26.9058,,2010,11,4,20104
가막만1_환경관리,2010-02-01,127.73417,34.7225,10.0,저층,128.0,32.87,5.03,4.81,10.8,11.06,8.11,130.0,3.0,4.0,49.0,,63.0,0.28,11.0,,17.0,,2010,2,1,20101
가막만1_환경관리,2010-05-01,127.73417,34.7225,11.0,저층,161.0,33.19,17.38,2.46,15.6,8.5,8.25,26.0,5.0,5.0,8.0,,20.0,0.73,7.0,,14.0,,2010,5,2,20102
가막만1_환경관리,2010-08-01,127.73417,34.7225,12.0,저층,84.0,32.28,23.05,6.63,9.0,6.48,7.87,414.0,0.0,4.0,3.0,,8.0,0.98,5.0,,25.0,,2010,8,3,20103
가막만1_환경관리,2010-11-01,127.73417,34.7225,16.0,저층,229.0,31.69,13.81,20.86,21.2,9.55,7.91,604.0,4.0,12.0,5.0,,12.0,0.65,3.0,,37.0,,2010,11,4,20104
가막만2_환경관리,2010-02-01,127.68833,34.68917,6.0,저층,110.0,33.0,4.94,4.56,12.4,10.55,8.1,156.0,1.0,7.0,19.0,,25.0,0.34,5.0,,17.0,,2010,2,1,20101
가막만2_환경관리,2010-05-01,127.68833,34.68917,5.0,저층,90.0,33.35,17.24,1.75,13.6,8.55,8.23,67.0,2.0,5.0,15.0,,22.0,0.82,5.0,,12.0,,2010,5,2,20102
가막만2_환경관리,2010-08-01,127.68833,34.68917,6.0,저층,92.0,32.35,22.69,2.99,6.6,6.23,7.97,216.0,0.0,2.0,2.0,,6.0,1.15,4.0,,16.0,,2010,8,3,20103
가막만2_환경관리,2010-11-01,127.68833,34.68917,7.0,저층,161.0,31.7,14.53,10.59,12.2,9.26,7.91,315.0,4.0,6.0,3.0,,11.0,1.05,4.0,,25.0,,2010,11,4,20104
가막만3_환경관리,2010-02-01,127.69028,34.62139,9.0,저층,174.0,33.1,6.87,2.14,9.6,9.88,8.04,277.0,3.0,11.0,61.0,,83.0,0.25,19.0,,20.0,,2010,2,1,20101
가막만3_환경관리,2010-05-01,127.69028,34.62139,7.0,저층,98.0,33.5,14.56,2.57,15.6,8.5,8.17,46.0,5.0,7.0,2.0,,12.0,0.46,5.0,,11.0,,2010,5,2,20102
가막만3_환경관리,2010-08-01,127.69028,34.62139,9.0,저층,59.0,32.62,21.19,3.98,5.6,6.81,8.08,231.0,2.0,4.0,11.0,,13.0,0.77,0.0,,16.0,,2010,8,3,20103
가막만3_환경관리,2010-11-01,127.69028,34.62139,9.0,저층,180.0,32.23,15.99,2.12,15.4,7.72,8.0,576.0,16.0,21.0,67.0,,87.0,0.45,3.0,,29.0,,2010,11,4,20104
가막만4_환경관리,2010-02-01,127.66111,34.7325,9.0,저층,98.0,32.86,3.85,1.56,8.8,10.72,8.09,94.0,1.0,5.0,17.0,,24.0,0.28,6.0,,14.0,,2010,2,1,20101
가막만4_환경관리,2010-05-01,127.66111,34.7325,8.0,저층,120.0,33.15,17.19,2.51,10.4,8.84,8.25,63.0,3.0,7.0,14.0,,21.0,0.35,4.0,,13.0,,2010,5,2,20102
가막만4_환경관리,2010-08-01,127.66111,34.7325,9.0,저층,115.0,32.21,23.17,2.13,2.8,4.45,7.9,573.0,2.0,8.0,1.0,,4.0,0.57,1.0,,24.0,,2010,8,3,20103
가막만4_환경관리,2010-11-01,127.66111,34.7325,9.0,저층,168.0,31.77,14.58,13.52,9.6,9.38,8.1,281.0,3.0,5.0,4.0,,10.0,1.08,4.0,,25.0,,2010,11,4,20104
가막만5_환경관리,2010-02-01,127.64417,34.6975,8.0,저층,103.0,32.9,4.19,1.65,5.6,10.64,8.09,124.0,1.0,5.0,14.0,,20.0,0.3,5.0,,12.0,,2010,2,1,20101
가막만5_환경관리,2010-05-01,127.64417,34.6975,8.0,저층,137.0,33.09,16.68,0.65,8.8,7.71,8.22,208.0,4.0,11.0,40.0,,69.0,0.39,25.0,,17.0,,2010,5,2,20102
가막만5_환경관리,2010-08-01,127.64417,34.6975,9.0,저층,120.0,31.95,24.18,3.54,6.8,3.53,7.72,553.0,0.0,12.0,0.0,,2.0,1.07,2.0,,30.0,,2010,8,3,20103
가막만5_환경관리,2010-11-01,127.64417,34.6975,9.0,저층,176.0,31.54,14.54,12.18,8.4,8.97,7.94,428.0,6.0,10.0,16.0,,24.0,1.02,2.0,,25.0,,2010,11,4,20104
감포연안1_연안,2010-02-01,129.5108333,35.79805556,26.0,저층,190.0,34.27,11.84,1.288,14.0,8.40342,8.13,288.0,5.0,15.0,84.0,,104.0,0.528,15.0,,32.0,,2010,2,1,20101
감포연안1_연안,2010-05-01,129.5108333,35.79805556,29.0,저층,501.367,34.08,10.3,10.4,7.0,9.85448,8.18,104.0,1.0,4.0,28.0,,30.0,0.298667,1.0,,42.0,,2010,5,2,20102
감포연안1_연안,2010-08-01,129.5108333,35.79805556,29.0,저층,929.3,34.23,13.64,3.008,3.0,6.29858,8.13,434.0,4.0,17.0,140.0,,170.0,0.688,26.0,,41.0,,2010,8,3,20103
감포연안1_연안,2010-11-01,129.5108333,35.79805556,30.0,저층,343.22,33.52,19.12,1.292,9.0,7.09586,8.2,164.0,4.0,7.0,41.0,,108.0,0.848,63.0,,37.0,,2010,11,4,20104
감포연안2_연안,2010-02-01,129.5305556,35.81555556,44.0,저층,238.0,34.25,11.07,0.788,9.8,8.13234,8.14,338.0,6.0,18.0,103.0,,127.0,0.24,18.0,,21.0,,2010,2,1,20101
감포연안2_연안,2010-05-01,129.5305556,35.81555556,44.0,저층,414.712,34.06,7.3,6.0,9.4,9.2326,8.1,176.0,2.0,13.0,77.0,,79.0,0.538667,0.0,,32.0,,2010,5,2,20102
감포연안2_연안,2010-08-01,129.5305556,35.81555556,43.0,저층,1152.15,33.99,8.73,0.476,13.8,6.60155,8.08,585.0,6.0,34.0,204.0,,236.0,0.624,26.0,,43.0,,2010,8,3,20103
감포연안2_연안,2010-11-01,129.5305556,35.81555556,44.0,저층,498.382,33.62,16.22,0.844,11.6,7.94099,8.2,229.0,5.0,10.0,59.0,,107.0,0.864,43.0,,39.0,,2010,11,4,20104
감포연안3_연안,2010-02-01,129.4883333,35.7075,27.0,저층,271.0,34.26,11.86,1.288,12.2,8.43531,8.13,296.0,6.0,15.0,88.0,,106.0,0.4,12.0,,34.0,,2010,2,1,20101
감포연안3_연안,2010-05-01,129.4883333,35.7075,32.0,저층,294.539,33.82,8.6,11.28,17.8,9.50367,8.16,152.0,2.0,9.0,43.0,,46.0,0.202667,1.0,,43.0,,2010,5,2,20102
감포연안3_연안,2010-08-01,129.4883333,35.7075,35.0,저층,1488.17,34.04,13.36,1.372,13.2,6.01155,8.11,534.0,5.0,25.0,175.0,,206.0,0.645333,26.0,,34.0,,2010,8,3,20103
감포연안3_연안,2010-11-01,129.4883333,35.7075,30.0,저층,430.487,33.6,16.26,0.94,12.2,6.71317,8.15,348.0,6.0,17.0,102.0,,163.0,0.448,55.0,,46.0,,2010,11,4,20104
감포연안4_연안,2010-02-01,129.5005556,35.74638889,36.0,저층,201.0,34.18,11.34,1.144,7.2,8.21207,8.13,295.0,6.0,15.0,89.0,,106.0,0.362667,11.0,,24.0,,2010,2,1,20101
감포연안4_연안,2010-05-01,129.5005556,35.74638889,35.0,저층,525.297,34.05,7.4,11.28,9.2,9.2326,8.13,214.0,2.0,12.0,69.0,,72.0,0.170667,1.0,,49.0,,2010,5,2,20102
감포연안4_연안,2010-08-01,129.5005556,35.74638889,37.0,저층,928.979,33.92,10.88,0.68,10.0,5.54913,8.11,574.0,4.0,28.0,188.0,,217.0,0.405333,25.0,,31.0,,2010,8,3,20103
감포연안4_연안,2010-11-01,129.5005556,35.74638889,35.0,저층,412.407,33.84,14.53,0.844,16.8,6.48993,8.14,449.0,6.0,22.0,139.0,,220.0,0.48,75.0,,52.0,,2010,11,4,20104
감포연안H1_항만,2010-02-01,129.5055556,35.80694444,7.0,저층,267.0,34.13,12.38,0.852,12.0,8.6426,8.14,338.0,6.0,23.0,95.0,,137.0,0.954667,36.0,,30.0,,2010,2,1,20101
감포연안H1_항만,2010-08-01,129.5055556,35.80694444,7.0,저층,546.012,33.19,16.88,11.78,11.4,8.89774,8.17,342.0,2.0,1.0,37.0,,57.0,1.33333,18.0,,45.0,,2010,8,3,20103
강구연안1_연안,2010-02-01,129.4205556,36.38055556,53.0,저층,229.0,34.09,8.33,0.48,10.4,8.40342,8.06,425.0,4.0,24.0,136.0,,154.0,0.656,14.0,,41.0,,2010,2,1,20101
강구연안1_연안,2010-05-01,129.4205556,36.38055556,53.0,저층,539.107,34.07,8.9,11.76,13.0,10.6677,8.2,18.0,1.0,1.0,1.0,,4.0,1.01333,2.0,,20.0,,2010,5,2,20102
강구연안1_연안,2010-08-01,129.4205556,36.38055556,60.0,저층,369.018,34.25,5.08,0.484,14.6,8.43531,8.17,452.0,3.0,25.0,186.0,,236.0,0.192,47.0,,44.0,,2010,8,3,20103
강구연안1_연안,2010-11-01,129.4205556,36.38055556,60.0,저층,335.39,34.12,6.43,0.2208,7.2,6.23479,8.02,677.0,6.0,39.0,245.0,,309.0,0.378667,58.0,,71.0,,2010,11,4,20104
