station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],유분[mg/L],총인[μg/L],overlap_count
가막만1_환경관리,2010-11-01,127.73417,34.7225,192.0,31.69,13.85,20.14,16.0,9.88,7.97,571.0,2.0,10.0,3.0,1.2,5.0,0.74,0.0,,31.0,4
강릉연안1_연안,2010-08-01,128.9616667,37.78166667,161.214,32.42,20.84,0.908,16.4,8.38747,8.15,34.0,1.0,0.0,3.0,9.0,11.0,1.136,7.0,,25.0,4
고흥연안2_연안,2010-11-01,127.2161111,34.33138889,157.0,32.24,16.53,1.72,10.2,7.85,7.95,369.0,10.0,10.0,71.0,1.3,81.0,0.53,0.0,,25.0,4
가막만1_환경관리,2011-11-07,127.73417,34.7225,309.225,32.0559,18.3989,1.1048,13.7,4.50322,8.01,455.406,12.733,24.4745,52.311,3.5,134.204,0.76797,69.16,,29.3448,4
강릉연안1_연안,2011-03-04,128.9616667,37.78166667,82.7327,33.18,3.64,2.9,3.4,10.9547,8.25,180.656,0.364,7.471,1.526,6.0,4.592,0.683419,2.702,,10.106,4
고창연안4_연안,2011-05-14,126.3,35.33333333,516.368,30.9,16.92,6.206,52.0,8.14706,7.82,332.794,7.2264,16.1764,177.502,0.5,243.55,1.68857,58.8211,,49.0,4
가막만1_환경관리,2012-11-09,127.73417,34.7225,313.3,,16.13,3.33,6.8,7.7,8.15,483.5,14.5,20.6,71.9,2.7,127.7,0.76,41.3,,29.7,4
강릉연안2_연안,2012-02-10,128.9555556,37.78,147.6,34.2,7.25,0.87,2.2,9.38,8.25,243.7,3.4,12.1,78.5,11.0,87.1,0.7,5.2,,21.4,4
고흥연안5_연안,2012-05-10,127.4791667,34.47833333,176.1,33.22,16.3,4.23,34.8,8.54,8.22,287.6,2.8,4.4,25.4,0.8,29.5,1.02,1.3,,26.3,4
가막만1_환경관리,2013-11-07,127.73417,34.7225,228.8,32.35,19.12,2.67,8.5,7.16,8.15,238.3,12.3,16.4,35.4,1.5,60.7,0.77,13.0,,23.7,4
강릉연안1_연안,2013-08-12,128.9616667,37.78166667,101.1,31.48,26.5,0.67,1.3,7.77,8.25,3.2,0.1,1.0,1.0,5.0,6.0,1.95,5.0,,5.8,4
고흥연안2_연안,2013-11-13,127.2161111,34.33138889,241.4,32.76,16.74,0.43,6.9,7.59,8.1,403.2,41.3,17.9,79.4,1.6,122.9,1.25,2.2,,31.7,4
가로림연안1_연안,2014-02-23,126.3269444,36.94638889,342.1,31.45,4.18,1.33,4.5,11.16,8.04,363.1,1.6,23.1,109.6,1.1,114.3,0.86,3.1,,33.3,4
가로림연안4_연안,2014-11-08,126.3336111,36.9225,355.0,32.09,15.28,1.77,12.6,7.91,8.18,254.8,25.6,16.0,48.5,1.2,82.6,0.99,8.5,,37.8,4
강구연안1_연안,2014-02-22,129.4205556,36.38055556,243.8,34.48,13.07,0.43,2.0,9.76,8.25,242.4,4.9,10.7,58.9,10.0,65.7,0.11,1.9,,25.2,4
고창연안3_연안,2014-11-16,126.3775,35.38972222,282.9,31.71,14.12,2.09,13.5,8.11,8.15,313.9,4.4,14.7,25.9,0.8,77.0,1.02,46.7,,38.7,4
가로림연안1_연안,2015-02-15,126.3269444,36.94638889,379.06,32.0841,3.5593,1.092,16.2,10.5407,8.17,375.6,1.792,24.025,190.232,1.5,194.012,1.49709,1.988,,41.7409,4
가로림연안4_연안,2015-11-12,126.3336111,36.9225,346.348,31.9339,15.04,0.832,13.8,8.41665,8.09,405.79,15.7547,23.4257,96.7913,1.3,121.506,1.02243,8.96,,31.8441,4
강구연안1_연안,2015-02-14,129.4205556,36.38055556,298.637,34.2028,9.6846,0.5,0.6,9.35532,8.08,250.5,3.066,11.346,76.832,13.0,82.684,0.643656,2.786,,16.5249,4
고창연안3_연안,2015-11-17,126.3775,35.38972222,454.748,31.7978,15.97,2.19,23.3333,8.43437,7.99,584.836,8.078,25.792,147.14,0.4,165.34,0.930528,10.122,,44.813,4
가로림연안1_연안,2016-02-01,126.3269444,36.94638889,423.8,32.05,3.88,2.42,9.4,11.42,8.27,472.9,1.1,22.3,179.2,0.5,183.8,1.21,3.4,,43.4,4
가로림연안4_연안,2016-11-01,126.3336111,36.9225,311.5,32.24,13.76,0.46,6.2,8.02,8.13,414.8,10.3,23.9,111.9,2.2,141.0,0.9,18.8,,35.0,4
강구연안1_연안,2016-02-01,129.4205556,36.38055556,270.4,34.17,10.42,0.66,10.4,9.63,8.24,285.4,4.2,12.2,81.0,15.0,89.8,1.29,4.6,,14.8,4
고창연안3_연안,2016-11-01,126.3775,35.38972222,652.6,31.74,13.92,2.6,43.5,7.91,8.16,460.9,20.4,23.9,89.4,0.5,127.7,3.46,17.9,,209.1,4
