station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],overlap_count,유분[mg/L]
가막만2_환경관리,2007-02-01,127.68833,34.68917,618.0,33.86,7.71,2.59,6.0,8.17,8.26,214.0,2.0,12.0,286.0,3.0,310.0,0.94,22.0,24.0,1,
가막만2_환경관리,2007-05-01,127.68833,34.68917,561.0,33.98,18.14,1.63242,6.6,10.11,8.31,51.8616,2.226,14.7157,41.16,2.8,55.174,0.559888,11.788,50.0,1,
가막만2_환경관리,2007-08-01,127.68833,34.68917,299.0,31.57,25.6,3.32,20.0,7.7,8.06,103.0,1.0,6.0,20.0,1.2,36.0,0.75,15.0,26.0,1,
가막만2_환경관리,2007-11-01,127.68833,34.68917,832.0,32.08,17.09,3.74,8.4,5.6,8.17,362.0,13.0,4.0,79.0,3.0,112.0,0.77,19.0,63.0,1,
강구연안1_연안,2007-02-01,129.4205556,36.38055556,156.0,33.96,11.55,0.24592,5.0,10.39,8.05,201.0,7.0,9.0,67.0,12.0,92.0,0.44,17.0,36.0,1,
강구연안1_연안,2007-05-01,129.4205556,36.38055556,106.014,33.91,14.23,2.82122,6.4,9.92,7.98,20.5755,0.54653,0.866745,8.44693,7.0,25.1384,0.539352,16.1449,15.9607,1,
강구연안1_연안,2007-08-01,129.4205556,36.38055556,42.5784,33.42,21.93,0.42302,7.6,8.38,7.97,81.829,0.95976,3.86095,6.19591,10.0,20.2428,0.659208,13.0872,6.58845,1,
강구연안1_연안,2007-11-01,129.4205556,36.38055556,120.03,33.46,17.39,1.35672,3.4,9.43,8.01,168.152,3.17254,5.90963,44.5906,9.0,93.2624,0.579304,45.4993,16.0535,1,
강릉연안4_연안,2007-02-01,128.9316667,37.80638889,150.385,33.1,11.13,1.036,3.2,8.53,8.01,275.495,4.946,11.7,18.592,12.0,38.797,0.83,15.259,23.134,1,
강릉연안4_연안,2007-05-01,128.9316667,37.80638889,146.908,33.7,15.45,0.506,2.2,8.69,8.12,48.276,2.1,8.814,43.713,15.5,77.115,0.93,31.302,9.537,1,
