station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],유분[mg/L],총인[μg/L]
가로림연안1_연안,2009-02-01,126.3269444,36.94638889,271.4,32.01,4.16,0.90484,20.2,10.03,7.99,369.0,1.17035,18.0,127.83,0.65,134.0,0.712763,5.0,,72.5011
가로림연안1_연안,2009-05-01,126.3269444,36.94638889,239.363,32.09,13.35,2.1216,15.0,8.81,8.07,268.0,2.0,17.0,97.0,1.1,108.0,0.8159,9.0,,72.1
가로림연안1_연안,2009-08-01,126.3269444,36.94638889,469.0,31.71,24.55,1.13516,13.0,7.53,8.14,17.0,2.0,6.0,2.0,1.0,5.0,0.779429,1.0,,30.0
가로림연안1_연안,2009-11-01,126.3269444,36.94638889,339.0,32.1,16.9,0.22188,18.6,7.67,8.03,31.0,8.0,15.0,94.0,0.8,114.0,1.51797,12.0,,39.0
가로림연안2_연안,2009-02-01,126.3133333,36.99,412.8,32.02,4.5,0.81276,27.0,10.15,8.01,468.0,1.127,26.0,165.873,0.7,170.0,0.692779,3.0,,70.5961
가로림연안2_연안,2009-05-01,126.3133333,36.99,414.517,31.98,10.85,2.5194,20.6,9.26,8.01,235.0,6.0,17.0,156.0,1.2,167.0,0.9154,5.0,,72.0
가로림연안2_연안,2009-08-01,126.3133333,36.99,485.0,31.81,22.51,3.42464,8.0,7.91,8.15,11.0,2.0,5.0,1.0,1.9,4.0,0.799245,1.0,,27.0
가로림연안2_연안,2009-11-01,126.3133333,36.99,284.0,31.75,17.74,0.06756,29.8,7.61,7.99,23.0,3.0,5.0,59.0,1.2,78.0,0.666773,16.0,,34.0
가로림연안3_연안,2009-02-01,126.2,36.94166667,312.3,32.03,4.21,0.63432,28.2,10.0,8.06,409.0,1.14868,25.0,104.851,0.8,106.0,0.712763,0.0,,56.701
가로림연안3_연안,2009-05-01,126.2,36.94166667,284.143,33.25,9.12,1.6362,19.2,9.45,8.08,221.0,5.0,15.0,160.0,1.0,171.0,0.7761,6.0,,108.09
가로림연안3_연안,2009-08-01,126.2,36.94166667,456.0,31.98,20.79,1.8072,15.6,8.12,8.19,8.0,2.0,4.0,4.0,3.3,7.0,1.05685,1.0,,20.0
가로림연안3_연안,2009-11-01,126.2,36.94166667,288.0,31.97,18.05,0.07148,11.0,7.56,8.03,28.0,2.0,12.0,94.0,1.8,123.0,0.432693,27.0,,36.0
가막만1_환경관리,2009-02-01,127.73417,34.7225,714.0,33.45,7.17,3.64,24.8,8.66,7.92,142.0,2.0,11.0,19.0,2.2,34.0,0.46,13.0,,33.0
가막만1_환경관리,2009-05-01,127.73417,34.7225,499.0,33.73,19.04,5.14,68.0,7.79,8.12,271.0,1.0,6.0,35.0,1.3,46.0,0.67,10.0,,31.0
가막만1_환경관리,2009-08-01,127.73417,34.7225,518.0,,25.22,15.52,9.2,6.87,8.22,511.0,15.0,6.0,172.0,2.4,235.0,1.66,48.0,,40.0
가막만1_환경관리,2009-11-01,127.73417,34.7225,190.0,31.64,15.93,3.28,15.6,8.6,8.05,461.0,18.0,15.0,22.0,1.6,59.0,1.01,19.0,,36.0
가막만2_환경관리,2009-02-01,127.68833,34.68917,729.6,33.52,7.27,4.54,29.6,9.27,7.95,65.0,0.0,6.0,26.0,2.3,41.0,1.1,15.0,,24.0
가막만2_환경관리,2009-05-01,127.68833,34.68917,478.0,33.65,18.89,3.44,71.6,8.17,8.1,389.0,1.0,5.0,35.0,2.8,46.0,0.77,10.0,,21.0
가막만2_환경관리,2009-08-01,127.68833,34.68917,339.0,30.19,23.64,4.53,38.8,12.56,8.22,252.0,1.0,5.0,44.0,3.2,60.0,1.09,15.0,,27.0
가막만2_환경관리,2009-11-01,127.68833,34.68917,475.0,31.64,16.56,2.59,14.0,8.51,8.1,131.0,1.0,8.0,37.0,2.8,56.0,1.17,18.0,,41.0
