station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],유분[mg/L],총인[μg/L]
가로림연안1_연안,2010-02-01,126.3269444,36.94638889,303.0,31.93,3.92,0.13436,32.4,11.26,7.94,475.0,2.0,19.0,132.0,0.6,138.0,0.47286,4.0,,43.0
가로림연안1_연안,2010-05-01,126.3269444,36.94638889,273.0,31.88,10.563,2.05984,9.6,10.4374,8.2,235.0,5.0,19.0,149.0,1.0,163.0,0.633483,9.0,,20.0
가로림연안1_연안,2010-08-01,126.3269444,36.94638889,625.0,31.35,23.98,1.88962,12.6,7.35,7.91,143.0,4.0,9.0,25.0,2.0,43.0,0.821467,14.0,,25.3623
가로림연안1_연안,2010-11-01,126.3269444,36.94638889,117.0,30.79,11.06,0.08364,57.8,8.75,8.04,209.0,13.0,20.0,77.0,2.4,106.0,1.68333,16.0,,22.7273
가로림연안2_연안,2010-02-01,126.3133333,36.99,223.0,31.94,4.09,1.05,35.2,10.56,7.94,564.0,3.0,23.0,189.0,0.6,196.0,0.31302,4.0,,45.0
가로림연안2_연안,2010-05-01,126.3133333,36.99,344.0,31.96,8.76,1.7388,7.6,10.4375,8.03,234.0,5.0,18.0,158.0,2.1,170.0,0.852383,7.0,,32.0
가로림연안2_연안,2010-08-01,126.3133333,36.99,624.0,31.6,22.08,2.00438,12.2,8.22,7.89,80.0,4.0,7.0,11.0,3.2,24.0,0.902267,9.0,,18.1159
가로림연안2_연안,2010-11-01,126.3133333,36.99,172.0,30.29,13.17,0.22288,50.4,8.43,8.17,189.0,17.0,23.0,103.0,4.0,128.0,1.33993,8.0,,31.8182
가로림연안3_연안,2010-02-01,126.2,36.94166667,291.0,31.99,3.9,0.24972,30.2,10.86,8.04,562.0,2.0,27.0,198.0,0.5,202.0,1.58508,2.0,,43.0
가로림연안3_연안,2010-05-01,126.2,36.94166667,286.0,32.1,8.08,1.43636,8.2,11.0821,8.15,267.0,6.0,22.0,214.0,2.1,227.0,0.494183,7.0,,47.0
가로림연안3_연안,2010-08-01,126.2,36.94166667,557.0,31.67,21.61,1.84666,7.2,8.64,8.05,15.0,1.0,2.0,6.0,5.5,54.0,0.821467,47.0,,13.587
가로림연안3_연안,2010-11-01,126.2,36.94166667,146.0,30.79,13.76,0.06488,54.2,8.35,7.98,182.0,9.0,19.0,88.0,5.7,102.0,1.96613,5.0,,30.6818
가막만1_환경관리,2010-02-01,127.73417,34.7225,156.0,32.66,5.59,3.6,19.2,10.93,8.1,123.0,3.0,11.0,61.0,2.3,104.0,0.12,40.0,,19.0
가막만1_환경관리,2010-05-01,127.73417,34.7225,136.0,33.2,17.62,2.12,16.0,9.42,8.17,15.0,3.0,7.0,7.0,2.8,21.0,0.78,11.0,,11.0
