station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가로림연안1_연안,2014-02-23,126.3269444,36.94638889,342.1,31.45,4.18,1.33,4.5,11.16,8.04,363.1,1.6,23.1,109.6,1.1,114.3,0.86,3.1,33.3
가로림연안1_연안,2014-05-23,126.3269444,36.94638889,399.7,31.03,13.44,1.87,15.4,9.19,8.05,275.1,4.5,14.1,148.0,0.8,163.8,1.4,11.3,24.1
가로림연안1_연안,2014-08-15,126.3269444,36.94638889,365.8,31.35,21.85,1.16,12.5,7.3,8.12,316.7,10.6,15.3,91.2,1.6,137.6,0.77,35.8,27.8
가로림연안1_연안,2014-11-08,126.3269444,36.94638889,330.6,32.17,15.89,4.11,14.6,7.79,8.19,209.0,27.1,15.2,42.3,1.2,75.1,0.91,5.7,31.7
가로림연안2_연안,2014-02-23,126.3133333,36.99,402.1,31.44,4.34,1.33,5.4,10.94,7.99,391.9,1.3,26.1,124.7,0.9,127.7,1.17,1.7,42.8
가로림연안2_연안,2014-05-23,126.3133333,36.99,450.1,31.34,10.42,4.07,20.2,9.97,8.02,197.9,4.4,17.2,179.4,0.8,190.7,0.98,6.9,32.6
가로림연안2_연안,2014-08-15,126.3133333,36.99,334.9,31.48,21.15,1.39,9.1,7.47,8.13,227.8,11.5,12.9,83.3,2.5,118.8,1.13,23.9,21.4
가로림연안2_연안,2014-11-08,126.3133333,36.99,310.6,32.21,17.27,2.64,10.2,7.72,8.21,134.0,27.4,13.1,39.4,2.1,69.6,0.97,2.8,25.8
가로림연안3_연안,2014-02-23,126.2,36.94166667,427.4,31.44,4.2,1.33,0.2,11.12,7.99,395.0,0.8,26.1,125.1,0.5,128.0,1.17,2.1,51.3
가로림연안3_연안,2014-05-23,126.2,36.94166667,454.0,31.36,9.88,1.91,9.4,9.48,8.05,254.8,4.5,17.6,183.3,1.5,194.1,0.8,6.3,25.2
