project_name,station,일시,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],year,month,quarter,year_quarter
해양환경측정망,가로림연안1_연안,2015-02-15,126.3269444,36.94638889,379.06,32.0841,3.5593,1.092,16.2,10.5407,8.17,375.6,1.792,24.025,190.232,1.5,194.012,1.49709,1.988,41.7409,2015,2,1,20151
해양환경측정망,가로림연안1_연안,2015-05-10,126.3269444,36.94638889,407.89,31.9136,9.7594,3.22,13.6,10.342,8.16,88.452,2.254,12.834,131.614,1.3,136.15,1.04411,2.282,23.0668,2015,5,2,20152
해양환경측정망,가로림연안1_연안,2015-08-08,126.3269444,36.94638889,225.28,31.9163,21.6454,2.76,3.8,7.9545,8.04,142.94,14.392,8.959,37.8,4.1,58.338,1.58837,6.146,24.2634,2015,8,3,20153
해양환경측정망,가로림연안1_연안,2015-11-12,126.3269444,36.94638889,315.545,31.98,15.6163,0.904,20.6,8.31033,8.09,347.48,11.942,22.537,100.464,0.9,119.63,0.855856,7.224,36.8339,2015,11,4,20154
해양환경측정망,가로림연안2_연안,2015-02-15,126.3133333,36.99,387.421,32.0735,3.7966,0.996,17.4,10.4226,8.17,384.5,1.834,24.614,197.204,1.5,201.292,1.31546,2.254,42.4892,2015,2,1,20151
해양환경측정망,가로림연안2_연안,2015-05-10,126.3133333,36.99,406.463,31.9373,9.4244,3.292,13.4,10.325,8.15,89.6,2.604,13.299,134.848,1.6,140.21,1.07761,2.758,26.5856,2015,5,2,20152
해양환경측정망,가로림연안2_연안,2015-08-08,126.3133333,36.99,232.433,31.9226,21.4413,2.42,3.7,7.78082,7.98,156.744,16.576,9.486,53.34,3.5,79.086,1.16593,9.17,18.9202,2015,8,3,20153
해양환경측정망,가로림연안2_연안,2015-11-12,126.3133333,36.99,314.107,32.1001,17.0778,1.056,19.2,8.25717,8.04,293.216,5.6,20.398,104.356,1.3,112.672,0.855856,2.716,35.9513,2015,11,4,20154
해양환경측정망,가로림연안3_연안,2015-02-15,126.2,36.94166667,395.111,32.0572,3.8867,1.088,20.8,10.4563,8.14,383.9,1.708,24.459,197.33,1.3,201.866,1.49709,2.828,43.9692,2015,2,1,20151
해양환경측정망,가로림연안3_연안,2015-05-10,126.2,36.94166667,411.598,31.9199,8.8112,3.632,16.2,10.274,8.14,85.372,2.73,13.423,135.072,1.5,144.354,1.01061,6.552,26.0986,2015,5,2,20152
