station,date_time,longitude,latitude,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[μg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L]
가로림연안1_연안,2016-02-01,126.3269444,36.94638889,423.8,32.05,3.88,2.42,9.4,11.42,8.27,472.9,1.1,22.3,179.2,0.5,183.8,1.21,3.4,43.4
가로림연안1_연안,2016-05-01,126.3269444,36.94638889,317.1,31.97,12.29,0.9,8.3,8.84,8.1,321.0,5.6,14.1,172.6,1.7,184.5,1.17,6.3,38.8
가로림연안1_연안,2016-08-01,126.3269444,36.94638889,258.4,31.74,23.04,6.6,10.0,7.81,8.07,116.6,7.0,4.3,16.2,3.1,32.9,1.43,9.7,28.4
가로림연안1_연안,2016-11-01,126.3269444,36.94638889,315.0,32.22,14.33,0.4,7.2,7.96,8.13,395.5,8.9,24.0,114.2,2.5,135.3,0.82,12.2,34.6
가로림연안2_연안,2016-02-01,126.3133333,36.99,469.9,32.04,4.16,1.23,15.0,11.23,8.14,506.1,1.3,26.3,212.9,0.5,217.5,1.38,3.4,62.0
가로림연안2_연안,2016-05-01,126.3133333,36.99,433.9,32.01,10.75,1.48,18.8,8.99,8.11,328.5,5.9,16.4,192.5,1.5,202.7,1.25,4.3,46.7
가로림연안2_연안,2016-08-01,126.3133333,36.99,243.8,31.73,21.99,5.74,8.1,7.91,8.07,77.5,9.3,3.4,27.5,3.8,52.2,1.18,15.5,24.6
가로림연안2_연안,2016-11-01,126.3133333,36.99,320.3,32.1,15.83,0.43,11.9,7.58,8.11,275.5,3.6,20.4,93.9,1.8,107.8,0.69,10.4,34.1
가로림연안3_연안,2016-02-01,126.2,36.94166667,472.5,32.06,3.93,1.2,14.8,11.32,8.25,507.6,1.0,26.1,215.0,0.5,219.5,1.23,3.5,62.4
가로림연안3_연안,2016-05-01,126.2,36.94166667,421.3,32.02,10.2,1.48,18.9,9.12,8.03,334.1,5.8,17.3,197.1,1.5,206.1,0.77,3.2,45.4
가로림연안3_연안,2016-08-01,126.2,36.94166667,256.3,31.7,21.65,4.04,4.6,7.49,8.06,91.3,13.7,5.6,32.2,5.0,61.5,0.98,15.6,22.6
가로림연안3_연안,2016-11-01,126.2,36.94166667,295.4,32.16,16.67,0.46,8.8,7.62,8.12,259.3,1.8,18.9,80.7,3.0,92.8,0.58,10.3,32.6
가로림연안4_연안,2016-02-01,126.3336111,36.9225,410.9,32.03,3.9,3.96,11.4,11.48,8.3,474.6,1.3,20.3,152.4,0.5,156.4,1.04,2.7,21.7
가로림연안4_연안,2016-05-01,126.3336111,36.9225,405.9,31.87,13.71,0.76,9.6,8.76,8.09,358.9,6.3,16.2,178.5,1.7,191.5,1.23,6.7,40.8
가로림연안4_연안,2016-08-01,126.3336111,36.9225,303.7,31.68,24.12,5.52,20.1,6.78,8.03,217.9,8.6,7.3,28.7,2.1,54.2,1.54,17.0,40.9
가로림연안4_연안,2016-11-01,126.3336111,36.9225,311.5,32.24,13.76,0.46,6.2,8.02,8.13,414.8,10.3,23.9,111.9,2.2,141.0,0.9,18.8,35.0
가로림연안5_연안,2016-02-01,126.3225,36.97083333,517.7,32.04,4.01,2.34,6.2,11.39,8.25,524.6,1.2,25.7,196.5,0.5,201.3,1.47,3.7,35.6
가로림연안5_연안,2016-05-01,126.3225,36.97083333,421.1,31.98,11.58,1.39,10.2,8.84,8.1,335.3,6.2,17.9,187.0,2.0,197.8,0.7,4.6,42.2
가로림연안5_연안,2016-08-01,126.3225,36.97083333,259.8,31.76,22.26,6.68,8.6,7.96,8.08,82.2,7.0,3.3,14.6,3.2,31.2,1.28,9.5,27.8
가로림연안5_연안,2016-11-01,126.3225,36.97083333,310.2,32.2,14.76,0.39,10.5,7.96,8.13,382.0,7.5,23.0,113.3,1.4,132.3,0.74,11.5,32.9
가로림연안6_연안,2016-02-01,126.2608333,37.03305556,548.4,31.89,3.76,1.22,10.8,11.26,8.24,575.8,2.0,24.6,241.8,0.5,259.0,0.95,15.3,26.6
가로림연안6_연안,2016-05-01,126.2608333,37.03305556,415.0,31.8,11.68,1.44,8.4,8.91,8.12,280.4,6.4,16.3,194.1,2.5,205.0,0.65,4.5,37.1
가로림연안6_연안,2016-08-01,126.2608333,37.03305556,332.8,31.36,22.82,2.84,4.8,7.1,7.97,185.9,16.2,10.7,63.9,3.9,106.7,1.15,26.6,31.1
가로림연안6_연안,2016-11-01,126.2608333,37.03305556,274.8,32.11,17.48,0.46,8.5,7.34,8.06,357.8,1.8,22.9,115.4,2.8,127.5,0.99,10.3,31.3
가막만1_환경관리,2016-02-01,127.73417,34.7225,237.8,32.63,6.27,1.4,7.4,10.5,8.43,189.4,2.7,10.5,41.7,2.8,87.3,1.09,42.9,25.2
가막만1_환경관리,2016-05-01,127.73417,34.7225,331.6,32.24,18.16,3.67,22.6,7.96,8.09,113.7,3.0,3.6,24.7,2.0,54.4,1.24,26.8,41.4
가막만1_환경관리,2016-08-01,127.73417,34.7225,211.2,32.33,27.51,0.46,8.6,4.58,8.1,282.1,4.8,12.9,11.4,2.5,51.7,1.97,35.5,39.4
가막만1_환경관리,2016-11-01,127.73417,34.7225,361.6,31.27,16.23,0.58,6.2,7.31,8.07,500.9,29.8,20.2,80.3,1.6,173.3,1.0,63.1,35.3
가막만2_환경관리,2016-02-01,127.68833,34.68917,138.8,32.93,6.2,1.13,8.15,12.04,8.39,6.0,0.1,2.0,1.5,3.5,3.9,1.4,2.3,20.4
가막만2_환경관리,2016-05-01,127.68833,34.68917,243.2,32.59,20.33,0.77,17.0,8.87,8.14,29.1,0.1,3.9,1.5,4.0,8.5,1.17,7.0,22.5
가막만2_환경관리,2016-08-01,127.68833,34.68917,220.9,32.73,28.74,0.27,23.1,3.65,8.15,330.6,1.6,10.3,2.8,2.0,10.2,2.84,5.8,41.3
가막만2_환경관리,2016-11-01,127.68833,34.68917,256.4,31.21,15.22,1.38,5.5,7.96,8.18,340.4,6.5,10.7,23.0,2.9,52.9,1.13,23.5,23.8
가막만3_환경관리,2016-02-01,127.69028,34.62139,183.5,33.57,8.51,0.45,9.3,10.37,8.26,288.8,2.9,12.3,68.4,1.4,80.2,0.7,9.0,18.5
가막만3_환경관리,2016-05-01,127.69028,34.62139,298.5,32.81,18.86,1.0,19.2,8.66,8.08,50.5,1.2,3.6,2.1,2.0,9.9,1.43,6.6,28.2
가막만3_환경관리,2016-08-01,127.69028,34.62139,180.7,32.74,26.98,0.73,14.5,3.75,8.05,412.5,3.9,13.2,7.4,1.5,24.8,1.87,13.5,31.6
