project_name,station,일시,longitude,latitude,dep_flag,총질소[μg/L],염분[psu],수온[℃],클로로필-a[μg/L],부유물질 농도[mg/L],용존산소[mg/L],수소이온농도[무단위],규산염[μg/L],아질산성질소[μg/L],인산염인[μg/L],질산성질소[μg/L],투명도[m],용존무기질소[μg/L],화학적산소요구량[mg/L],암모니아성 질소[μg/L],총인[μg/L],year,month,quarter,year_quarter
해양환경측정망,가로림연안1_연안,2019-02-12 00:00:00,126.3269444,36.94638889,0,317.1,31.68,3.69,1.97,27.6,10.39,8.01,,1.8,,,1.0,182.1,1.29,8.2,40.7,2019,2,1,20191
해양환경측정망,가로림연안1_연안,2019-05-06 00:00:00,126.3269444,36.94638889,0,168.3,31.73,10.25,1.38,30.7,9.65,8.09,139.2,2.9,,120.1,1.5,123.1,1.72,0.2,23.9,2019,5,2,20192
해양환경측정망,가로림연안1_연안,2019-08-06 11:58:00,126.3269444,36.94638889,0,214.4,31.63,24.07,3.47,18.2,7.72,8.09,,4.9,,28.7,1.3,48.2,1.51,14.7,29.7,2019,8,3,20193
해양환경측정망,가로림연안1_연안,2019-11-09 13:48:00,126.3269444,36.94638889,0,200.5,31.86,17.3,2.14,10.5,8.09,8.05,,7.0,,57.8,2.5,66.5,1.38,1.8,30.9,2019,11,4,20194
해양환경측정망,가로림연안2_연안,2019-02-12 00:00:00,126.3133333,36.99,0,275.8,31.66,4.12,1.5,39.5,10.26,7.87,,1.7,,,0.5,194.2,1.25,3.5,33.9,2019,2,1,20191
해양환경측정망,가로림연안2_연안,2019-05-06 00:00:00,126.3133333,36.99,0,205.2,31.71,9.49,1.7,30.9,9.84,8.06,130.6,3.5,,,1.2,136.6,1.79,0.2,19.8,2019,5,2,20192
해양환경측정망,가로림연안2_연안,2019-08-06 12:22:00,126.3133333,36.99,0,162.9,31.7,22.27,5.48,6.7,8.43,8.14,71.7,1.3,,4.9,2.1,11.0,1.63,4.9,20.0,2019,8,3,20193
해양환경측정망,가로림연안2_연안,2019-11-09 13:25:00,126.3133333,36.99,0,201.0,31.96,17.79,1.74,10.1,7.86,8.02,,6.0,,60.3,3.0,67.6,1.24,1.3,30.1,2019,11,4,20194
해양환경측정망,가로림연안3_연안,2019-02-12 00:00:00,126.2,36.94166667,0,356.1,31.67,4.31,1.39,42.7,10.24,7.97,,1.2,,,0.7,206.3,1.46,14.6,52.0,2019,2,1,20191
해양환경측정망,가로림연안3_연안,2019-05-06 00:00:00,126.2,36.94166667,0,210.3,31.71,8.77,0.48,15.5,9.84,8.03,142.6,3.9,,,1.7,184.4,1.12,38.7,19.9,2019,5,2,20192
해양환경측정망,가로림연안3_연안,2019-08-07 14:20:00,126.2,36.94166667,0,204.3,31.61,21.42,4.2,4.0,8.31,8.08,107.9,4.0,,17.4,3.9,38.8,1.84,17.4,19.1,2019,8,3,20193
해양환경측정망,가로림연안3_연안,2019-11-09 15:02:00,126.2,36.94166667,0,195.2,32.01,18.04,1.4,6.8,7.7,8.02,,2.6,,63.5,3.0,66.4,1.25,0.3,29.1,2019,11,4,20194
해양환경측정망,가로림연안4_연안,2019-02-12 00:00:00,126.3336111,36.9225,0,315.0,31.71,3.39,1.99,17.4,10.7,7.94,,2.4,,,1.5,184.1,1.38,17.7,35.8,2019,2,1,20191
해양환경측정망,가로림연안4_연안,2019-05-06 00:00:00,126.3336111,36.9225,0,194.2,31.74,11.01,0.87,24.4,9.53,8.06,148.7,3.1,,112.3,1.5,116.2,1.72,0.7,26.6,2019,5,2,20192
해양환경측정망,가로림연안4_연안,2019-08-06 11:50:00,126.3336111,36.9225,0,223.2,31.51,24.79,3.73,21.8,7.76,8.07,,4.6,,28.1,0.8,44.8,1.6,12.2,31.1,2019,8,3,20193
해양환경측정망,가로림연안4_연안,2019-11-09 14:00:00,126.3336111,36.9225,0,206.6,31.89,16.9,2.26,8.9,8.16,8.06,,7.9,,57.3,4.6,68.6,1.19,3.4,31.9,2019,11,4,20194
해양환경측정망,가로림연안5_연안,2019-02-12 00:00:00,126.3225,36.97083333,0,365.9,31.68,4.13,1.53,37.1,10.31,8.0,,1.6,,,0.7,191.2,1.41,4.6,46.7,2019,2,1,20191
해양환경측정망,가로림연안5_연안,2019-05-06 00:00:00,126.3225,36.97083333,0,221.7,31.72,9.74,1.21,16.7,9.79,8.08,137.8,3.6,,,1.3,137.9,1.61,0.3,32.1,2019,5,2,20192
해양환경측정망,가로림연안5_연안,2019-08-06 12:12:00,126.3225,36.97083333,0,197.6,31.56,23.59,4.4,14.3,8.06,8.12,,2.5,,12.4,1.3,22.0,1.76,7.1,25.1,2019,8,3,20193
해양환경측정망,가로림연안5_연안,2019-11-09 13:37:00,126.3225,36.97083333,0,211.2,31.9,17.64,1.82,5.4,8.01,8.05,,6.9,,61.2,3.3,72.0,1.2,3.9,31.4,2019,11,4,20194
해양환경측정망,가로림연안6_연안,2019-02-11 00:00:00,126.2608333,37.03305556,0,361.6,31.44,3.88,1.81,19.6,10.11,7.97,,2.4,,,1.3,208.2,1.69,0.1,41.5,2019,2,1,20191
해양환경측정망,가로림연안6_연안,2019-05-05 00:00:00,126.2608333,37.03305556,0,264.1,31.64,8.97,1.13,17.2,9.84,8.06,125.0,3.5,,,2.0,136.0,1.58,0.4,27.8,2019,5,2,20192
해양환경측정망,가로림연안6_연안,2019-08-06 14:02:00,126.2608333,37.03305556,0,254.6,31.34,22.33,2.7,7.7,7.57,8.04,,7.4,,47.0,3.2,79.1,3.11,24.7,29.0,2019,8,3,20193
해양환경측정망,가로림연안6_연안,2019-11-09 13:00:00,126.2608333,37.03305556,0,220.6,31.81,17.95,1.6,6.6,7.86,8.03,,6.6,,69.5,4.0,76.3,1.24,0.3,32.5,2019,11,4,20194
해양환경측정망,가막만1_환경관리,2019-02-13 00:00:00,127.73417,34.7225,0,156.6,33.55,7.18,1.34,7.1,11.14,8.34,23.0,1.1,3.8,7.0,5.5,21.0,1.41,12.9,16.5,2019,2,1,20191
해양환경측정망,가막만1_환경관리,2019-05-03 00:00:00,127.73417,34.7225,0,186.5,33.11,15.63,2.28,6.1,9.31,8.18,,0.9,,7.8,2.7,9.0,1.51,0.4,29.5,2019,5,2,20192
해양환경측정망,가막만1_환경관리,2019-08-15 08:58:00,127.73417,34.7225,0,251.7,31.18,26.6,1.56,35.1,6.29,8.07,,4.3,,21.5,3.0,80.1,1.48,54.3,35.1,2019,8,3,20193
해양환경측정망,가막만1_환경관리,2019-11-14 08:12:00,127.73417,34.7225,0,296.6,31.73,17.7,2.94,13.2,8.16,8.22,,10.0,,56.5,2.5,104.8,0.99,38.2,30.3,2019,11,4,20194
해양환경측정망,가막만2_환경관리,2019-02-13 00:00:00,127.68833,34.68917,0,118.1,33.77,5.77,1.32,5.9,11.23,8.32,31.2,0.2,3.2,5.5,3.5,21.1,1.18,15.4,14.0,2019,2,1,20191
해양환경측정망,가막만2_환경관리,2019-05-06 00:00:00,127.68833,34.68917,0,147.4,33.57,16.56,0.69,12.9,9.37,8.25,40.2,0.1,1.9,1.3,2.0,1.7,1.72,0.3,23.2,2019,5,2,20192
해양환경측정망,가막만2_환경관리,2019-08-10 09:04:00,127.68833,34.68917,0,180.9,31.77,27.36,1.8,19.7,8.91,8.18,49.8,1.2,3.2,2.5,4.5,31.0,1.2,27.3,19.7,2019,8,3,20193
