station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),염분[psu],수온[℃],용존산소[ml/L],수소이온농도[무단위],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2006-02-13 10:00:00,129.5883,36.0767,0,0,,34.363,11.46,4.46,,,,,,9.0
102-00,2006-02-13 10:00:00,129.5883,36.0767,0,10,,34.438,11.32,5.22,,,,,,
102-00,2006-02-13 10:00:00,129.5883,36.0767,0,20,,34.426,11.32,5.28,,,,,,
102-00,2006-02-13 10:00:00,129.5883,36.0767,0,30,,34.309,9.92,5.26,,,,,,
102-00,2006-02-13 10:00:00,129.5883,36.0767,0,50,,34.352,9.05,5.97,,,,,,
102-00,2006-05-13 18:16:00,129.5883,36.0767,0,0,,34.237,14.68,6.02,,,,,,
102-00,2006-05-13 18:16:00,129.5883,36.0767,0,10,,33.743,14.6,6.17,,,,,,
102-00,2006-05-13 18:16:00,129.5883,36.0767,0,20,,34.156,14.62,5.75,,,,,,
102-00,2006-05-13 18:16:00,129.5883,36.0767,0,30,,34.463,12.59,6.15,,,,,,
102-00,2006-05-13 18:16:00,129.5883,36.0767,0,50,,34.162,8.44,5.97,,,,,,
102-00,2006-06-20 09:20:00,129.5883,36.0767,0,0,,33.926,15.2,6.05,,,,,,
102-00,2006-06-20 09:20:00,129.5883,36.0767,0,10,,33.958,16.05,6.39,,,,,,
102-00,2006-06-20 09:20:00,129.5883,36.0767,0,20,,34.669,14.41,5.7,,,,,,
102-00,2006-06-20 09:20:00,129.5883,36.0767,0,30,,34.417,14.44,5.39,,,,,,
102-00,2006-06-20 09:20:00,129.5883,36.0767,0,50,,34.263,7.5,5.71,,,,,,
102-00,2006-09-20 23:15:00,129.5883,36.0767,0,0,,32.06,23.28,5.09,,,,,,
102-00,2006-09-20 23:15:00,129.5883,36.0767,0,10,,32.053,23.28,5.09,,,,,,
102-00,2006-09-20 23:15:00,129.5883,36.0767,0,20,,32.288,22.88,5.07,,,,,,
102-00,2006-09-20 23:15:00,129.5883,36.0767,0,30,,32.435,23.69,4.91,,,,,,
102-00,2006-09-20 23:15:00,129.5883,36.0767,0,50,,34.172,4.17,6.05,,,,,,
102-00,2006-11-04 05:31:00,129.5883,36.0767,0,0,,32.59,19.79,,,,,,,
102-00,2006-11-04 05:31:00,129.5883,36.0767,0,10,,32.568,19.77,,,,,,,
102-00,2006-11-04 05:31:00,129.5883,36.0767,0,20,,32.99,16.17,,,,,,,
102-00,2006-11-04 05:31:00,129.5883,36.0767,0,30,,34.051,12.46,,,,,,,
102-00,2006-11-04 05:31:00,129.5883,36.0767,0,50,,34.078,7.96,,,,,,,
102-00,2006-11-04 05:31:00,129.5883,36.0767,0,75,,33.992,2.66,,,,,,,
102-00,2006-12-15 06:20:00,129.5883,36.0767,0,0,,33.462,15.54,,,,,,,
102-00,2006-12-15 06:20:00,129.5883,36.0767,0,10,,33.915,15.71,,,,,,,
102-00,2006-12-15 06:20:00,129.5883,36.0767,0,20,,33.964,15.58,,,,,,,
