station,date_time,longitude,latitude,bot.depth[m],depth(m),depth(text),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2013-02-27 14:56:00,129.5883,36.0767,0,0,,34.173,10.66,5.94,,,,,11.3
102-00,2013-02-27 14:56:00,129.5883,36.0767,0,10,,34.179,10.48,5.93,,,,,
102-00,2013-02-27 14:56:00,129.5883,36.0767,0,20,,34.208,10.41,5.96,,,,,
102-00,2013-02-27 14:56:00,129.5883,36.0767,0,30,,34.209,10.37,5.94,,,,,
102-00,2013-04-19 18:15:00,129.5883,36.0767,0,0,,34.129,13.25,5.79,,,,,
102-00,2013-04-19 18:15:00,129.5883,36.0767,0,10,,34.104,12.95,5.78,,,,,
102-00,2013-04-19 18:15:00,129.5883,36.0767,0,20,,34.108,12.66,5.82,,,,,
102-00,2013-04-19 18:15:00,129.5883,36.0767,0,30,,34.127,12.61,5.77,,,,,
102-00,2013-06-12 13:29:00,129.5883,36.0767,0,0,,33.323,19.96,5.23,,,,,10.0
102-00,2013-06-12 13:29:00,129.5883,36.0767,0,10,,33.756,17.17,5.62,,,,,
102-00,2013-06-12 13:29:00,129.5883,36.0767,0,20,,34.06,13.04,6.7,,,,,
102-00,2013-06-12 13:29:00,129.5883,36.0767,0,30,,34.128,6.77,5.31,,,,,
102-00,2013-08-24 11:08:00,129.5883,36.0767,0,0,,33.3,22.82,5.97,,,,,6.0
102-00,2013-08-24 11:08:00,129.5883,36.0767,0,10,,33.51,20.11,5.87,,,,,
102-00,2013-08-24 11:08:00,129.5883,36.0767,0,20,,34.125,15.17,4.11,,,,,
102-00,2013-08-24 11:08:00,129.5883,36.0767,0,30,,34.276,12.17,3.89,,,,,
102-00,2013-10-30 07:55:00,129.5883,36.0767,0,0,,33.158,19.71,,,,,,9.0
102-00,2013-10-30 07:55:00,129.5883,36.0767,0,10,,33.158,19.72,,,,,,
102-00,2013-10-30 07:55:00,129.5883,36.0767,0,20,,33.2,19.78,,,,,,
102-00,2013-10-30 07:55:00,129.5883,36.0767,0,30,,33.387,19.3,,,,,,
102-00,2013-12-17 02:52:00,129.5883,36.0767,0,0,,34.125,14.06,5.3,,,,,
102-00,2013-12-17 02:52:00,129.5883,36.0767,0,10,,34.124,14.07,5.29,,,,,
102-00,2013-12-17 02:52:00,129.5883,36.0767,0,20,,34.124,14.01,5.26,,,,,
102-00,2013-12-17 02:52:00,129.5883,36.0767,0,30,,34.136,13.76,5.18,,,,,
102-04,2013-02-27 14:40:00,129.615,36.0767,0,0,,34.168,10.64,5.91,,,,,10.0
102-04,2013-02-27 14:40:00,129.615,36.0767,0,10,,34.173,10.45,5.95,,,,,
102-04,2013-02-27 14:40:00,129.615,36.0767,0,20,,34.195,10.36,5.94,,,,,
102-04,2013-02-27 14:40:00,129.615,36.0767,0,30,,34.208,10.29,5.97,,,,,
102-04,2013-02-27 14:40:00,129.615,36.0767,0,50,,34.173,9.73,5.93,,,,,
102-04,2013-04-19 18:01:00,129.615,36.0767,0,0,,34.153,13.51,5.78,6.8303,0.4515,0.2127,2.9515,
102-04,2013-04-19 18:01:00,129.615,36.0767,0,10,,34.115,13.05,5.78,,,,,
102-04,2013-04-19 18:01:00,129.615,36.0767,0,20,,34.132,12.63,5.85,,,,,
102-04,2013-04-19 18:01:00,129.615,36.0767,0,30,,34.144,12.59,5.87,,,,,
102-04,2013-04-19 18:01:00,129.615,36.0767,0,50,,34.152,11.59,5.63,,,,,
102-04,2013-06-12 13:15:00,129.615,36.0767,0,0,,33.225,19.9,5.15,,,,,8.7
102-04,2013-06-12 13:15:00,129.615,36.0767,0,10,,33.243,19.41,5.14,,,,,
102-04,2013-06-12 13:15:00,129.615,36.0767,0,20,,34.039,12.8,5.77,,,,,
102-04,2013-06-12 13:15:00,129.615,36.0767,0,30,,34.148,7.95,4.9,,,,,
102-04,2013-06-12 13:15:00,129.615,36.0767,0,50,,34.035,3.75,5.4,,,,,
102-04,2013-08-24 10:51:00,129.615,36.0767,0,0,,32.856,22.5,6.21,1.7233,0.0449,,0.6098,6.0
102-04,2013-08-24 10:51:00,129.615,36.0767,0,10,,33.569,18.84,5.9,,,,,
102-04,2013-08-24 10:51:00,129.615,36.0767,0,20,,33.95,14.92,3.92,,,,,
102-04,2013-08-24 10:51:00,129.615,36.0767,0,30,,34.321,12.98,3.8,,,,,
102-04,2013-08-24 10:51:00,129.615,36.0767,0,50,,34.125,7.7,4.91,,,,,
102-04,2013-08-24 10:51:00,129.615,36.0767,0,75,,34.006,3.91,5.85,,,,,
102-04,2013-10-30 07:40:00,129.615,36.0767,0,0,,33.248,20.13,,,,,,10.0
