station,date_time,longitude,latitude,bot.depth[m],depth(m),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2019-02-22 13:21:00,129.5883,36.0767,0,0,34.3952,12.2681,6.134,,,,,8.5
102-00,2019-02-22 13:21:00,129.5883,36.0767,0,10,34.3908,12.1104,6.1245,,,,,8.5
102-00,2019-02-22 13:21:00,129.5883,36.0767,0,20,34.3931,11.841,5.9843,,,,,8.5
102-00,2019-02-22 13:21:00,129.5883,36.0767,0,30,34.3571,11.0108,5.9236,,,,,8.5
102-00,2019-04-23 11:00:00,129.5883,36.0767,0,0,34.255,13.7612,6.1439,,,,,5.2
102-00,2019-04-23 11:00:00,129.5883,36.0767,0,10,34.2393,13.1284,6.0598,,,,,5.2
102-00,2019-04-23 11:00:00,129.5883,36.0767,0,20,34.1813,8.0776,5.3495,,,,,5.2
102-00,2019-04-23 11:00:00,129.5883,36.0767,0,30,34.1398,4.4147,4.8755,,,,,5.2
102-00,2019-07-02 10:10:00,129.5883,36.0767,0,0,33.2761,19.7432,5.7287,,,,,6.0
102-00,2019-07-02 10:10:00,129.5883,36.0767,0,10,34.0282,16.5156,4.5461,,,,,6.0
102-00,2019-07-02 10:10:00,129.5883,36.0767,0,20,34.2464,15.4108,3.8557,,,,,6.0
102-00,2019-07-02 10:10:00,129.5883,36.0767,0,30,34.2903,14.5831,3.7267,,,,,6.0
102-00,2019-07-02 10:10:00,129.5883,36.0767,0,50,34.1971,5.3016,4.6044,,,,,6.0
102-00,2019-08-12 21:50:00,129.5883,36.0767,0,0,32.414,25.3791,5.8783,,,,,
102-00,2019-08-12 21:50:00,129.5883,36.0767,0,10,33.9297,18.4461,6.3552,,,,,
102-00,2019-08-12 21:50:00,129.5883,36.0767,0,20,34.2468,14.6052,4.6844,,,,,
102-00,2019-08-12 21:50:00,129.5883,36.0767,0,30,34.2615,13.9602,3.7608,,,,,
102-00,2019-10-21 21:59:00,129.5883,36.0767,0,0,32.3735,21.1565,4.4848,,,,,
102-00,2019-10-21 21:59:00,129.5883,36.0767,0,10,32.3443,21.1275,4.7836,,,,,
102-00,2019-10-21 21:59:00,129.5883,36.0767,0,20,32.4193,21.1035,4.7005,,,,,
102-00,2019-10-21 21:59:00,129.5883,36.0767,0,30,33.2134,19.6328,4.157,,,,,
102-04,2019-02-22 13:03:00,129.615,36.0767,0,0,34.3695,12.9235,5.8969,7.33098,0.316677,0.374375,3.84199,5.0
102-04,2019-02-22 13:03:00,129.615,36.0767,0,10,34.3576,12.7712,5.7493,,,,,5.0
102-04,2019-02-22 13:03:00,129.615,36.0767,0,20,34.3377,12.4384,5.6308,,,,,5.0
102-04,2019-02-22 13:03:00,129.615,36.0767,0,30,34.295,11.5508,5.4466,,,,,5.0
102-04,2019-02-22 13:03:00,129.615,36.0767,0,50,34.244,9.8486,5.3011,,,,,5.0
102-04,2019-02-22 13:03:00,129.615,36.0767,0,75,34.0745,2.1859,5.0057,,,,,5.0
102-04,2019-04-23 10:39:00,129.615,36.0767,0,0,34.3819,15.5926,6.2184,6.95966,0.010741,0.059243,0.148922,
102-04,2019-04-23 10:39:00,129.615,36.0767,0,10,34.3591,15.2587,6.2518,,,,,
102-04,2019-04-23 10:39:00,129.615,36.0767,0,20,34.178,13.3904,6.9359,,,,,
102-04,2019-04-23 10:39:00,129.615,36.0767,0,30,34.1996,11.7936,5.648,,,,,
102-04,2019-04-23 10:39:00,129.615,36.0767,0,50,34.1331,1.7741,4.8176,,,,,
102-04,2019-04-23 10:39:00,129.615,36.0767,0,75,34.0549,1.3449,4.6966,,,,,
102-04,2019-07-02 09:47:00,129.615,36.0767,0,0,33.6663,18.4951,5.333,,,,,7.0
102-04,2019-07-02 09:47:00,129.615,36.0767,0,10,33.9331,15.7622,5.239,,,,,7.0
102-04,2019-07-02 09:47:00,129.615,36.0767,0,20,34.3022,15.093,4.0433,,,,,7.0
102-04,2019-07-02 09:47:00,129.615,36.0767,0,30,34.3672,14.8853,3.7069,,,,,7.0
102-04,2019-07-02 09:47:00,129.615,36.0767,0,50,34.3074,9.527,4.3703,,,,,7.0
102-04,2019-07-02 09:47:00,129.615,36.0767,0,75,34.0654,2.6307,5.3005,,,,,7.0
