station,date_time,longitude,latitude,depth(m),depth(text),전체수심(m),염분[psu],수온[℃],용존산소[ml/L],규산염[μM],아질산성질소[μM],인산염인[μM],질산성질소[μM],투명도[m]
102-00,2020-02-21 15:20:00,129.5883,36.0767,0,,52.0,34.3069,13.4859,6.679,,,,,6.0
102-00,2020-02-21 15:20:00,129.5883,36.0767,10,,52.0,34.3067,13.5144,6.6726,,,,,6.0
102-00,2020-02-21 15:20:00,129.5883,36.0767,20,,52.0,34.3016,13.4435,6.6701,,,,,6.0
102-00,2020-02-21 15:20:00,129.5883,36.0767,30,,52.0,34.2526,12.724,6.4164,,,,,6.0
102-00,2020-04-19 05:36:00,129.5883,36.0767,0,,52.0,34.4013,14.1424,7.3311,,,,,
102-00,2020-04-19 05:36:00,129.5883,36.0767,10,,52.0,34.3998,14.169,7.3639,,,,,
102-00,2020-04-19 05:36:00,129.5883,36.0767,20,,52.0,34.4138,14.1611,7.4337,,,,,
102-00,2020-06-20 16:17:00,129.5883,36.0767,0,,52.0,33.4646,19.3442,6.9297,,,,,6.0
102-00,2020-06-20 16:17:00,129.5883,36.0767,10,,52.0,33.7072,18.4312,7.0275,,,,,6.0
102-00,2020-06-20 16:17:00,129.5883,36.0767,20,,52.0,34.0928,16.8787,7.4945,,,,,6.0
102-00,2020-06-20 16:17:00,129.5883,36.0767,30,,52.0,34.2014,14.4491,5.532,,,,,6.0
102-00,2020-08-29 15:02:00,129.5883,36.0767,0,,52.0,33.6255,19.6224,8.775,,,,,7.0
102-00,2020-08-29 15:02:00,129.5883,36.0767,10,,52.0,34.1371,16.0421,9.1168,,,,,7.0
102-00,2020-08-29 15:02:00,129.5883,36.0767,20,,52.0,34.3457,14.1186,9.1811,,,,,7.0
102-00,2020-08-29 15:02:00,129.5883,36.0767,30,,52.0,34.3371,13.0637,9.9945,,,,,7.0
102-00,2020-10-28 15:58:00,129.5883,36.0767,0,,52.0,32.6559,19.164,5.1436,,,,,9.0
102-00,2020-10-28 15:58:00,129.5883,36.0767,10,,52.0,32.6541,18.738,5.2183,,,,,9.0
102-00,2020-10-28 15:58:00,129.5883,36.0767,20,,52.0,32.6587,18.6606,5.2699,,,,,9.0
102-00,2020-10-28 15:58:00,129.5883,36.0767,30,,52.0,32.9101,17.6502,4.8297,,,,,9.0
102-00,2020-12-10 15:06:00,129.5883,36.0767,0,,52.0,34.1008,15.7333,5.1956,,,,,6.9
102-00,2020-12-10 15:06:00,129.5883,36.0767,10,,52.0,34.141,15.346,5.2219,,,,,6.9
102-00,2020-12-10 15:06:00,129.5883,36.0767,20,,52.0,34.0884,15.0041,5.2157,,,,,6.9
102-00,2020-12-10 15:06:00,129.5883,36.0767,30,,52.0,34.0839,14.9691,5.2324,,,,,6.9
102-04,2020-02-21 14:56:00,129.615,36.0767,0,,52.0,34.3713,14.1498,6.6607,9.1535,0.254495,0.359862,5.54822,9.5
102-04,2020-02-21 14:56:00,129.615,36.0767,10,,52.0,34.3718,14.1501,6.659,,,,,9.5
102-04,2020-02-21 14:56:00,129.615,36.0767,20,,52.0,34.3714,14.1475,6.6726,,,,,9.5
102-04,2020-02-21 14:56:00,129.615,36.0767,30,,52.0,34.3376,13.8723,6.4571,,,,,9.5
102-04,2020-02-21 14:56:00,129.615,36.0767,50,,52.0,34.2166,11.1745,6.4917,,,,,9.5
102-04,2020-02-21 14:56:00,129.615,36.0767,75,,52.0,34.1373,6.3077,6.8532,,,,,9.5
102-04,2020-04-19 05:58:00,129.615,36.0767,0,,52.0,34.3186,14.2366,6.8569,3.42175,0.110192,0.149026,1.29401,
102-04,2020-04-19 05:58:00,129.615,36.0767,10,,52.0,34.3191,14.2411,6.8588,,,,,
102-04,2020-04-19 05:58:00,129.615,36.0767,20,,52.0,34.3199,14.2405,6.8881,,,,,
102-04,2020-04-19 05:58:00,129.615,36.0767,30,,52.0,34.3523,14.1593,6.8041,,,,,
102-04,2020-04-19 05:58:00,129.615,36.0767,50,,52.0,34.3503,13.7094,6.4179,,,,,
102-04,2020-04-19 05:58:00,129.615,36.0767,75,,52.0,34.2145,6.7715,5.7844,,,,,
102-04,2020-06-20 15:55:00,129.615,36.0767,0,,52.0,32.8284,20.0697,6.8535,,,,,14.0
102-04,2020-06-20 15:55:00,129.615,36.0767,10,,52.0,32.9613,19.5165,6.9959,,,,,14.0
102-04,2020-06-20 15:55:00,129.615,36.0767,20,,52.0,33.6892,17.5349,6.3477,,,,,14.0
102-04,2020-06-20 15:55:00,129.615,36.0767,30,,52.0,34.1829,14.3945,5.1102,,,,,14.0
102-04,2020-06-20 15:55:00,129.615,36.0767,50,,52.0,34.2289,9.533,5.3616,,,,,14.0
102-04,2020-08-29 14:38:00,129.615,36.0767,0,,52.0,33.8685,17.2419,8.219,13.7756,0.392671,0.576776,7.48831,5.0
102-04,2020-08-29 14:38:00,129.615,36.0767,10,,52.0,33.9631,16.0592,8.6883,,,,,5.0
102-04,2020-08-29 14:38:00,129.615,36.0767,20,,52.0,34.1162,15.0017,8.4698,,,,,5.0
102-04,2020-08-29 14:38:00,129.615,36.0767,30,,52.0,34.2092,13.7783,9.905,,,,,5.0
102-04,2020-08-29 14:38:00,129.615,36.0767,50,,52.0,34.2662,11.3598,9.3054,,,,,5.0
102-04,2020-08-29 14:38:00,129.615,36.0767,75,,52.0,34.147,7.9606,9.6774,,,,,5.0
102-04,2020-10-28 15:38:00,129.615,36.0767,0,,52.0,32.6612,19.1137,5.133,7.4869,0.450067,0.132731,2.49099,12.0
102-04,2020-10-28 15:38:00,129.615,36.0767,10,,52.0,32.6617,19.0369,5.1614,,,,,12.0
102-04,2020-10-28 15:38:00,129.615,36.0767,20,,52.0,32.6653,18.8881,5.0921,,,,,12.0
102-04,2020-10-28 15:38:00,129.615,36.0767,30,,52.0,32.686,18.4589,5.0935,,,,,12.0
102-04,2020-10-28 15:38:00,129.615,36.0767,50,,52.0,34.2785,13.733,3.9637,,,,,12.0
102-04,2020-12-10 14:50:00,129.615,36.0767,0,,52.0,34.0441,15.9353,5.1554,,,,,7.1
102-04,2020-12-10 14:50:00,129.615,36.0767,10,,52.0,34.0452,15.8271,5.1623,,,,,7.1
102-04,2020-12-10 14:50:00,129.615,36.0767,20,,52.0,34.0852,15.5541,5.0391,,,,,7.1
102-04,2020-12-10 14:50:00,129.615,36.0767,30,,52.0,34.078,15.0333,5.1748,,,,,7.1
102-04,2020-12-10 14:50:00,129.615,36.0767,50,,52.0,34.0836,13.3745,4.7352,,,,,7.1
102-04,2020-12-10 14:50:00,129.615,36.0767,75,,52.0,34.0423,3.6225,4.858,,,,,7.1
102-05,2020-02-21 14:13:00,129.6883,36.0767,0,,210.0,34.3603,13.9977,6.6737,9.47694,0.263319,0.358402,5.8026,7.1
102-05,2020-02-21 14:13:00,129.6883,36.0767,10,,210.0,34.3579,13.9634,6.6806,,,,,7.1
102-05,2020-02-21 14:13:00,129.6883,36.0767,20,,210.0,34.3424,13.5969,6.686,8.84344,0.240843,0.328843,5.50332,7.1
102-05,2020-02-21 14:13:00,129.6883,36.0767,30,,210.0,34.2328,11.9607,6.9768,,,,,7.1
102-05,2020-02-21 14:13:00,129.6883,36.0767,50,,210.0,34.2272,11.9416,7.067,7.30876,0.292167,0.264683,4.83061,7.1
102-05,2020-02-21 14:13:00,129.6883,36.0767,75,,210.0,34.2295,11.9324,7.0462,,,,,7.1
102-05,2020-02-21 14:13:00,129.6883,36.0767,100,,210.0,34.1438,9.1647,6.7863,11.8869,0.00089,0.665424,10.8208,7.1
102-05,2020-02-21 14:13:00,129.6883,36.0767,125,,210.0,34.1258,5.1538,7.3093,,,,,7.1
102-05,2020-02-21 14:13:00,129.6883,36.0767,150,,210.0,34.0719,2.7252,7.7441,,,,,7.1
102-05,2020-04-19 06:39:00,129.6883,36.0767,0,,210.0,34.4398,14.9669,6.8563,2.77707,0.05384,0.079735,0.991926,
102-05,2020-04-19 06:39:00,129.6883,36.0767,10,,210.0,34.4485,14.9723,6.9136,,,,,
102-05,2020-04-19 06:39:00,129.6883,36.0767,20,,210.0,34.4496,14.9773,6.9115,2.77018,0.056888,0.074877,0.85874,
102-05,2020-04-19 06:39:00,129.6883,36.0767,30,,210.0,34.4496,14.9757,6.9109,,,,,
102-05,2020-04-19 06:39:00,129.6883,36.0767,50,,210.0,34.3484,14.1104,6.5987,4.32101,0.199635,0.235086,1.58344,
102-05,2020-04-19 06:39:00,129.6883,36.0767,75,,210.0,34.3744,13.7932,6.2718,,,,,
102-05,2020-04-19 06:39:00,129.6883,36.0767,100,,210.0,34.1315,3.5369,6.5822,26.271,0.069283,1.41594,18.5776,
102-05,2020-04-19 06:39:00,129.6883,36.0767,125,,210.0,34.0609,2.3053,6.8414,,,,,
102-05,2020-04-19 06:39:00,129.6883,36.0767,150,,210.0,34.0539,2.075,7.0334,,,,,
102-05,2020-06-20 15:18:00,129.6883,36.0767,0,,210.0,33.3815,20.2909,6.5503,5.18511,0.00128,0.006842,0.381168,19.0
102-05,2020-06-20 15:18:00,129.6883,36.0767,10,,210.0,33.3553,19.9771,6.6617,,,,,19.0
102-05,2020-06-20 15:18:00,129.6883,36.0767,20,,210.0,33.3997,17.2294,7.4055,6.75943,0.02545,0.110735,1.00618,19.0
102-05,2020-06-20 15:18:00,129.6883,36.0767,30,,210.0,33.7001,14.6261,7.0913,,,,,19.0
102-05,2020-06-20 15:18:00,129.6883,36.0767,50,,210.0,34.3702,15.622,5.1565,15.7267,0.0132,0.683896,10.2269,19.0
102-05,2020-06-20 15:18:00,129.6883,36.0767,75,,210.0,34.3525,12.3035,5.1439,,,,,19.0
102-05,2020-06-20 15:18:00,129.6883,36.0767,100,,210.0,34.0659,3.6431,9.0482,21.8205,0.05915,1.28031,17.6537,19.0
102-05,2020-08-29 14:00:00,129.6883,36.0767,0,,210.0,33.3041,21.3401,8.0779,10.3115,0.132195,0.235495,3.22228,8.0
102-05,2020-08-29 14:00:00,129.6883,36.0767,10,,210.0,33.6877,17.5001,8.3203,,,,,8.0
102-05,2020-08-29 14:00:00,129.6883,36.0767,20,,210.0,34.1226,15.5753,9.1882,20.799,0.657193,0.768943,13.936,8.0
102-05,2020-08-29 14:00:00,129.6883,36.0767,30,,210.0,34.2417,14.9286,9.525,,,,,8.0
102-05,2020-08-29 14:00:00,129.6883,36.0767,50,,210.0,34.3058,12.5842,10.7632,20.6793,0.16909,0.92209,15.2772,8.0
102-05,2020-08-29 14:00:00,129.6883,36.0767,75,,210.0,34.1225,7.3335,12.0132,,,,,8.0
102-05,2020-08-29 14:00:00,129.6883,36.0767,100,,210.0,34.0696,5.4178,11.2066,22.0631,0.056388,1.02634,17.2269,8.0
102-05,2020-08-29 14:00:00,129.6883,36.0767,125,,210.0,34.0439,3.6964,11.0508,,,,,8.0
102-05,2020-08-29 14:00:00,129.6883,36.0767,150,,210.0,34.0381,3.4603,11.5445,,,,,8.0
102-05,2020-10-28 15:01:00,129.6883,36.0767,0,,210.0,32.4339,19.4679,5.3332,8.09626,0.238733,0.113905,2.46241,6.0
102-05,2020-10-28 15:01:00,129.6883,36.0767,10,,210.0,32.5262,19.3841,5.3218,,,,,6.0
102-05,2020-10-28 15:01:00,129.6883,36.0767,20,,210.0,32.7834,19.2851,4.8164,13.9101,0.7878,0.515779,7.35084,6.0
102-05,2020-10-28 15:01:00,129.6883,36.0767,30,,210.0,33.5637,18.2485,3.696,,,,,6.0
102-05,2020-10-28 15:01:00,129.6883,36.0767,50,,210.0,34.3716,14.3654,3.2037,23.2204,0.153367,1.15035,15.0216,6.0
102-05,2020-10-28 15:01:00,129.6883,36.0767,75,,210.0,34.0705,6.8439,5.3332,,,,,6.0
102-05,2020-10-28 15:01:00,129.6883,36.0767,100,,210.0,34.0268,4.9803,5.4118,18.8057,0.040233,1.13723,14.6497,6.0
102-05,2020-12-10 14:15:00,129.6883,36.0767,0,,210.0,34.1117,16.1204,5.0222,,,,,11.0
102-05,2020-12-10 14:15:00,129.6883,36.0767,10,,210.0,34.0921,16.0186,4.9747,,,,,11.0
102-05,2020-12-10 14:15:00,129.6883,36.0767,20,,210.0,34.0491,15.7892,4.8939,,,,,11.0
102-05,2020-12-10 14:15:00,129.6883,36.0767,30,,210.0,34.044,15.7363,4.8013,,,,,11.0
102-05,2020-12-10 14:15:00,129.6883,36.0767,50,,210.0,34.4477,15.3271,3.2359,,,,,11.0
102-05,2020-12-10 14:15:00,129.6883,36.0767,75,,210.0,34.1254,6.007,4.3689,,,,,11.0
102-05,2020-12-10 14:15:00,129.6883,36.0767,100,,210.0,34.053,3.4419,4.9492,,,,,11.0
102-05,2020-12-10 14:15:00,129.6883,36.0767,125,,210.0,34.0362,1.8379,5.1827,,,,,11.0
102-05,2020-12-10 14:15:00,129.6883,36.0767,150,,210.0,34.0381,1.2422,5.3334,,,,,11.0
102-06,2020-02-21 13:14:00,129.7967,36.0767,0,,700.0,34.1725,11.9002,7.1244,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,10,,700.0,34.1725,11.8983,7.1398,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,20,,700.0,34.1587,11.7967,7.1299,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,30,,700.0,34.157,11.7881,7.11,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,50,,700.0,34.1569,11.7858,7.0474,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,75,,700.0,34.1562,11.7807,7.0374,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,100,,700.0,34.1472,10.3072,6.8813,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,125,,700.0,34.2093,7.5307,6.6083,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,150,,700.0,34.0956,4.1856,7.4717,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,200,,700.0,34.0438,1.5793,7.9469,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,250,,700.0,34.0346,1.0552,8.0265,,,,,11.3
102-06,2020-02-21 13:14:00,129.7967,36.0767,300,,700.0,34.0425,0.8361,7.6372,,,,,11.3
